time            Br              Bs              Yi              Yj             
1.563126253e+03 8.115672630e+00 3.571259262e+00 2.082190901e-01 4.164381802e-07
1.573146293e+03 8.117123954e+00 3.574400222e+00 2.035142108e-01 4.070284216e-07
1.583166333e+03 8.118543677e+00 3.577470764e+00 1.989140963e-01 3.978281926e-07
1.593186373e+03 8.119932449e+00 3.580472432e+00 1.944164828e-01 3.888329657e-07
1.603206413e+03 8.121290908e+00 3.583406737e+00 1.900191524e-01 3.800383049e-07
1.613226453e+03 8.122619682e+00 3.586275158e+00 1.857199331e-01 3.714398663e-07
1.623246493e+03 8.123919386e+00 3.589079144e+00 1.815166960e-01 3.630333921e-07
1.633266533e+03 8.125190625e+00 3.591820112e+00 1.774073558e-01 3.548147116e-07
1.643286573e+03 8.126433991e+00 3.594499453e+00 1.733898698e-01 3.467797396e-07
1.653306613e+03 8.127650066e+00 3.597118524e+00 1.694622377e-01 3.389244755e-07
1.663326653e+03 8.128839424e+00 3.599678653e+00 1.656225017e-01 3.312450035e-07
1.673346693e+03 8.130002624e+00 3.602181144e+00 1.618687419e-01 3.237374838e-07
1.683366733e+03 8.131140215e+00 3.604627271e+00 1.581990787e-01 3.163981574e-07
1.693386774e+03 8.132252738e+00 3.607018282e+00 1.546116715e-01 3.092233430e-07
1.703406814e+03 8.133340722e+00 3.609355396e+00 1.511047206e-01 3.022094412e-07
1.713426854e+03 8.134404688e+00 3.611639807e+00 1.476764615e-01 2.953529230e-07
1.723446894e+03 8.135445143e+00 3.613872685e+00 1.443251659e-01 2.886503318e-07
1.733466934e+03 8.136462588e+00 3.616055174e+00 1.410491421e-01 2.820982842e-07
1.743486974e+03 8.137457512e+00 3.618188395e+00 1.378467343e-01 2.756934687e-07
1.753507014e+03 8.138430395e+00 3.620273438e+00 1.347163247e-01 2.694326494e-07
1.763527054e+03 8.139381708e+00 3.622311377e+00 1.316563246e-01 2.633126493e-07
1.773547094e+03 8.140311912e+00 3.624303261e+00 1.286651806e-01 2.573303611e-07
1.783567134e+03 8.141221459e+00 3.626250116e+00 1.257413714e-01 2.514827428e-07
1.793587174e+03 8.142110794e+00 3.628152945e+00 1.228834112e-01 2.457668224e-07
1.803607214e+03 8.142980353e+00 3.630012730e+00 1.200898441e-01 2.401796882e-07
1.813627255e+03 8.143830561e+00 3.631830433e+00 1.173592435e-01 2.347184870e-07
1.823647295e+03 8.144661836e+00 3.633606995e+00 1.146902138e-01 2.293804277e-07
1.833667335e+03 8.145474588e+00 3.635343336e+00 1.120813893e-01 2.241627786e-07
1.843687375e+03 8.146269213e+00 3.637040348e+00 1.095314379e-01 2.190628757e-07
1.853707415e+03 8.147046104e+00 3.638698914e+00 1.070390499e-01 2.140780997e-07
1.863727455e+03 8.147805645e+00 3.640319893e+00 1.046029457e-01 2.092058914e-07
