time            Cj              Ck             
2.909819639e+02 3.846026366e+02 3.951804426e+02
2.933867735e+02 3.846286454e+02 3.952197450e+02
2.957915832e+02 3.846540805e+02 3.952581821e+02
2.981963928e+02 3.846789607e+02 3.952957821e+02
3.006012024e+02 3.847033039e+02 3.953325719e+02
3.030060120e+02 3.847271273e+02 3.953685774e+02
3.054108216e+02 3.847504474e+02 3.954038234e+02
3.078156313e+02 3.847732799e+02 3.954383337e+02
3.102204409e+02 3.847956399e+02 3.954721309e+02
3.126252505e+02 3.848175419e+02 3.955052369e+02
3.150300601e+02 3.848389999e+02 3.955376727e+02
3.174348697e+02 3.848600272e+02 3.955694585e+02
3.198396794e+02 3.848806365e+02 3.956006134e+02
3.222444890e+02 3.849008404e+02 3.956311561e+02
3.246492986e+02 3.849206505e+02 3.956611044e+02
3.270541082e+02 3.849400782e+02 3.956904756e+02
3.294589178e+02 3.849591346e+02 3.957192860e+02
3.318637275e+02 3.849778302e+02 3.957475517e+02
3.342685371e+02 3.849961750e+02 3.957752878e+02
3.366733467e+02 3.850141790e+02 3.958025092e+02
3.390781563e+02 3.850318514e+02 3.958292299e+02
3.414829659e+02 3.850492014e+02 3.958554637e+02
3.438877756e+02 3.850662376e+02 3.958812238e+02
3.462925852e+02 3.850829685e+02 3.959065227e+02
3.486973948e+02 3.850994023e+02 3.959313729e+02
3.511022044e+02 3.851155467e+02 3.959557862e+02
3.535070140e+02 3.851314094e+02 3.959797738e+02
3.559118236e+02 3.851469977e+02 3.960033470e+02
3.583166333e+02 3.851623185e+02 3.960265163e+02
3.607214429e+02 3.851773788e+02 3.960492919e+02
3.631262525e+02 3.851921851e+02 3.960716839e+02
3.655310621e+02 3.852067437e+02 3.960937019e+02
3.679358717e+02 3.852210609e+02 3.961153550e+02
3.703406814e+02 3.852351426e+02 3.961366524e+02
3.727454910e+02 3.852489945e+02 3.961576027e+02
3.751503006e+02 3.852626222e+02 3.961782143e+02
3.775551102e+02 3.852760312e+02 3.961984953e+02
3.799599198e+02 3.852892266e+02 3.962184537e+02
