time            Cj              shCj           
3.887775551e+02 7.250086120e-01 7.250086120e-01
3.907815631e+02 7.226846967e-01 7.226846967e-01
3.927855711e+02 7.203756317e-01 7.203756317e-01
3.947895792e+02 7.180812753e-01 7.180812753e-01
3.967935872e+02 7.158014878e-01 7.158014878e-01
3.987975952e+02 7.135361309e-01 7.135361309e-01
4.008016032e+02 7.112850677e-01 7.112850677e-01
4.028056112e+02 7.090481634e-01 7.090481634e-01
4.048096192e+02 7.068252851e-01 7.068252851e-01
4.068136273e+02 7.046163017e-01 7.046163017e-01
4.088176353e+02 7.024210835e-01 7.024210835e-01
4.108216433e+02 7.002395025e-01 7.002395025e-01
4.128256513e+02 6.980714324e-01 6.980714324e-01
4.148296593e+02 6.959167483e-01 6.959167483e-01
4.168336673e+02 6.937753266e-01 6.937753266e-01
4.188376754e+02 6.916470455e-01 6.916470455e-01
4.208416834e+02 6.895317841e-01 6.895317841e-01
4.228456914e+02 6.874294231e-01 6.874294231e-01
4.248496994e+02 6.853398446e-01 6.853398446e-01
4.268537074e+02 6.832629323e-01 6.832629323e-01
4.288577154e+02 6.811985711e-01 6.811985711e-01
4.308617234e+02 6.791466468e-01 6.791466468e-01
4.328657315e+02 6.771070465e-01 6.771070465e-01
4.348697395e+02 6.750796586e-01 6.750796586e-01
4.368737475e+02 6.730643725e-01 6.730643725e-01
4.388777555e+02 6.710610786e-01 6.710610786e-01
4.408817635e+02 6.690696692e-01 6.690696692e-01
4.428857715e+02 6.670900431e-01 6.670900431e-01
4.448897796e+02 6.651221026e-01 6.651221026e-01
4.468937876e+02 6.631657411e-01 6.631657411e-01
4.488977956e+02 6.612208540e-01 6.612208540e-01
4.509018036e+02 6.592873414e-01 6.592873414e-01
4.529058116e+02 6.573651047e-01 6.573651047e-01
4.549098196e+02 6.554540468e-01 6.554540468e-01
4.569138277e+02 6.535540688e-01 6.535540688e-01
4.589178357e+02 6.516650745e-01 6.516650745e-01
4.609218437e+02 6.497869685e-01 6.497869685e-01
4.629258517e+02 6.479196567e-01 6.479196567e-01
4.649298597e+02 6.460630472e-01 6.460630472e-01
4.669338677e+02 6.442170485e-01 6.442170485e-01
4.689378758e+02 6.423815697e-01 6.423815697e-01
4.709418838e+02 6.405565210e-01 6.405565210e-01
