time            Br              Cj             
1.763527054e+03 1.088574426e-09 1.201639618e+01
1.771543086e+03 1.068906266e-09 1.201639618e+01
1.779559118e+03 1.053024084e-09 1.201639618e+01
1.787575150e+03 1.037820170e-09 1.201639618e+01
1.795591182e+03 1.020186816e-09 1.201639618e+01
1.803607214e+03 9.970163126e-10 1.201639618e+01
1.811623246e+03 9.652009513e-10 1.201639618e+01
1.819639279e+03 9.216330230e-10 1.201639618e+01
1.827655311e+03 8.632048187e-10 1.201639618e+01
1.835671343e+03 6.709849591e-10 1.201639619e+01
1.843687375e+03 6.847743422e-10 1.201639619e+01
1.851703407e+03 6.908818885e-10 1.201639619e+01
1.859719439e+03 6.893075981e-10 1.201639619e+01
1.867735471e+03 6.800514710e-10 1.201639619e+01
1.875751503e+03 6.631135072e-10 1.201639619e+01
1.883767535e+03 6.384937066e-10 1.201639619e+01
1.891783567e+03 6.061920693e-10 1.201639619e+01
1.899799599e+03 5.662085953e-10 1.201639619e+01
1.907815631e+03 5.185432845e-10 1.201639619e+01
1.915831663e+03 5.128385179e-10 1.201639619e+01
1.923847695e+03 5.358899236e-10 1.201639619e+01
1.931863727e+03 5.567918099e-10 1.201639619e+01
1.939879760e+03 5.755441767e-10 1.201639619e+01
1.947895792e+03 5.921470242e-10 1.201639619e+01
1.955911824e+03 6.066003522e-10 1.201639619e+01
1.963927856e+03 6.189041608e-10 1.201639619e+01
1.971943888e+03 6.290584500e-10 1.201639619e+01
1.979959920e+03 6.370632197e-10 1.201639619e+01
1.987975952e+03 6.429184701e-10 1.201639619e+01
1.995991984e+03 6.466242010e-10 1.201639619e+01
2.004008016e+03 6.481804125e-10 1.201639619e+01
2.012024048e+03 6.475871046e-10 1.201639619e+01
2.020040080e+03 6.448442773e-10 1.201639619e+01
2.028056112e+03 6.399519305e-10 1.201639619e+01
2.036072144e+03 6.329100643e-10 1.201639619e+01
2.044088176e+03 6.237186788e-10 1.201639619e+01
2.052104208e+03 6.123777738e-10 1.201639619e+01
2.060120240e+03 5.988873493e-10 1.201639619e+01
2.068136273e+03 5.832474055e-10 1.201639619e+01
2.076152305e+03 5.654579423e-10 1.201639619e+01
2.084168337e+03 5.455189596e-10 1.201639619e+01
2.092184369e+03 5.234304575e-10 1.201639619e+01
2.100200401e+03 4.991924360e-10 1.201639619e+01
2.108216433e+03 4.728048951e-10 1.201639619e+01
2.116232465e+03 4.442678347e-10 1.201639619e+01
2.124248497e+03 4.135812550e-10 1.201639619e+01
2.132264529e+03 3.807451558e-10 1.201639619e+01
2.140280561e+03 3.457595372e-10 1.201639619e+01
2.148296593e+03 3.300417855e-10 1.201639619e+01
2.156312625e+03 3.228741100e-10 1.201639619e+01
2.164328657e+03 3.156082411e-10 1.201639619e+01
2.172344689e+03 3.082441787e-10 1.201639619e+01
2.180360721e+03 3.007819230e-10 1.201639619e+01
2.188376754e+03 2.932214738e-10 1.201639619e+01
2.196392786e+03 2.855628313e-10 1.201639619e+01
2.204408818e+03 2.778059953e-10 1.201639619e+01
2.212424850e+03 2.699509660e-10 1.201639619e+01
2.220440882e+03 2.619977432e-10 1.201639619e+01
2.228456914e+03 2.539463270e-10 1.201639619e+01
2.236472946e+03 2.457967175e-10 1.201639619e+01
2.244488978e+03 2.375489145e-10 1.201639619e+01
2.252505010e+03 2.292029181e-10 1.201639619e+01
2.260521042e+03 2.207587284e-10 1.201639619e+01
2.268537074e+03 2.122163452e-10 1.201639619e+01
2.276553106e+03 2.035757686e-10 1.201639619e+01
2.284569138e+03 1.948369986e-10 1.201639619e+01
2.292585170e+03 1.860000353e-10 1.201639619e+01
2.300601202e+03 1.770648785e-10 1.201639619e+01
2.308617234e+03 1.680315283e-10 1.201639619e+01
2.316633267e+03 1.588999847e-10 1.201639619e+01
2.324649299e+03 1.496702477e-10 1.201639619e+01
2.332665331e+03 1.403423173e-10 1.201639619e+01
2.340681363e+03 1.309161936e-10 1.201639619e+01
2.348697395e+03 1.213918764e-10 1.201639619e+01
2.356713427e+03 1.117693658e-10 1.201639619e+01
2.364729459e+03 1.020486618e-10 1.201639619e+01
2.372745491e+03 9.222976437e-11 1.201639619e+01
2.380761523e+03 1.139424282e-11 1.201639619e+01
2.388777555e+03 1.108820156e-11 1.201639619e+01
2.396793587e+03 1.078216029e-11 1.201639619e+01
2.404809619e+03 1.047611903e-11 1.201639619e+01
2.412825651e+03 1.017007776e-11 1.201639619e+01
