time            shCj            shCk            shBr           
9.258517034e+02 3.145206138e+00 3.147453981e+00 2.063102168e-02
9.318637275e+02 3.145630431e+00 3.147907494e+00 1.945440883e-02
9.378757515e+02 3.146030606e+00 3.148335236e+00 1.834475961e-02
9.438877756e+02 3.146408028e+00 3.148738664e+00 1.729827841e-02
9.498997996e+02 3.146763984e+00 3.149119154e+00 1.631138309e-02
9.559118236e+02 3.147099689e+00 3.149478000e+00 1.538069382e-02
9.619238477e+02 3.147416291e+00 3.149816432e+00 1.450301889e-02
9.679358717e+02 3.147714873e+00 3.150135609e+00 1.367534491e-02
9.739478958e+02 3.147996455e+00 3.150436626e+00 1.289483928e-02
9.799599198e+02 3.148262002e+00 3.150720512e+00 1.215881868e-02
9.859719439e+02 3.148512425e+00 3.150988223e+00 1.146475397e-02
9.919839679e+02 3.148748579e+00 3.151240651e+00 1.081025992e-02
9.979959920e+02 3.148971274e+00 3.151478674e+00 1.019308695e-02
1.004008016e+03 3.149181279e+00 3.151703177e+00 9.611110886e-03
1.010020040e+03 3.149379314e+00 3.151914882e+00 9.062328596e-03
1.016032064e+03 3.149566060e+00 3.152114518e+00 8.544850638e-03
1.022044088e+03 3.149742157e+00 3.152302772e+00 8.056894756e-03
1.028056112e+03 3.149908213e+00 3.152480292e+00 7.596779899e-03
1.034068136e+03 3.150064798e+00 3.152647688e+00 7.162917977e-03
1.040080160e+03 3.150212452e+00 3.152805530e+00 6.753814851e-03
1.046092184e+03 3.150351681e+00 3.152954359e+00 6.368061450e-03
1.052104208e+03 3.150482968e+00 3.153094724e+00 6.004326456e-03
1.058116232e+03 3.150606764e+00 3.153227078e+00 5.661354172e-03
1.064128257e+03 3.150723495e+00 3.153351876e+00 5.337960948e-03
1.070140281e+03 3.150833565e+00 3.153469551e+00 5.033025918e-03
1.076152305e+03 3.150937354e+00 3.153580509e+00 4.745499777e-03
1.082164329e+03 3.151035209e+00 3.153685125e+00 4.474415908e-03
1.088176353e+03 3.151127484e+00 3.153783774e+00 4.218794666e-03
