time            Br              Cj              sCj             sBr            
7.503006012e+02 6.544516673e-05 1.200153938e+01 0.000000000e+00 1.000000000e+01
7.544689379e+02 6.089256156e-05 1.200154424e+01 0.000000000e+00 1.000000000e+01
7.586372745e+02 5.665596231e-05 1.200154877e+01 0.000000000e+00 1.000000000e+01
7.628056112e+02 5.271385145e-05 1.200155298e+01 0.000000000e+00 1.000000000e+01
7.669739479e+02 4.904253142e-05 1.200155690e+01 0.000000000e+00 1.000000000e+01
7.711422846e+02 4.562821503e-05 1.200156055e+01 0.000000000e+00 1.000000000e+01
7.753106212e+02 4.245651419e-05 1.200156394e+01 0.000000000e+00 1.000000000e+01
7.794789579e+02 3.949524197e-05 1.200156710e+01 0.000000000e+00 1.000000000e+01
7.836472946e+02 3.674972113e-05 1.200157004e+01 0.000000000e+00 1.000000000e+01
7.878156313e+02 3.419913777e-05 1.200157277e+01 0.000000000e+00 1.000000000e+01
7.919839679e+02 3.182442811e-05 1.200157531e+01 0.000000000e+00 1.000000000e+01
7.961523046e+02 2.961120286e-05 1.200157768e+01 0.000000000e+00 1.000000000e+01
8.003206413e+02 2.755239311e-05 1.200157989e+01 0.000000000e+00 1.000000000e+01
8.044889780e+02 2.563626465e-05 1.200158195e+01 0.000000000e+00 1.000000000e+01
8.086573146e+02 2.385259472e-05 1.200158385e+01 0.000000000e+00 1.000000000e+01
8.128256513e+02 2.219335840e-05 1.200158560e+01 0.000000000e+00 1.000000000e+01
8.169939880e+02 2.064951555e-05 1.200158725e+01 0.000000000e+00 1.000000000e+01
8.211623246e+02 1.921284998e-05 1.200158878e+01 0.000000000e+00 1.000000000e+01
8.253306613e+02 1.787611665e-05 1.200159021e+01 0.000000000e+00 1.000000000e+01
8.294989980e+02 1.663198425e-05 1.200159154e+01 0.000000000e+00 1.000000000e+01
8.336673347e+02 1.547540703e-05 1.200159277e+01 0.000000000e+00 1.000000000e+01
8.378356713e+02 1.439742903e-05 1.200159392e+01 0.000000000e+00 1.000000000e+01
8.420040080e+02 1.339691186e-05 1.200159499e+01 0.000000000e+00 1.000000000e+01
8.461723447e+02 1.246736164e-05 1.200159598e+01 0.000000000e+00 1.000000000e+01
8.503406814e+02 1.160257096e-05 1.200159690e+01 0.000000000e+00 1.000000000e+01
