time            Cj              Ck              Br             
5.951903808e+02 3.825867345e+00 1.602345405e+00 1.745867659e+00
6.012024048e+02 3.830469213e+00 1.613191980e+00 1.728342847e+00
6.072144289e+02 3.835055383e+00 1.623942763e+00 1.710946047e+00
6.132264529e+02 3.839625310e+00 1.634598241e+00 1.693677289e+00
6.192384770e+02 3.844178468e+00 1.645158905e+00 1.676536584e+00
6.252505010e+02 3.848714344e+00 1.655625249e+00 1.659523915e+00
6.312625251e+02 3.853232444e+00 1.665997771e+00 1.642639250e+00
6.372745491e+02 3.857732288e+00 1.676276969e+00 1.625882532e+00
6.432865731e+02 3.862213411e+00 1.686463347e+00 1.609253687e+00
6.492985972e+02 3.866675364e+00 1.696557408e+00 1.592752621e+00
6.553106212e+02 3.871117713e+00 1.706559661e+00 1.576379218e+00
6.613226453e+02 3.875540039e+00 1.716470615e+00 1.560133345e+00
6.673346693e+02 3.879941936e+00 1.726290783e+00 1.544014848e+00
6.733466934e+02 3.884323013e+00 1.736020679e+00 1.528023556e+00
6.793587174e+02 3.888682895e+00 1.745660820e+00 1.512159281e+00
6.853707415e+02 3.893021217e+00 1.755211726e+00 1.496421813e+00
6.913827655e+02 3.897337632e+00 1.764673918e+00 1.480810927e+00
6.973947896e+02 3.901631803e+00 1.774047921e+00 1.465326382e+00
7.034068136e+02 3.905903407e+00 1.783334258e+00 1.449967918e+00
7.094188377e+02 3.910152135e+00 1.792533458e+00 1.434735259e+00
7.154308617e+02 3.914377690e+00 1.801646050e+00 1.419628114e+00
7.214428858e+02 3.918579787e+00 1.810672566e+00 1.404646173e+00
7.274549098e+02 3.922758154e+00 1.819613538e+00 1.389789114e+00
7.334669339e+02 3.926912531e+00 1.828469501e+00 1.375056597e+00
7.394789579e+02 3.931042669e+00 1.837240990e+00 1.360448271e+00
7.454909820e+02 3.935148333e+00 1.845928544e+00 1.345963765e+00
7.515030060e+02 3.939229297e+00 1.854532702e+00 1.331602699e+00
7.575150301e+02 3.943285346e+00 1.863054003e+00 1.317364676e+00
7.635270541e+02 3.947316278e+00 1.871492989e+00 1.303249287e+00
7.695390782e+02 3.951321901e+00 1.879850202e+00 1.289256108e+00
7.755511022e+02 3.955302032e+00 1.888126186e+00 1.275384706e+00
