time            shAp            shAq            shBr            shBs            shYi            shYj           
1.182364729e+03 5.446541641e-01 3.522893171e-01 6.683687886e+00 4.405323623e+00 1.526369493e+00 1.121294623e+00
1.192384770e+03 5.364269485e-01 3.484368190e-01 6.693631660e+00 4.429223107e+00 1.511554341e+00 1.115643807e+00
1.202404810e+03 5.282913661e-01 3.445797715e-01 6.703648719e+00 4.452977618e+00 1.496826385e+00 1.109884344e+00
1.212424850e+03 5.202468765e-01 3.407196429e-01 6.713735836e+00 4.476587308e+00 1.482184662e+00 1.104019222e+00
1.222444890e+03 5.122929442e-01 3.368578666e-01 6.723889811e+00 4.500052302e+00 1.467628268e+00 1.098051409e+00
1.232464930e+03 5.044290381e-01 3.329958415e-01 6.734107474e+00 4.523372696e+00 1.453156352e+00 1.091983850e+00
1.242484970e+03 4.966546290e-01 3.291349322e-01 6.744385679e+00 4.546548559e+00 1.438768116e+00 1.085819473e+00
1.252505010e+03 4.889691911e-01 3.252764692e-01 6.754721310e+00 4.569579937e+00 1.424462813e+00 1.079561185e+00
1.262525050e+03 4.813722033e-01 3.214217495e-01 6.765111281e+00 4.592466847e+00 1.410239747e+00 1.073211870e+00
1.272545090e+03 4.738631441e-01 3.175720364e-01 6.775552530e+00 4.615209288e+00 1.396098270e+00 1.066774395e+00
1.282565130e+03 4.664414942e-01 3.137285601e-01 6.786042028e+00 4.637807235e+00 1.382037780e+00 1.060251603e+00
1.292585170e+03 4.591067358e-01 3.098925179e-01 6.796576774e+00 4.660260646e+00 1.368057722e+00 1.053646320e+00
1.302605210e+03 4.518583554e-01 3.060650747e-01 6.807153797e+00 4.682569455e+00 1.354157585e+00 1.046961345e+00
1.312625251e+03 4.446958361e-01 3.022473627e-01 6.817770156e+00 4.704733584e+00 1.340336899e+00 1.040199459e+00
1.322645291e+03 4.376186627e-01 2.984404822e-01 6.828422940e+00 4.726752935e+00 1.326595238e+00 1.033363424e+00
1.332665331e+03 4.306263204e-01 2.946455019e-01 6.839109269e+00 4.748627400e+00 1.312932213e+00 1.026455977e+00
1.342685371e+03 4.237182971e-01 2.908634590e-01 6.849826296e+00 4.770356849e+00 1.299347477e+00 1.019479830e+00
1.352705411e+03 4.168940763e-01 2.870953593e-01 6.860571203e+00 4.791941148e+00 1.285840716e+00 1.012437678e+00
1.362725451e+03 4.101531419e-01 2.833421780e-01 6.871341205e+00 4.813380148e+00 1.272411655e+00 1.005332193e+00
1.372745491e+03 4.034949779e-01 2.796048596e-01 6.882133550e+00 4.834673691e+00 1.259060050e+00 9.981660213e-01
1.382765531e+03 3.969190689e-01 2.758843189e-01 6.892945519e+00 4.855821607e+00 1.245785693e+00 9.909417860e-01
1.392785571e+03 3.904248948e-01 2.721814399e-01 6.903774424e+00 4.876823721e+00 1.232588407e+00 9.836620893e-01
1.402805611e+03 3.840119351e-01 2.684970774e-01 6.914617613e+00 4.897679852e+00 1.219468044e+00 9.763295089e-01
1.412825651e+03 3.776796684e-01 2.648320572e-01 6.925472466e+00 4.918389813e+00 1.206424485e+00 9.689465975e-01
1.422845691e+03 3.714275723e-01 2.611871764e-01 6.936336399e+00 4.938953411e+00 1.193457640e+00 9.615158834e-01
1.432865731e+03 3.652551199e-01 2.575632029e-01 6.947206861e+00 4.959370453e+00 1.180567445e+00 9.540398714e-01
1.442885772e+03 3.591617829e-01 2.539608763e-01 6.958081337e+00 4.979640742e+00 1.167753858e+00 9.465210413e-01
1.452905812e+03 3.531470320e-01 2.503809087e-01 6.968957347e+00 4.999764078e+00 1.155016866e+00 9.389618465e-01
1.462925852e+03 3.472103356e-01 2.468239842e-01 6.979832446e+00 5.019740259e+00 1.142356475e+00 9.313647149e-01
1.472945892e+03 3.413511575e-01 2.432907597e-01 6.990704226e+00 5.039569090e+00 1.129772712e+00 9.237320494e-01
1.482965932e+03 3.355689594e-01 2.397818649e-01 7.001570315e+00 5.059250374e+00 1.117265625e+00 9.160662264e-01
1.492985972e+03 3.298632017e-01 2.362979048e-01 7.012428377e+00 5.078783918e+00 1.104835281e+00 9.083695950e-01
1.503006012e+03 3.242333410e-01 2.328394573e-01 7.023276115e+00 5.098169535e+00 1.092481765e+00 9.006444777e-01
1.513026052e+03 3.186788302e-01 2.294070741e-01 7.034111267e+00 5.117407040e+00 1.080205178e+00 8.928931702e-01
1.523046092e+03 3.131991191e-01 2.260012819e-01 7.044931610e+00 5.136496257e+00 1.068005635e+00 8.851179405e-01
1.533066132e+03 3.077936571e-01 2.226225810e-01 7.055734957e+00 5.155437004e+00 1.055883266e+00 8.773210277e-01
1.543086172e+03 3.024618889e-01 2.192714473e-01 7.066519159e+00 5.174229114e+00 1.043838216e+00 8.695046434e-01
1.553106212e+03 2.972032560e-01 2.159483323e-01 7.077282108e+00 5.192872424e+00 1.031870636e+00 8.616709703e-01
1.563126253e+03 2.920171972e-01 2.126536653e-01 7.088021731e+00 5.211366787e+00 1.019980696e+00 8.538221628e-01
1.573146293e+03 2.869031480e-01 2.093878522e-01 7.098735997e+00 5.229712065e+00 1.008168573e+00 8.459603462e-01
1.583166333e+03 2.818605407e-01 2.061512745e-01 7.109422912e+00 5.247908127e+00 9.964344497e-01 8.380876158e-01
1.593186373e+03 2.768888047e-01 2.029442918e-01 7.120080523e+00 5.265954854e+00 9.847785201e-01 8.302060370e-01
1.603206413e+03 2.719873662e-01 1.997672423e-01 7.130706916e+00 5.283852140e+00 9.732009824e-01 8.223176450e-01
1.613226453e+03 2.671556478e-01 1.966204418e-01 7.141300217e+00 5.301599893e+00 9.617020412e-01 8.144244447e-01
1.623246493e+03 2.623930696e-01 1.935041847e-01 7.151858591e+00 5.319198033e+00 9.502819057e-01 8.065284102e-01
1.633266533e+03 2.576990502e-01 1.904187408e-01 7.162380239e+00 5.336646479e+00 9.389407903e-01 7.986314857e-01
1.643286573e+03 2.530730045e-01 1.873643606e-01 7.172863405e+00 5.353945172e+00 9.276789109e-01 7.907355833e-01
1.653306613e+03 2.485143450e-01 1.843412735e-01 7.183306372e+00 5.371094064e+00 9.164964873e-01 7.828425848e-01
1.663326653e+03 2.440224823e-01 1.813496877e-01 7.193707460e+00 5.388093118e+00 9.053937408e-01 7.749543405e-01
1.673346693e+03 2.395968237e-01 1.783897930e-01 7.204065033e+00 5.404942317e+00 8.943708929e-01 7.670726688e-01
1.683366733e+03 2.352367654e-01 1.754617858e-01 7.214377512e+00 5.421641743e+00 8.834281622e-01 7.591993534e-01
1.693386774e+03 2.309417157e-01 1.725657995e-01 7.224643325e+00 5.438191344e+00 8.725657683e-01 7.513361486e-01
1.703406814e+03 2.267110717e-01 1.697019749e-01 7.234860963e+00 5.454591180e+00 8.617839281e-01 7.434847744e-01
1.713426854e+03 2.225442310e-01 1.668704290e-01 7.245028951e+00 5.470841301e+00 8.510828559e-01 7.356469178e-01
1.723446894e+03 2.184405887e-01 1.640712634e-01 7.255145853e+00 5.486941781e+00 8.404627627e-01 7.278242361e-01
1.733466934e+03 2.143995375e-01 1.613045625e-01 7.265210273e+00 5.502892707e+00 8.299238557e-01 7.200183531e-01
1.743486974e+03 2.104204689e-01 1.585703954e-01 7.275220850e+00 5.518694187e+00 8.194663375e-01 7.122308629e-01
1.753507014e+03 2.065027723e-01 1.558688136e-01 7.285176268e+00 5.534346345e+00 8.090904053e-01 7.044633232e-01
1.763527054e+03 2.026458351e-01 1.531998512e-01 7.295075255e+00 5.549849328e+00 7.987962498e-01 6.967172554e-01
1.773547094e+03 1.988490433e-01 1.505635257e-01 7.304916579e+00 5.565203302e+00 7.885840550e-01 6.889941456e-01
1.783567134e+03 1.951117819e-01 1.479598425e-01 7.314699045e+00 5.580408449e+00 7.784539979e-01 6.812954512e-01
1.793587174e+03 1.914334346e-01 1.453887924e-01 7.324421495e+00 5.595464972e+00 7.684062480e-01 6.736225963e-01
1.803607214e+03 1.878133840e-01 1.428503520e-01 7.334082813e+00 5.610373092e+00 7.584409655e-01 6.659769704e-01
1.813627255e+03 1.842510119e-01 1.403444845e-01 7.343681916e+00 5.625133049e+00 7.485583043e-01 6.583599325e-01
1.823647295e+03 1.807456994e-01 1.378711397e-01 7.353217767e+00 5.639745105e+00 7.387584063e-01 6.507728051e-01
1.833667335e+03 1.772968265e-01 1.354302537e-01 7.362689363e+00 5.654209538e+00 7.290414068e-01 6.432168791e-01
1.843687375e+03 1.739037733e-01 1.330217510e-01 7.372095742e+00 5.668526650e+00 7.194074283e-01 6.356934106e-01
1.853707415e+03 1.705659192e-01 1.306455428e-01 7.381435980e+00 5.682696761e+00 7.098565851e-01 6.282036224e-01
1.863727455e+03 1.672826438e-01 1.283015297e-01 7.390709190e+00 5.696720210e+00 7.003889787e-01 6.207487043e-01
1.873747495e+03 1.640533262e-01 1.259896000e-01 7.399914523e+00 5.710597357e+00 6.910047008e-01 6.133298122e-01
1.883767535e+03 1.608773463e-01 1.237096319e-01 7.409051167e+00 5.724328582e+00 6.817038307e-01 6.059480693e-01
1.893787575e+03 1.577540840e-01 1.214614926e-01 7.418118347e+00 5.737914285e+00 6.724864365e-01 5.986045657e-01
1.903807615e+03 1.546829198e-01 1.192450399e-01 7.427115326e+00 5.751354884e+00 6.633525734e-01 5.913003587e-01
1.913827655e+03 1.516632348e-01 1.170601211e-01 7.436041400e+00 5.764650818e+00 6.543022850e-01 5.840364726e-01
1.923847695e+03 1.486944103e-01 1.149065730e-01 7.444895905e+00 5.777802546e+00 6.453356028e-01 5.768138985e-01
1.933867735e+03 1.457758294e-01 1.127842246e-01 7.453678209e+00 5.790810545e+00 6.364525451e-01 5.696335961e-01
1.943887776e+03 1.429068760e-01 1.106928963e-01 7.462387717e+00 5.803675311e+00 6.276531168e-01 5.624964919e-01
1.953907816e+03 1.400869353e-01 1.086324005e-01 7.471023867e+00 5.816397361e+00 6.189373090e-01 5.554034809e-01
