time            A               B               Y              
1.222444890e+03 8.493577228e-01 1.125252167e+01 2.569127312e+00
1.232464930e+03 8.376060573e-01 1.128631454e+01 2.548534682e+00
1.242484970e+03 8.259451907e-01 1.132002270e+01 2.527928061e+00
1.252505010e+03 8.143759402e-01 1.135364302e+01 2.507309641e+00
1.262525050e+03 8.028990914e-01 1.138717241e+01 2.486681639e+00
1.272545090e+03 7.915153985e-01 1.142060775e+01 2.466046302e+00
1.282565130e+03 7.802255859e-01 1.145394596e+01 2.445405901e+00
1.292585170e+03 7.690303434e-01 1.148718395e+01 2.424762733e+00
1.302605210e+03 7.579303298e-01 1.152031865e+01 2.404119119e+00
1.312625251e+03 7.469261727e-01 1.155334700e+01 2.383477401e+00
1.322645291e+03 7.360184693e-01 1.158626594e+01 2.362839940e+00
1.332665331e+03 7.252077819e-01 1.161907246e+01 2.342209117e+00
1.342685371e+03 7.144946418e-01 1.165176355e+01 2.321587328e+00
1.352705411e+03 7.038795502e-01 1.168433620e+01 2.300976986e+00
1.362725451e+03 6.933629760e-01 1.171678745e+01 2.280380513e+00
1.372745491e+03 6.829453546e-01 1.174911435e+01 2.259800349e+00
1.382765531e+03 6.726270902e-01 1.178131397e+01 2.239238938e+00
1.392785571e+03 6.624085591e-01 1.181338342e+01 2.218698736e+00
1.402805611e+03 6.522901019e-01 1.184531982e+01 2.198182203e+00
1.412825651e+03 6.422720289e-01 1.187712034e+01 2.177691807e+00
1.422845691e+03 6.323546195e-01 1.190878217e+01 2.157230018e+00
1.432865731e+03 6.225381240e-01 1.194030251e+01 2.136799304e+00
1.442885772e+03 6.128227589e-01 1.197167862e+01 2.116402138e+00
1.452905812e+03 6.032087105e-01 1.200290779e+01 2.096040989e+00
1.462925852e+03 5.936961359e-01 1.203398733e+01 2.075718322e+00
1.472945892e+03 5.842851632e-01 1.206491463e+01 2.055436602e+00
1.482965932e+03 5.749758890e-01 1.209568709e+01 2.035198283e+00
1.492985972e+03 5.657683807e-01 1.212630215e+01 2.015005812e+00
1.503006012e+03 5.566626763e-01 1.215675730e+01 1.994861624e+00
1.513026052e+03 5.476587844e-01 1.218705004e+01 1.974768146e+00
1.523046092e+03 5.387566841e-01 1.221717792e+01 1.954727792e+00
1.533066132e+03 5.299563255e-01 1.224713852e+01 1.934742963e+00
1.543086172e+03 5.212576336e-01 1.227692954e+01 1.914816045e+00
1.553106212e+03 5.126605084e-01 1.230654874e+01 1.894949406e+00
1.563126253e+03 5.041648154e-01 1.233599382e+01 1.875145393e+00
1.573146293e+03 4.957703953e-01 1.236526258e+01 1.855406335e+00
1.583166333e+03 4.874770617e-01 1.239435289e+01 1.835734539e+00
1.593186373e+03 4.792846049e-01 1.242326265e+01 1.816132291e+00
1.603206413e+03 4.711927885e-01 1.245198980e+01 1.796601855e+00
1.613226453e+03 4.632013536e-01 1.248053235e+01 1.777145469e+00
1.623246493e+03 4.553100136e-01 1.250888836e+01 1.757765344e+00
1.633266533e+03 4.475184627e-01 1.253705593e+01 1.738463670e+00
1.643286573e+03 4.398263711e-01 1.256503322e+01 1.719242605e+00
1.653306613e+03 4.322333724e-01 1.259281847e+01 1.700104271e+00
1.663326653e+03 4.247390889e-01 1.262040995e+01 1.681050762e+00
1.673346693e+03 4.173431084e-01 1.264780601e+01 1.662084135e+00
1.683366733e+03 4.100450097e-01 1.267500504e+01 1.643206422e+00
1.693386774e+03 4.028443442e-01 1.270200549e+01 1.624419618e+00
1.703406814e+03 3.957406468e-01 1.272880586e+01 1.605725685e+00
1.713426854e+03 3.887334308e-01 1.275540473e+01 1.587126546e+00
1.723446894e+03 3.818221894e-01 1.278180072e+01 1.568624095e+00
1.733466934e+03 3.750063973e-01 1.280799249e+01 1.550220179e+00
1.743486974e+03 3.682855086e-01 1.283397881e+01 1.531916615e+00
1.753507014e+03 3.616589609e-01 1.285975846e+01 1.513715174e+00
1.763527054e+03 3.551261727e-01 1.288533030e+01 1.495617591e+00
1.773547094e+03 3.486865463e-01 1.291069327e+01 1.477625559e+00
1.783567134e+03 3.423394674e-01 1.293584633e+01 1.459740730e+00
1.793587174e+03 3.360843054e-01 1.296078853e+01 1.441964714e+00
1.803607214e+03 3.299204155e-01 1.298551897e+01 1.424299080e+00
1.813627255e+03 3.238471366e-01 1.301003680e+01 1.406745354e+00
1.823647295e+03 3.178637952e-01 1.303434123e+01 1.389305015e+00
1.833667335e+03 3.119697016e-01 1.305843155e+01 1.371979505e+00
1.843687375e+03 3.061641550e-01 1.308230710e+01 1.354770217e+00
1.853707415e+03 3.004464420e-01 1.310596727e+01 1.337678500e+00
1.863727455e+03 2.948158369e-01 1.312941151e+01 1.320705658e+00
1.873747495e+03 2.892716027e-01 1.315263931e+01 1.303852953e+00
1.883767535e+03 2.838129933e-01 1.317565024e+01 1.287121594e+00
1.893787575e+03 2.784392499e-01 1.319844401e+01 1.270512753e+00
1.903807615e+03 2.731496037e-01 1.322102021e+01 1.254027552e+00
1.913827655e+03 2.679432772e-01 1.324337860e+01 1.237667069e+00
1.923847695e+03 2.628194843e-01 1.326551900e+01 1.221432333e+00
1.933867735e+03 2.577774303e-01 1.328744125e+01 1.205324327e+00
1.943887776e+03 2.528163137e-01 1.330914526e+01 1.189343991e+00
1.953907816e+03 2.479353260e-01 1.333063099e+01 1.173492221e+00
1.963927856e+03 2.431336518e-01 1.335189846e+01 1.157769867e+00
1.973947896e+03 2.384104699e-01 1.337294772e+01 1.142177731e+00
1.983967936e+03 2.337649532e-01 1.339377890e+01 1.126716573e+00
1.993987976e+03 2.291962709e-01 1.341439216e+01 1.111387113e+00
2.004008016e+03 2.247035841e-01 1.343478774e+01 1.096190006e+00
2.014028056e+03 2.202860518e-01 1.345496592e+01 1.081125871e+00
2.024048096e+03 2.159428281e-01 1.347492702e+01 1.066195277e+00
2.034068136e+03 2.116730651e-01 1.349467143e+01 1.051398754e+00
2.044088176e+03 2.074759126e-01 1.351419955e+01 1.036736792e+00
2.054108216e+03 2.033505177e-01 1.353351187e+01 1.022209834e+00
2.064128257e+03 1.992960256e-01 1.355260889e+01 1.007818280e+00
2.074148297e+03 1.953115800e-01 1.357149117e+01 9.935624888e-01
2.084168337e+03 1.913963234e-01 1.359015933e+01 9.794427726e-01
2.094188377e+03 1.875493976e-01 1.360861401e+01 9.654594037e-01
2.104208417e+03 1.837699443e-01 1.362685590e+01 9.516126112e-01
2.114228457e+03 1.800571048e-01 1.364488575e+01 9.379025827e-01
2.124248497e+03 1.764100225e-01 1.366270432e+01 9.243294663e-01
2.134268537e+03 1.728278395e-01 1.368031244e+01 9.108933677e-01
2.144288577e+03 1.693097014e-01 1.369771096e+01 8.975943561e-01
2.154308617e+03 1.658547534e-01 1.371490077e+01 8.844324586e-01
2.164328657e+03 1.624621459e-01 1.373188281e+01 8.714076679e-01
2.174348697e+03 1.591310271e-01 1.374865804e+01 8.585199328e-01
2.184368737e+03 1.558605514e-01 1.376522747e+01 8.457691713e-01
2.194388778e+03 1.526498733e-01 1.378159214e+01 8.331552603e-01
2.204408818e+03 1.494981516e-01 1.379775312e+01 8.206780405e-01
2.214428858e+03 1.464045533e-01 1.381371149e+01 8.083373227e-01
2.224448898e+03 1.433682429e-01 1.382946840e+01 7.961328742e-01
2.234468938e+03 1.403883878e-01 1.384502502e+01 7.840644362e-01
2.244488978e+03 1.374641587e-01 1.386038258e+01 7.721317127e-01
2.254509018e+03 1.345947402e-01 1.387554227e+01 7.603343767e-01
2.264529058e+03 1.317793203e-01 1.389050532e+01 7.486720686e-01
2.274549098e+03 1.290170923e-01 1.390527299e+01 7.371443999e-01
2.284569138e+03 1.263072461e-01 1.391984661e+01 7.257509504e-01
2.294589178e+03 1.236489736e-01 1.393422753e+01 7.144912696e-01
2.304609218e+03 1.210414781e-01 1.394841713e+01 7.033648777e-01
2.314629259e+03 1.184839857e-01 1.396241670e+01 6.923712663e-01
2.324649299e+03 1.159757063e-01 1.397622767e+01 6.815099028e-01
2.334669339e+03 1.135158682e-01 1.398985145e+01 6.707802260e-01
2.344689379e+03 1.111036965e-01 1.400328948e+01 6.601816480e-01
2.354709419e+03 1.087384306e-01 1.401654321e+01 6.497135555e-01
2.364729459e+03 1.064193136e-01 1.402961412e+01 6.393753118e-01
2.374749499e+03 1.041455950e-01 1.404250368e+01 6.291662580e-01
2.384769539e+03 1.019165318e-01 1.405521341e+01 6.190857121e-01
2.394789579e+03 9.973138729e-02 1.406774482e+01 6.091329720e-01
2.404809619e+03 9.758943317e-02 1.408009944e+01 5.993073097e-01
2.414829659e+03 9.548994894e-02 1.409227883e+01 5.896079758e-01
2.424849699e+03 9.343222071e-02 1.410428453e+01 5.800342020e-01
2.434869739e+03 9.141554245e-02 1.411611813e+01 5.705852015e-01
2.444889780e+03 8.943921537e-02 1.412778120e+01 5.612601705e-01
2.454909820e+03 8.750254749e-02 1.413927534e+01 5.520582871e-01
2.464929860e+03 8.560485535e-02 1.415060214e+01 5.429787125e-01
2.474949900e+03 8.374546355e-02 1.416176321e+01 5.340205911e-01
2.484969940e+03 8.192370396e-02 1.417276017e+01 5.251830515e-01
2.494989980e+03 8.013891647e-02 1.418359464e+01 5.164652076e-01
2.505010020e+03 7.839044901e-02 1.419426824e+01 5.078661587e-01
2.515030060e+03 7.667765756e-02 1.420478262e+01 4.993849911e-01
2.525050100e+03 7.499990600e-02 1.421513942e+01 4.910207779e-01
2.535070140e+03 7.335656629e-02 1.422534026e+01 4.827725806e-01
2.545090180e+03 7.174701837e-02 1.423538681e+01 4.746394498e-01
2.555110220e+03 7.017065024e-02 1.424528070e+01 4.666204243e-01
2.565130261e+03 6.862685789e-02 1.425502359e+01 4.587145304e-01
2.575150301e+03 6.711504543e-02 1.426461712e+01 4.509207881e-01
2.585170341e+03 6.563462508e-02 1.427406296e+01 4.432382072e-01
2.595190381e+03 6.418501718e-02 1.428336274e+01 4.356657909e-01
2.605210421e+03 6.276564983e-02 1.429251813e+01 4.282025304e-01
2.615230461e+03 6.137595959e-02 1.430153076e+01 4.208474157e-01
2.625250501e+03 6.001539097e-02 1.431040229e+01 4.135994289e-01
2.635270541e+03 5.868339605e-02 1.431913435e+01 4.064575411e-01
2.645290581e+03 5.737943541e-02 1.432772860e+01 3.994207240e-01
2.655310621e+03 5.610297739e-02 1.433618666e+01 3.924879419e-01
2.665330661e+03 5.485349804e-02 1.434451017e+01 3.856581531e-01
2.675350701e+03 5.363048154e-02 1.435270076e+01 3.789303135e-01
2.685370741e+03 5.243341980e-02 1.436076006e+01 3.723033753e-01
2.695390782e+03 5.126181247e-02 1.436868967e+01 3.657762877e-01
2.705410822e+03 5.011516704e-02 1.437649123e+01 3.593479972e-01
2.715430862e+03 4.899299856e-02 1.438416633e+01 3.530174489e-01
2.725450902e+03 4.789482979e-02 1.439171657e+01 3.467835864e-01
2.735470942e+03 4.682019122e-02 1.439914354e+01 3.406453521e-01
2.745490982e+03 4.576862088e-02 1.440644884e+01 3.346016885e-01
2.755511022e+03 4.473966386e-02 1.441363403e+01 3.286515364e-01
2.765531062e+03 4.373287305e-02 1.442070069e+01 3.227938383e-01
2.775551102e+03 4.274780880e-02 1.442765038e+01 3.170275379e-01
2.785571142e+03 4.178403871e-02 1.443448464e+01 3.113515800e-01
2.795591182e+03 4.084113695e-02 1.444120502e+01 3.057649071e-01
2.805611222e+03 3.991868566e-02 1.444781304e+01 3.002664681e-01
2.815631263e+03 3.901627384e-02 1.445431024e+01 2.948552129e-01
2.825651303e+03 3.813349751e-02 1.446069813e+01 2.895300939e-01
2.835671343e+03 3.726995917e-02 1.446697819e+01 2.842900632e-01
2.845691383e+03 3.642526880e-02 1.447315194e+01 2.791340803e-01
2.855711423e+03 3.559904299e-02 1.447922084e+01 2.740611066e-01
2.865731463e+03 3.479090499e-02 1.448518636e+01 2.690701071e-01
2.875751503e+03 3.400048453e-02 1.449104997e+01 2.641600496e-01
2.885771543e+03 3.322741820e-02 1.449681310e+01 2.593299085e-01
2.895791583e+03 3.247134899e-02 1.450247720e+01 2.545786619e-01
2.905811623e+03 3.173192624e-02 1.450804367e+01 2.499052924e-01
2.915831663e+03 3.100880556e-02 1.451351395e+01 2.453087873e-01
2.925851703e+03 3.030164900e-02 1.451888941e+01 2.407881407e-01
2.935871743e+03 2.961012470e-02 1.452417145e+01 2.363423520e-01
2.945891784e+03 2.893390683e-02 1.452936144e+01 2.319704251e-01
2.955911824e+03 2.827267561e-02 1.453446074e+01 2.276713705e-01
2.965931864e+03 2.762611724e-02 1.453947069e+01 2.234442060e-01
2.975951904e+03 2.699392378e-02 1.454439263e+01 2.192879556e-01
