time            A               B               Y              
1.442885772e+03 8.658259005e-02 1.283082649e+01 7.288373681e-01
1.452905812e+03 8.394418852e-02 1.286075232e+01 7.160005892e-01
1.462925852e+03 8.137554027e-02 1.289027815e+01 7.032999639e-01
1.472945892e+03 7.887525209e-02 1.291940553e+01 6.907364845e-01
1.482965932e+03 7.644194064e-02 1.294813611e+01 6.783110717e-01
1.492985972e+03 7.407423405e-02 1.297647160e+01 6.660245799e-01
1.503006012e+03 7.177077222e-02 1.300441379e+01 6.538777979e-01
1.513026052e+03 6.953020688e-02 1.303196455e+01 6.418714490e-01
1.523046092e+03 6.735120238e-02 1.305912581e+01 6.300061832e-01
1.533066132e+03 6.523243422e-02 1.308589960e+01 6.182825901e-01
1.543086172e+03 6.317259110e-02 1.311228797e+01 6.067011954e-01
1.553106212e+03 6.117037874e-02 1.313829311e+01 5.952624429e-01
1.563126253e+03 5.922451456e-02 1.316391724e+01 5.839667228e-01
1.573146293e+03 5.733373206e-02 1.318916266e+01 5.728143542e-01
1.583166333e+03 5.549678152e-02 1.321403169e+01 5.618055961e-01
1.593186373e+03 5.371242870e-02 1.323852675e+01 5.509406423e-01
1.603206413e+03 5.197945361e-02 1.326265028e+01 5.402196275e-01
1.613226453e+03 5.029665093e-02 1.328640487e+01 5.296426101e-01
1.623246493e+03 4.866282528e-02 1.330979313e+01 5.192096038e-01
1.633266533e+03 4.707680975e-02 1.333281771e+01 5.089205500e-01
1.643286573e+03 4.553745443e-02 1.335548127e+01 4.987753371e-01
1.653306613e+03 4.404361967e-02 1.337778660e+01 4.887737902e-01
1.663326653e+03 4.259418662e-02 1.339973649e+01 4.789156774e-01
1.673346693e+03 4.118805307e-02 1.342133382e+01 4.692007106e-01
1.683366733e+03 3.982413484e-02 1.344258148e+01 4.596285447e-01
1.693386774e+03 3.850136500e-02 1.346348242e+01 4.501987824e-01
1.703406814e+03 3.721869451e-02 1.348403966e+01 4.409109727e-01
1.713426854e+03 3.597509387e-02 1.350425623e+01 4.317646064e-01
1.723446894e+03 3.476955008e-02 1.352413522e+01 4.227591293e-01
1.733466934e+03 3.360106851e-02 1.354367974e+01 4.138939358e-01
1.743486974e+03 3.246867359e-02 1.356289294e+01 4.051683725e-01
1.753507014e+03 3.137140715e-02 1.358177800e+01 3.965817406e-01
1.763527054e+03 3.030833203e-02 1.360033814e+01 3.881332896e-01
1.773547094e+03 2.927852357e-02 1.361857665e+01 3.798222337e-01
1.783567134e+03 2.828107782e-02 1.363649682e+01 3.716477370e-01
1.793587174e+03 2.731511004e-02 1.365410193e+01 3.636089257e-01
1.803607214e+03 2.637975258e-02 1.367139534e+01 3.557048852e-01
1.813627255e+03 2.547415584e-02 1.368838042e+01 3.479346617e-01
1.823647295e+03 2.459748816e-02 1.370506054e+01 3.402972651e-01
1.833667335e+03 2.374893530e-02 1.372143912e+01 3.327916695e-01
1.843687375e+03 2.292770064e-02 1.373751958e+01 3.254168151e-01
1.853707415e+03 2.213300472e-02 1.375330537e+01 3.181716092e-01
1.863727455e+03 2.136408606e-02 1.376879996e+01 3.110549268e-01
1.873747495e+03 2.062020063e-02 1.378400683e+01 3.040656127e-01
1.883767535e+03 1.990062062e-02 1.379892945e+01 2.972024856e-01
1.893787575e+03 1.920463569e-02 1.381357132e+01 2.904643366e-01
1.903807615e+03 1.853155097e-02 1.382793595e+01 2.838499326e-01
1.913827655e+03 1.788069208e-02 1.384202684e+01 2.773580101e-01
1.923847695e+03 1.725139267e-02 1.385584754e+01 2.709872929e-01
1.933867735e+03 1.664300810e-02 1.386940158e+01 2.647364767e-01
1.943887776e+03 1.605491057e-02 1.388269246e+01 2.586042404e-01
1.953907816e+03 1.548648519e-02 1.389572373e+01 2.525892437e-01
1.963927856e+03 1.493713356e-02 1.390849890e+01 2.466901288e-01
1.973947896e+03 1.440627275e-02 1.392102152e+01 2.409055222e-01
1.983967936e+03 1.389333541e-02 1.393329509e+01 2.352340357e-01
1.993987976e+03 1.339776582e-02 1.394532314e+01 2.296742707e-01
2.004008016e+03 1.291902437e-02 1.395710919e+01 2.242248149e-01
2.014028056e+03 1.245658697e-02 1.396865673e+01 2.188842446e-01
2.024048096e+03 1.200994159e-02 1.397996927e+01 2.136511282e-01
2.034068136e+03 1.157859036e-02 1.399105030e+01 2.085240255e-01
2.044088176e+03 1.116205104e-02 1.400190329e+01 2.035014882e-01
2.054108216e+03 1.075985089e-02 1.401253170e+01 1.985820645e-01
2.064128257e+03 1.037153245e-02 1.402293897e+01 1.937642962e-01
2.074148297e+03 9.996651934e-03 1.403312854e+01 1.890467215e-01
2.084168337e+03 9.634774305e-03 1.404310385e+01 1.844278770e-01
2.094188377e+03 9.285480673e-03 1.405286827e+01 1.799062966e-01
2.104208417e+03 8.948362281e-03 1.406242520e+01 1.754805145e-01
2.114228457e+03 8.623021081e-03 1.407177799e+01 1.711490650e-01
2.124248497e+03 8.309073459e-03 1.408092998e+01 1.669104841e-01
2.134268537e+03 8.006144103e-03 1.408988449e+01 1.627633099e-01
2.144288577e+03 7.713869622e-03 1.409864483e+01 1.587060831e-01
2.154308617e+03 7.431898639e-03 1.410721427e+01 1.547373494e-01
