time            X1              X2             
5.591182365e+01 1.508952800e-01 1.997050970e+00
5.651302605e+01 1.505532821e-01 1.997057644e+00
5.711422846e+01 1.502120571e-01 1.997064302e+00
5.771543086e+01 1.498716034e-01 1.997070946e+00
5.831663327e+01 1.495319192e-01 1.997077575e+00
5.891783567e+01 1.491930027e-01 1.997084189e+00
5.951903808e+01 1.488548522e-01 1.997090789e+00
6.012024048e+01 1.485174661e-01 1.997097373e+00
6.072144289e+01 1.481808425e-01 1.997103943e+00
6.132264529e+01 1.478449798e-01 1.997110497e+00
6.192384770e+01 1.475098763e-01 1.997117037e+00
6.252505010e+01 1.471755302e-01 1.997123562e+00
6.312625251e+01 1.468419399e-01 1.997130073e+00
6.372745491e+01 1.465091036e-01 1.997136568e+00
6.432865731e+01 1.461770197e-01 1.997143050e+00
6.492985972e+01 1.458456865e-01 1.997149516e+00
6.553106212e+01 1.455151022e-01 1.997155968e+00
6.613226453e+01 1.451852653e-01 1.997162406e+00
6.673346693e+01 1.448561739e-01 1.997168828e+00
6.733466934e+01 1.445278265e-01 1.997175237e+00
6.793587174e+01 1.442002214e-01 1.997181631e+00
6.853707415e+01 1.438733569e-01 1.997188010e+00
6.913827655e+01 1.435472313e-01 1.997194376e+00
6.973947896e+01 1.432218430e-01 1.997200726e+00
7.034068136e+01 1.428971902e-01 1.997207063e+00
7.094188377e+01 1.425732715e-01 1.997213385e+00
7.154308617e+01 1.422500851e-01 1.997219693e+00
7.214428858e+01 1.419276293e-01 1.997225987e+00
7.274549098e+01 1.416059025e-01 1.997232266e+00
7.334669339e+01 1.412849032e-01 1.997238532e+00
7.394789579e+01 1.409646295e-01 1.997244783e+00
7.454909820e+01 1.406450800e-01 1.997251020e+00
7.515030060e+01 1.403262530e-01 1.997257243e+00
7.575150301e+01 1.400081468e-01 1.997263452e+00
7.635270541e+01 1.396907599e-01 1.997269647e+00
7.695390782e+01 1.393740906e-01 1.997275828e+00
7.755511022e+01 1.390581373e-01 1.997281996e+00
7.815631263e+01 1.387428984e-01 1.997288149e+00
7.875751503e+01 1.384283722e-01 1.997294288e+00
7.935871743e+01 1.381145573e-01 1.997300414e+00
7.995991984e+01 1.378014520e-01 1.997306525e+00
8.056112224e+01 1.374890546e-01 1.997312623e+00
8.116232465e+01 1.371773637e-01 1.997318708e+00
8.176352705e+01 1.368663775e-01 1.997324778e+00
8.236472946e+01 1.365560946e-01 1.997330835e+00
8.296593186e+01 1.362465133e-01 1.997336878e+00
8.356713427e+01 1.359376321e-01 1.997342907e+00
8.416833667e+01 1.356294493e-01 1.997348923e+00
8.476953908e+01 1.353219635e-01 1.997354926e+00
8.537074148e+01 1.350151730e-01 1.997360915e+00
8.597194389e+01 1.347090763e-01 1.997366890e+00
8.657314629e+01 1.344036718e-01 1.997372852e+00
8.717434870e+01 1.340989580e-01 1.997378800e+00
8.777555110e+01 1.337949333e-01 1.997384735e+00
8.837675351e+01 1.334915961e-01 1.997390656e+00
8.897795591e+01 1.331889450e-01 1.997396565e+00
8.957915832e+01 1.328869783e-01 1.997402460e+00
9.018036072e+01 1.325856946e-01 1.997408341e+00
9.078156313e+01 1.322850923e-01 1.997414209e+00
9.138276553e+01 1.319851698e-01 1.997420064e+00
9.198396794e+01 1.316859257e-01 1.997425906e+00
9.258517034e+01 1.313873583e-01 1.997431735e+00
9.318637275e+01 1.310894663e-01 1.997437551e+00
9.378757515e+01 1.307922480e-01 1.997443353e+00
9.438877756e+01 1.304957019e-01 1.997449142e+00
9.498997996e+01 1.301998266e-01 1.997454919e+00
9.559118236e+01 1.299046205e-01 1.997460682e+00
9.619238477e+01 1.296100821e-01 1.997466432e+00
9.679358717e+01 1.293162099e-01 1.997472169e+00
9.739478958e+01 1.290230025e-01 1.997477894e+00
9.799599198e+01 1.287304582e-01 1.997483605e+00
9.859719439e+01 1.284385757e-01 1.997489303e+00
9.919839679e+01 1.281473534e-01 1.997494989e+00
9.979959920e+01 1.278567898e-01 1.997500662e+00
1.004008016e+02 1.275668835e-01 1.997506322e+00
1.010020040e+02 1.272776330e-01 1.997511969e+00
1.016032064e+02 1.269890369e-01 1.997517604e+00
1.022044088e+02 1.267010935e-01 1.997523225e+00
1.028056112e+02 1.264138015e-01 1.997528835e+00
1.034068136e+02 1.261271594e-01 1.997534431e+00
1.040080160e+02 1.258411658e-01 1.997540015e+00
1.046092184e+02 1.255558191e-01 1.997545586e+00
1.052104208e+02 1.252711179e-01 1.997551145e+00
1.058116232e+02 1.249870608e-01 1.997556691e+00
