time            Cj              Ck             
3.406813627e+01 7.465374471e-01 6.826622040e+00
3.426853707e+01 7.465438178e-01 6.868135799e+00
3.446893788e+01 7.465501883e-01 6.909646779e+00
3.466933868e+01 7.465565586e-01 6.951154979e+00
3.486973948e+01 7.465629286e-01 6.992660402e+00
3.507014028e+01 7.465692985e-01 7.034163045e+00
3.527054108e+01 7.465756681e-01 7.075662911e+00
3.547094188e+01 7.465820375e-01 7.117159998e+00
3.567134269e+01 7.465884067e-01 7.158654308e+00
3.587174349e+01 7.465947757e-01 7.200145840e+00
3.607214429e+01 7.466011445e-01 7.241634595e+00
3.627254509e+01 7.466075131e-01 7.283120572e+00
3.647294589e+01 7.466138814e-01 7.324603773e+00
3.667334669e+01 7.466202496e-01 7.366084198e+00
3.687374749e+01 7.466266175e-01 7.407561846e+00
3.707414830e+01 7.466329852e-01 7.449036717e+00
3.727454910e+01 7.466393527e-01 7.490508813e+00
3.747494990e+01 7.466457200e-01 7.531978134e+00
3.767535070e+01 7.466520870e-01 7.573444679e+00
3.787575150e+01 7.466584539e-01 7.614908449e+00
3.807615230e+01 7.466648205e-01 7.656369444e+00
3.827655311e+01 7.466711869e-01 7.697827664e+00
3.847695391e+01 7.466775531e-01 7.739283110e+00
3.867735471e+01 7.466839191e-01 7.780735782e+00
3.887775551e+01 7.466902849e-01 7.822185679e+00
3.907815631e+01 7.466966505e-01 7.863632803e+00
3.927855711e+01 7.467030158e-01 7.905077154e+00
3.947895792e+01 7.467093809e-01 7.946518731e+00
3.967935872e+01 7.467157459e-01 7.987957535e+00
3.987975952e+01 7.467221106e-01 8.029393566e+00
4.008016032e+01 7.467284751e-01 8.070826825e+00
4.028056112e+01 7.467348393e-01 8.112257312e+00
4.048096192e+01 7.467412034e-01 8.153685026e+00
4.068136273e+01 7.467475673e-01 8.195109969e+00
4.088176353e+01 7.467539309e-01 8.236532140e+00
4.108216433e+01 7.467602943e-01 8.277951539e+00
4.128256513e+01 7.467666575e-01 8.319368168e+00
4.148296593e+01 7.467730205e-01 8.360782026e+00
