time            B               C              
2.384769539e+02 1.027957915e+00 1.027957915e+00
2.404809619e+02 1.023646011e+00 1.023646011e+00
2.424849699e+02 1.019370131e+00 1.019370131e+00
2.444889780e+02 1.015129824e+00 1.015129824e+00
2.464929860e+02 1.010924648e+00 1.010924648e+00
2.484969940e+02 1.006754168e+00 1.006754168e+00
2.505010020e+02 1.002617956e+00 1.002617956e+00
2.525050100e+02 9.985155922e-01 9.985155922e-01
2.545090180e+02 9.944466627e-01 9.944466627e-01
2.565130261e+02 9.904107595e-01 9.904107595e-01
2.585170341e+02 9.864074819e-01 9.864074819e-01
2.605210421e+02 9.824364369e-01 9.824364369e-01
2.625250501e+02 9.784972342e-01 9.784972342e-01
2.645290581e+02 9.745894931e-01 9.745894931e-01
2.665330661e+02 9.707128409e-01 9.707128409e-01
2.685370741e+02 9.668669101e-01 9.668669101e-01
2.705410822e+02 9.630513335e-01 9.630513335e-01
2.725450902e+02 9.592657531e-01 9.592657531e-01
2.745490982e+02 9.555098172e-01 9.555098172e-01
2.765531062e+02 9.517831791e-01 9.517831791e-01
2.785571142e+02 9.480854967e-01 9.480854967e-01
2.805611222e+02 9.444164340e-01 9.444164340e-01
2.825651303e+02 9.407756610e-01 9.407756610e-01
2.845691383e+02 9.371628515e-01 9.371628515e-01
2.865731463e+02 9.335776840e-01 9.335776840e-01
2.885771543e+02 9.300198427e-01 9.300198427e-01
2.905811623e+02 9.264890171e-01 9.264890171e-01
2.925851703e+02 9.229848995e-01 9.229848995e-01
2.945891784e+02 9.195071874e-01 9.195071874e-01
2.965931864e+02 9.160555835e-01 9.160555835e-01
2.985971944e+02 9.126297957e-01 9.126297957e-01
3.006012024e+02 9.092295366e-01 9.092295366e-01
3.026052104e+02 9.058545213e-01 9.058545213e-01
3.046092184e+02 9.025044675e-01 9.025044675e-01
3.066132265e+02 8.991790994e-01 8.991790994e-01
3.086172345e+02 8.958781454e-01 8.958781454e-01
3.106212425e+02 8.926013383e-01 8.926013383e-01
3.126252505e+02 8.893484142e-01 8.893484142e-01
3.146292585e+02 8.861191111e-01 8.861191111e-01
3.166332665e+02 8.829131724e-01 8.829131724e-01
3.186372745e+02 8.797303459e-01 8.797303459e-01
3.206412826e+02 8.765703834e-01 8.765703834e-01
3.226452906e+02 8.734330418e-01 8.734330418e-01
3.246492986e+02 8.703180934e-01 8.703180934e-01
3.266533066e+02 8.672252943e-01 8.672252943e-01
3.286573146e+02 8.641543890e-01 8.641543890e-01
3.306613226e+02 8.611051488e-01 8.611051488e-01
3.326653307e+02 8.580773547e-01 8.580773547e-01
3.346693387e+02 8.550707813e-01 8.550707813e-01
3.366733467e+02 8.520852015e-01 8.520852015e-01
3.386773547e+02 8.491203951e-01 8.491203951e-01
3.406813627e+02 8.461761497e-01 8.461761497e-01
3.426853707e+02 8.432522525e-01 8.432522525e-01
3.446893788e+02 8.403484925e-01 8.403484925e-01
3.466933868e+02 8.374646617e-01 8.374646617e-01
3.486973948e+02 8.346005559e-01 8.346005559e-01
3.507014028e+02 8.317559737e-01 8.317559737e-01
3.527054108e+02 8.289307163e-01 8.289307163e-01
3.547094188e+02 8.261245871e-01 8.261245871e-01
3.567134269e+02 8.233373926e-01 8.233373926e-01
3.587174349e+02 8.205689420e-01 8.205689420e-01
3.607214429e+02 8.178190463e-01 8.178190463e-01
3.627254509e+02 8.150875196e-01 8.150875196e-01
3.647294589e+02 8.123741788e-01 8.123741788e-01
3.667334669e+02 8.096788421e-01 8.096788421e-01
3.687374749e+02 8.070013315e-01 8.070013315e-01
3.707414830e+02 8.043414720e-01 8.043414720e-01
3.727454910e+02 8.016990894e-01 8.016990894e-01
3.747494990e+02 7.990740112e-01 7.990740112e-01
3.767535070e+02 7.964660680e-01 7.964660680e-01
3.787575150e+02 7.938750927e-01 7.938750927e-01
3.807615230e+02 7.913009199e-01 7.913009199e-01
3.827655311e+02 7.887433864e-01 7.887433864e-01
3.847695391e+02 7.862023313e-01 7.862023313e-01
3.867735471e+02 7.836775877e-01 7.836775877e-01
3.887775551e+02 7.811690219e-01 7.811690219e-01
3.907815631e+02 7.786764594e-01 7.786764594e-01
3.927855711e+02 7.761997513e-01 7.761997513e-01
3.947895792e+02 7.737387490e-01 7.737387490e-01
3.967935872e+02 7.712933048e-01 7.712933048e-01
3.987975952e+02 7.688632711e-01 7.688632711e-01
4.008016032e+02 7.664485027e-01 7.664485027e-01
4.028056112e+02 7.640488542e-01 7.640488542e-01
4.048096192e+02 7.616641847e-01 7.616641847e-01
4.068136273e+02 7.592943527e-01 7.592943527e-01
4.088176353e+02 7.569392215e-01 7.569392215e-01
4.108216433e+02 7.545986548e-01 7.545986548e-01
4.128256513e+02 7.522725183e-01 7.522725183e-01
4.148296593e+02 7.499606797e-01 7.499606797e-01
4.168336673e+02 7.476630072e-01 7.476630072e-01
4.188376754e+02 7.453793702e-01 7.453793702e-01
4.208416834e+02 7.431096406e-01 7.431096406e-01
4.228456914e+02 7.408536917e-01 7.408536917e-01
4.248496994e+02 7.386113990e-01 7.386113990e-01
4.268537074e+02 7.363826406e-01 7.363826406e-01
4.288577154e+02 7.341672935e-01 7.341672935e-01
4.308617234e+02 7.319652343e-01 7.319652343e-01
4.328657315e+02 7.297763456e-01 7.297763456e-01
4.348697395e+02 7.276005109e-01 7.276005109e-01
4.368737475e+02 7.254376113e-01 7.254376113e-01
4.388777555e+02 7.232875310e-01 7.232875310e-01
4.408817635e+02 7.211501595e-01 7.211501595e-01
4.428857715e+02 7.190253827e-01 7.190253827e-01
4.448897796e+02 7.169130913e-01 7.169130913e-01
4.468937876e+02 7.148131678e-01 7.148131678e-01
4.488977956e+02 7.127255134e-01 7.127255134e-01
4.509018036e+02 7.106500168e-01 7.106500168e-01
4.529058116e+02 7.085865716e-01 7.085865716e-01
4.549098196e+02 7.065350741e-01 7.065350741e-01
4.569138277e+02 7.044954206e-01 7.044954206e-01
4.589178357e+02 7.024675097e-01 7.024675097e-01
4.609218437e+02 7.004512417e-01 7.004512417e-01
4.629258517e+02 6.984465171e-01 6.984465171e-01
4.649298597e+02 6.964532351e-01 6.964532351e-01
4.669338677e+02 6.944712987e-01 6.944712987e-01
4.689378758e+02 6.925006123e-01 6.925006123e-01
4.709418838e+02 6.905410818e-01 6.905410818e-01
4.729458918e+02 6.885926129e-01 6.885926129e-01
4.749498998e+02 6.866550961e-01 6.866550961e-01
4.769539078e+02 6.847284392e-01 6.847284392e-01
4.789579158e+02 6.828125729e-01 6.828125729e-01
4.809619238e+02 6.809074050e-01 6.809074050e-01
4.829659319e+02 6.790128373e-01 6.790128373e-01
4.849699399e+02 6.771287801e-01 6.771287801e-01
4.869739479e+02 6.752551508e-01 6.752551508e-01
4.889779559e+02 6.733918648e-01 6.733918648e-01
4.909819639e+02 6.715388335e-01 6.715388335e-01
4.929859719e+02 6.696959716e-01 6.696959716e-01
4.949899800e+02 6.678631961e-01 6.678631961e-01
