time            Cj              Ck              Br             
7.274549098e+02 2.655034111e+00 1.630657700e+00 3.385472901e-02
7.334669339e+02 2.655426639e+00 1.631255372e+00 3.232980159e-02
7.394789579e+02 2.655801646e+00 1.631826261e+00 3.087324026e-02
7.454909820e+02 2.656159903e+00 1.632371557e+00 2.948201455e-02
7.515030060e+02 2.656502149e+00 1.632892398e+00 2.815322027e-02
7.575150301e+02 2.656829090e+00 1.633389861e+00 2.688407785e-02
7.635270541e+02 2.657141403e+00 1.633864973e+00 2.567192965e-02
7.695390782e+02 2.657439735e+00 1.634318758e+00 2.451423529e-02
7.755511022e+02 2.657724705e+00 1.634752166e+00 2.340856614e-02
7.815631263e+02 2.657996906e+00 1.635166096e+00 2.235260017e-02
7.875751503e+02 2.658256905e+00 1.635561418e+00 2.134411777e-02
7.935871743e+02 2.658505242e+00 1.635938964e+00 2.038099772e-02
7.995991984e+02 2.658742437e+00 1.636299531e+00 1.946121110e-02
8.056112224e+02 2.658968986e+00 1.636643874e+00 1.858281840e-02
8.116232465e+02 2.659185363e+00 1.636972716e+00 1.774396781e-02
8.176352705e+02 2.659392020e+00 1.637286756e+00 1.694288849e-02
8.236472946e+02 2.659589391e+00 1.637586658e+00 1.617788816e-02
8.296593186e+02 2.659777894e+00 1.637873059e+00 1.544733506e-02
8.356713427e+02 2.659957911e+00 1.638146541e+00 1.474974088e-02
8.416833667e+02 2.660129838e+00 1.638407711e+00 1.408355767e-02
8.476953908e+02 2.660294031e+00 1.638657112e+00 1.344740417e-02
8.537074148e+02 2.660450834e+00 1.638895270e+00 1.283993128e-02
8.597194389e+02 2.660600579e+00 1.639122692e+00 1.225984939e-02
8.657314629e+02 2.660743583e+00 1.639339858e+00 1.170592701e-02
8.717434870e+02 2.660880146e+00 1.639547231e+00 1.117698945e-02
8.777555110e+02 2.661010558e+00 1.639745252e+00 1.067191203e-02
8.837675351e+02 2.661135092e+00 1.639934344e+00 1.018962720e-02
8.897795591e+02 2.661254014e+00 1.640114918e+00 9.729106141e-03
8.957915832e+02 2.661367582e+00 1.640287301e+00 9.289370093e-03
9.018036072e+02 2.661476027e+00 1.640451931e+00 8.869482978e-03
9.078156313e+02 2.661579582e+00 1.640609123e+00 8.468551252e-03
9.138276553e+02 2.661678468e+00 1.640759223e+00 8.085716574e-03
9.198396794e+02 2.661772891e+00 1.640902543e+00 7.720178010e-03
9.258517034e+02 2.661863052e+00 1.641039388e+00 7.371155342e-03
9.318637275e+02 2.661949148e+00 1.641170060e+00 7.037885433e-03
9.378757515e+02 2.662031359e+00 1.641294833e+00 6.719668313e-03
9.438877756e+02 2.662109860e+00 1.641413972e+00 6.415825192e-03
9.498997996e+02 2.662184818e+00 1.641527728e+00 6.125708371e-03
9.559118236e+02 2.662256392e+00 1.641636337e+00 5.848699060e-03
9.619238477e+02 2.662324735e+00 1.641740027e+00 5.584206270e-03
9.679358717e+02 2.662389992e+00 1.641839048e+00 5.331661562e-03
9.739478958e+02 2.662452302e+00 1.641933595e+00 5.090529801e-03
9.799599198e+02 2.662511797e+00 1.642023866e+00 4.860302767e-03
9.859719439e+02 2.662568604e+00 1.642110058e+00 4.640483661e-03
9.919839679e+02 2.662622846e+00 1.642192360e+00 4.430594525e-03
9.979959920e+02 2.662674638e+00 1.642270948e+00 4.230191930e-03
1.004008016e+03 2.662724091e+00 1.642345977e+00 4.038847430e-03
1.010020040e+03 2.662771309e+00 1.642417597e+00 3.856151985e-03
1.016032064e+03 2.662816394e+00 1.642485992e+00 3.681712757e-03
1.022044088e+03 2.662859440e+00 1.642551293e+00 3.515171413e-03
1.028056112e+03 2.662900541e+00 1.642613641e+00 3.356153576e-03
1.034068136e+03 2.662939785e+00 1.642673165e+00 3.204325710e-03
1.040080160e+03 2.662977257e+00 1.642730000e+00 3.059357486e-03
1.046092184e+03 2.663013033e+00 1.642784278e+00 2.920954153e-03
1.052104208e+03 2.663047195e+00 1.642836106e+00 2.788797284e-03
1.058116232e+03 2.663079810e+00 1.642885577e+00 2.662625848e-03
1.064128257e+03 2.663110954e+00 1.642932821e+00 2.542145634e-03
1.070140281e+03 2.663140682e+00 1.642977931e+00 2.427148261e-03
1.076152305e+03 2.663169070e+00 1.643020989e+00 2.317333646e-03
1.082164329e+03 2.663196175e+00 1.643062091e+00 2.212484525e-03
1.088176353e+03 2.663222055e+00 1.643101342e+00 2.112375859e-03
1.094188377e+03 2.663246763e+00 1.643138819e+00 2.016800668e-03
1.100200401e+03 2.663270355e+00 1.643174604e+00 1.925545827e-03
1.106212425e+03 2.663292885e+00 1.643208773e+00 1.838397681e-03
1.112224449e+03 2.663314385e+00 1.643241376e+00 1.755233101e-03
1.118236473e+03 2.663334919e+00 1.643272524e+00 1.675808633e-03
1.124248497e+03 2.663354525e+00 1.643302260e+00 1.599976463e-03
1.130260521e+03 2.663373242e+00 1.643330648e+00 1.527580936e-03
1.136272545e+03 2.663391112e+00 1.643357752e+00 1.458464470e-03
1.142284569e+03 2.663408175e+00 1.643383637e+00 1.392468790e-03
1.148296593e+03 2.663424466e+00 1.643408361e+00 1.329458745e-03
1.154308617e+03 2.663440020e+00 1.643431927e+00 1.269298167e-03
1.160320641e+03 2.663454871e+00 1.643454450e+00 1.211859103e-03
1.166332665e+03 2.663469051e+00 1.643475953e+00 1.157016209e-03
1.172344689e+03 2.663482590e+00 1.643496489e+00 1.104650040e-03
1.178356713e+03 2.663495517e+00 1.643516095e+00 1.054654338e-03
1.184368737e+03 2.663507857e+00 1.643534807e+00 1.006929330e-03
1.190380762e+03 2.663519635e+00 1.643552655e+00 9.613754690e-04
1.196392786e+03 2.663530883e+00 1.643569701e+00 9.178709652e-04
1.202404810e+03 2.663541624e+00 1.643586020e+00 8.763314686e-04
1.208416834e+03 2.663551878e+00 1.643601562e+00 8.366744539e-04
1.214428858e+03 2.663561668e+00 1.643616412e+00 7.988099447e-04
1.220440882e+03 2.663571016e+00 1.643630587e+00 7.626599500e-04
1.226452906e+03 2.663579939e+00 1.643644121e+00 7.281483229e-04
1.232464930e+03 2.663588460e+00 1.643657043e+00 6.951959693e-04
1.238476954e+03 2.663596595e+00 1.643669384e+00 6.637347229e-04
1.244488978e+03 2.663604362e+00 1.643681172e+00 6.336972702e-04
1.250501002e+03 2.663611778e+00 1.643692417e+00 6.050186021e-04
1.256513026e+03 2.663618857e+00 1.643703142e+00 5.776374647e-04
1.262525050e+03 2.663625617e+00 1.643713390e+00 5.514949429e-04
1.268537074e+03 2.663632071e+00 1.643723177e+00 5.265354495e-04
1.274549098e+03 2.663638232e+00 1.643732520e+00 5.027087444e-04
1.280561122e+03 2.663644114e+00 1.643741441e+00 4.799618359e-04
1.286573146e+03 2.663649731e+00 1.643749961e+00 4.582410740e-04
1.292585170e+03 2.663655093e+00 1.643758102e+00 4.375039439e-04
1.298597194e+03 2.663660213e+00 1.643765884e+00 4.177045901e-04
1.304609218e+03 2.663665101e+00 1.643773277e+00 3.988001231e-04
1.310621242e+03 2.663669768e+00 1.643780336e+00 3.807509529e-04
1.316633267e+03 2.663674224e+00 1.643787104e+00 3.635190232e-04
1.322645291e+03 2.663678478e+00 1.643793551e+00 3.470665012e-04
1.328657315e+03 2.663682540e+00 1.643799711e+00 3.313578814e-04
1.334669339e+03 2.663686418e+00 1.643805591e+00 3.163610876e-04
1.340681363e+03 2.663690121e+00 1.643811206e+00 3.020418121e-04
1.346693387e+03 2.663693654e+00 1.643816564e+00 2.883763756e-04
1.352705411e+03 2.663697028e+00 1.643821679e+00 2.753297237e-04
1.358717435e+03 2.663700250e+00 1.643826563e+00 2.628690908e-04
1.364729459e+03 2.663703327e+00 1.643831232e+00 2.509719606e-04
1.370741483e+03 2.663706264e+00 1.643835687e+00 2.396132452e-04
1.376753507e+03 2.663709068e+00 1.643839938e+00 2.287684832e-04
1.382765531e+03 2.663711746e+00 1.643843998e+00 2.184145139e-04
1.388777555e+03 2.663714302e+00 1.643847875e+00 2.085297228e-04
1.394789579e+03 2.663716742e+00 1.643851576e+00 1.990935398e-04
1.400801603e+03 2.663719072e+00 1.643855110e+00 1.900832914e-04
1.406813627e+03 2.663721296e+00 1.643858481e+00 1.814802471e-04
1.412825651e+03 2.663723420e+00 1.643861700e+00 1.732666774e-04
1.418837675e+03 2.663725448e+00 1.643864775e+00 1.654249468e-04
1.424849699e+03 2.663727384e+00 1.643867712e+00 1.579381859e-04
1.430861723e+03 2.663729232e+00 1.643870515e+00 1.507903157e-04
1.436873747e+03 2.663730997e+00 1.643873192e+00 1.439659759e-04
1.442885772e+03 2.663732682e+00 1.643875746e+00 1.374513796e-04
1.448897796e+03 2.663734290e+00 1.643878185e+00 1.312320764e-04
1.454909820e+03 2.663735826e+00 1.643880513e+00 1.252938127e-04
1.460921844e+03 2.663737291e+00 1.643882736e+00 1.196257349e-04
1.466933868e+03 2.663738691e+00 1.643884858e+00 1.142132444e-04
1.472945892e+03 2.663740027e+00 1.643886884e+00 1.090463329e-04
1.478957916e+03 2.663741303e+00 1.643888819e+00 1.041133784e-04
1.484969940e+03 2.663742521e+00 1.643890666e+00 9.940324632e-05
1.490981964e+03 2.663743684e+00 1.643892429e+00 9.490640421e-05
1.496993988e+03 2.663744794e+00 1.643894113e+00 9.061243446e-05
1.503006012e+03 2.663745854e+00 1.643895720e+00 8.651352536e-05
1.509018036e+03 2.663746866e+00 1.643897255e+00 8.260003305e-05
1.515030060e+03 2.663747832e+00 1.643898720e+00 7.886278319e-05
1.521042084e+03 2.663748755e+00 1.643900120e+00 7.529384860e-05
1.527054108e+03 2.663749637e+00 1.643901456e+00 7.188491436e-05
1.533066132e+03 2.663750479e+00 1.643902733e+00 6.862917416e-05
1.539078156e+03 2.663751282e+00 1.643903952e+00 6.552060386e-05
1.545090180e+03 2.663752050e+00 1.643905115e+00 6.255364579e-05
1.551102204e+03 2.663752783e+00 1.643906227e+00 5.971962846e-05
1.557114228e+03 2.663753482e+00 1.643907288e+00 5.701311076e-05
1.563126253e+03 2.663754151e+00 1.643908301e+00 5.442963798e-05
1.569138277e+03 2.663754788e+00 1.643909268e+00 5.196449974e-05
1.575150301e+03 2.663755397e+00 1.643910191e+00 4.961052469e-05
1.581162325e+03 2.663755978e+00 1.643911072e+00 4.736288098e-05
1.587174349e+03 2.663756533e+00 1.643911913e+00 4.521752823e-05
1.593186373e+03 2.663757062e+00 1.643912716e+00 4.317012809e-05
1.599198397e+03 2.663757568e+00 1.643913482e+00 4.121545046e-05
1.605210421e+03 2.663758050e+00 1.643914214e+00 3.934926635e-05
1.611222445e+03 2.663758511e+00 1.643914913e+00 3.756780037e-05
1.617234469e+03 2.663758951e+00 1.643915580e+00 3.586723841e-05
1.623246493e+03 2.663759370e+00 1.643916216e+00 3.424362050e-05
1.629258517e+03 2.663759771e+00 1.643916824e+00 3.269343581e-05
1.635270541e+03 2.663760154e+00 1.643917405e+00 3.121343909e-05
1.641282565e+03 2.663760519e+00 1.643917959e+00 2.980049303e-05
1.647294589e+03 2.663760868e+00 1.643918488e+00 2.845151259e-05
1.653306613e+03 2.663761201e+00 1.643918993e+00 2.716329462e-05
1.659318637e+03 2.663761519e+00 1.643919475e+00 2.593333919e-05
1.665330661e+03 2.663761823e+00 1.643919935e+00 2.475910895e-05
1.671342685e+03 2.663762113e+00 1.643920375e+00 2.363823705e-05
1.677354709e+03 2.663762390e+00 1.643920795e+00 2.256774997e-05
1.683366733e+03 2.663762654e+00 1.643921196e+00 2.154558824e-05
1.689378758e+03 2.663762906e+00 1.643921578e+00 2.056974683e-05
1.695390782e+03 2.663763147e+00 1.643921943e+00 1.963827254e-05
1.701402806e+03 2.663763377e+00 1.643922292e+00 1.874903162e-05
1.707414830e+03 2.663763597e+00 1.643922625e+00 1.789973528e-05
1.713426854e+03 2.663763807e+00 1.643922943e+00 1.708892626e-05
1.719438878e+03 2.663764007e+00 1.643923247e+00 1.631495499e-05
1.725450902e+03 2.663764198e+00 1.643923536e+00 1.557628245e-05
1.731462926e+03 2.663764380e+00 1.643923813e+00 1.487078418e-05
1.737474950e+03 2.663764554e+00 1.643924077e+00 1.419719327e-05
1.743486974e+03 2.663764721e+00 1.643924329e+00 1.355418407e-05
1.749498998e+03 2.663764879e+00 1.643924570e+00 1.294043502e-05
1.755511022e+03 2.663765031e+00 1.643924800e+00 1.235446992e-05
1.761523046e+03 2.663765176e+00 1.643925019e+00 1.179489116e-05
1.767535070e+03 2.663765314e+00 1.643925229e+00 1.126067461e-05
1.773547094e+03 2.663765446e+00 1.643925428e+00 1.075069213e-05
1.779559118e+03 2.663765572e+00 1.643925619e+00 1.026386320e-05
1.785571142e+03 2.663765692e+00 1.643925802e+00 9.799147786e-06
1.791583166e+03 2.663765806e+00 1.643925976e+00 9.355619511e-06
1.797595190e+03 2.663765916e+00 1.643926142e+00 8.932301083e-06
1.803607214e+03 2.663766020e+00 1.643926300e+00 8.528244179e-06
1.809619238e+03 2.663766120e+00 1.643926451e+00 8.142529049e-06
1.815631263e+03 2.663766215e+00 1.643926596e+00 7.774245603e-06
1.821643287e+03 2.663766306e+00 1.643926734e+00 7.422555718e-06
1.827655311e+03 2.663766393e+00 1.643926865e+00 7.087213884e-06
1.833667335e+03 2.663766476e+00 1.643926991e+00 6.767130032e-06
1.839679359e+03 2.663766555e+00 1.643927110e+00 6.461556703e-06
1.845691383e+03 2.663766630e+00 1.643927225e+00 6.169755896e-06
1.851703407e+03 2.663766702e+00 1.643927334e+00 5.890994772e-06
1.857715431e+03 2.663766771e+00 1.643927439e+00 5.624806515e-06
1.863727455e+03 2.663766837e+00 1.643927538e+00 5.370892915e-06
1.869739479e+03 2.663766900e+00 1.643927633e+00 5.128436704e-06
1.875751503e+03 2.663766959e+00 1.643927724e+00 4.896886925e-06
1.881763527e+03 2.663767017e+00 1.643927811e+00 4.675711231e-06
1.887775551e+03 2.663767071e+00 1.643927893e+00 4.464394119e-06
1.893787575e+03 2.663767123e+00 1.643927973e+00 4.262624837e-06
1.899799599e+03 2.663767173e+00 1.643928048e+00 4.069966906e-06
1.905811623e+03 2.663767221e+00 1.643928120e+00 3.885963822e-06
1.911823647e+03 2.663767266e+00 1.643928189e+00 3.710230817e-06
1.917835671e+03 2.663767310e+00 1.643928255e+00 3.542404602e-06
1.923847695e+03 2.663767351e+00 1.643928318e+00 3.382141354e-06
1.929859719e+03 2.663767391e+00 1.643928378e+00 3.229064712e-06
1.935871743e+03 2.663767429e+00 1.643928435e+00 3.082885144e-06
1.941883768e+03 2.663767465e+00 1.643928490e+00 2.943303187e-06
1.947895792e+03 2.663767499e+00 1.643928542e+00 2.810034301e-06
1.953907816e+03 2.663767532e+00 1.643928592e+00 2.682807868e-06
1.959919840e+03 2.663767563e+00 1.643928639e+00 2.561343285e-06
1.965931864e+03 2.663767593e+00 1.643928685e+00 2.445349945e-06
1.971943888e+03 2.663767622e+00 1.643928728e+00 2.334622432e-06
1.977955912e+03 2.663767649e+00 1.643928770e+00 2.228927726e-06
1.983967936e+03 2.663767675e+00 1.643928809e+00 2.128040819e-06
1.989979960e+03 2.663767700e+00 1.643928847e+00 2.031743668e-06
1.995991984e+03 2.663767724e+00 1.643928883e+00 1.939824155e-06
2.002004008e+03 2.663767747e+00 1.643928918e+00 1.852075039e-06
2.008016032e+03 2.663767768e+00 1.643928951e+00 1.768292912e-06
2.014028056e+03 2.663767789e+00 1.643928982e+00 1.688293815e-06
2.020040080e+03 2.663767809e+00 1.643929012e+00 1.612158983e-06
2.026052104e+03 2.663767828e+00 1.643929041e+00 1.539532687e-06
2.032064128e+03 2.663767846e+00 1.643929068e+00 1.470246504e-06
2.038076152e+03 2.663767863e+00 1.643929094e+00 1.404134058e-06
2.044088176e+03 2.663767879e+00 1.643929119e+00 1.341030136e-06
2.050100200e+03 2.663767895e+00 1.643929142e+00 1.280769817e-06
2.056112224e+03 2.663767909e+00 1.643929165e+00 1.223187587e-06
2.062124248e+03 2.663767924e+00 1.643929186e+00 1.168116467e-06
2.068136273e+03 2.663767937e+00 1.643929207e+00 1.115387134e-06
2.074148297e+03 2.663767950e+00 1.643929226e+00 1.065352118e-06
2.080160321e+03 2.663767963e+00 1.643929245e+00 1.017709230e-06
2.086172345e+03 2.663767974e+00 1.643929263e+00 9.722378261e-07
2.092184369e+03 2.663767986e+00 1.643929280e+00 9.288234284e-07
2.098196393e+03 2.663767996e+00 1.643929296e+00 8.873527855e-07
2.104208417e+03 2.663768006e+00 1.643929312e+00 8.477133675e-07
2.110220441e+03 2.663768016e+00 1.643929326e+00 8.097928616e-07
2.116232465e+03 2.663768026e+00 1.643929341e+00 7.734786669e-07
2.122244489e+03 2.663768035e+00 1.643929354e+00 7.386573907e-07
2.128256513e+03 2.663768043e+00 1.643929367e+00 7.054651596e-07
2.134268537e+03 2.663768051e+00 1.643929380e+00 6.739191352e-07
2.140280561e+03 2.663768059e+00 1.643929392e+00 6.437749620e-07
2.146292585e+03 2.663768067e+00 1.643929403e+00 6.149646798e-07
2.152304609e+03 2.663768074e+00 1.643929414e+00 5.874229563e-07
2.158316633e+03 2.663768081e+00 1.643929424e+00 5.610868647e-07
2.164328657e+03 2.663768087e+00 1.643929434e+00 5.358956612e-07
2.170340681e+03 2.663768093e+00 1.643929443e+00 5.117905629e-07
2.176352705e+03 2.663768099e+00 1.643929452e+00 4.887145245e-07
2.182364729e+03 2.663768105e+00 1.643929461e+00 4.666424828e-07
2.188376754e+03 2.663768110e+00 1.643929469e+00 4.456058837e-07
2.194388778e+03 2.663768116e+00 1.643929477e+00 4.254980622e-07
2.200400802e+03 2.663768121e+00 1.643929485e+00 4.062799935e-07
2.206412826e+03 2.663768125e+00 1.643929492e+00 3.879147749e-07
2.212424850e+03 2.663768130e+00 1.643929499e+00 3.703674759e-07
2.218436874e+03 2.663768134e+00 1.643929506e+00 3.536049873e-07
2.224448898e+03 2.663768138e+00 1.643929512e+00 3.375958706e-07
2.230460922e+03 2.663768142e+00 1.643929518e+00 3.223102078e-07
2.236472946e+03 2.663768146e+00 1.643929523e+00 3.077193804e-07
2.242484970e+03 2.663768150e+00 1.643929529e+00 2.937788516e-07
2.248496994e+03 2.663768153e+00 1.643929534e+00 2.804718390e-07
2.254509018e+03 2.663768156e+00 1.643929539e+00 2.677713044e-07
2.260521042e+03 2.663768160e+00 1.643929544e+00 2.556507834e-07
2.266533066e+03 2.663768163e+00 1.643929548e+00 2.440842245e-07
2.272545090e+03 2.663768165e+00 1.643929553e+00 2.330458303e-07
2.278557114e+03 2.663768168e+00 1.643929557e+00 2.225098964e-07
2.284569138e+03 2.663768171e+00 1.643929561e+00 2.124506524e-07
2.290581162e+03 2.663768173e+00 1.643929565e+00 2.028421011e-07
2.296593186e+03 2.663768176e+00 1.643929568e+00 1.938222762e-07
2.302605210e+03 2.663768178e+00 1.643929571e+00 1.853081002e-07
2.308617234e+03 2.663768180e+00 1.643929574e+00 1.772283355e-07
2.314629259e+03 2.663768182e+00 1.643929577e+00 1.695623529e-07
2.320641283e+03 2.663768184e+00 1.643929580e+00 1.622890147e-07
