time            Cj              shCj           
7.414829659e+01 1.297406079e+00 1.297406079e+00
7.615230461e+01 1.283713928e+00 1.283713928e+00
7.815631263e+01 1.270322632e+00 1.270322632e+00
8.016032064e+01 1.257219867e+00 1.257219867e+00
8.216432866e+01 1.244394366e+00 1.244394366e+00
8.416833667e+01 1.231835773e+00 1.231835773e+00
8.617234469e+01 1.219534501e+00 1.219534501e+00
8.817635271e+01 1.207481638e+00 1.207481638e+00
9.018036072e+01 1.195668855e+00 1.195668855e+00
9.218436874e+01 1.184088340e+00 1.184088340e+00
9.418837675e+01 1.172732735e+00 1.172732735e+00
9.619238477e+01 1.161595084e+00 1.161595084e+00
9.819639279e+01 1.150668793e+00 1.150668793e+00
1.002004008e+02 1.139947597e+00 1.139947597e+00
1.022044088e+02 1.129425524e+00 1.129425524e+00
1.042084168e+02 1.119096879e+00 1.119096879e+00
1.062124248e+02 1.108956213e+00 1.108956213e+00
1.082164329e+02 1.098998309e+00 1.098998309e+00
1.102204409e+02 1.089218162e+00 1.089218162e+00
1.122244489e+02 1.079610969e+00 1.079610969e+00
1.142284569e+02 1.070172110e+00 1.070172110e+00
1.162324649e+02 1.060897143e+00 1.060897143e+00
1.182364729e+02 1.051781790e+00 1.051781790e+00
1.202404810e+02 1.042821927e+00 1.042821927e+00
1.222444890e+02 1.034013576e+00 1.034013576e+00
1.242484970e+02 1.025352906e+00 1.025352906e+00
1.262525050e+02 1.016836211e+00 1.016836211e+00
1.282565130e+02 1.008459917e+00 1.008459917e+00
1.302605210e+02 1.000220564e+00 1.000220564e+00
1.322645291e+02 9.921148124e-01 9.921148124e-01
1.342685371e+02 9.841394276e-01 9.841394276e-01
1.362725451e+02 9.762912846e-01 9.762912846e-01
1.382765531e+02 9.685673524e-01 9.685673524e-01
1.402805611e+02 9.609647059e-01 9.609647059e-01
1.422845691e+02 9.534805047e-01 9.534805047e-01
1.442885772e+02 9.461119985e-01 9.461119985e-01
1.462925852e+02 9.388565246e-01 9.388565246e-01
1.482965932e+02 9.317114964e-01 9.317114964e-01
1.503006012e+02 9.246744133e-01 9.246744133e-01
1.523046092e+02 9.177428422e-01 9.177428422e-01
1.543086172e+02 9.109144306e-01 9.109144306e-01
1.563126253e+02 9.041868874e-01 9.041868874e-01
1.583166333e+02 8.975579959e-01 8.975579959e-01
1.603206413e+02 8.910256015e-01 8.910256015e-01
1.623246493e+02 8.845876100e-01 8.845876100e-01
1.643286573e+02 8.782419912e-01 8.782419912e-01
1.663326653e+02 8.719867726e-01 8.719867726e-01
1.683366733e+02 8.658200371e-01 8.658200371e-01
1.703406814e+02 8.597399165e-01 8.597399165e-01
1.723446894e+02 8.537445929e-01 8.537445929e-01
1.743486974e+02 8.478323094e-01 8.478323094e-01
1.763527054e+02 8.420013531e-01 8.420013531e-01
1.783567134e+02 8.362500562e-01 8.362500562e-01
1.803607214e+02 8.305767981e-01 8.305767981e-01
1.823647295e+02 8.249800014e-01 8.249800014e-01
1.843687375e+02 8.194581300e-01 8.194581300e-01
1.863727455e+02 8.140096894e-01 8.140096894e-01
1.883767535e+02 8.086332248e-01 8.086332248e-01
1.903807615e+02 8.033273186e-01 8.033273186e-01
1.923847695e+02 7.980905906e-01 7.980905906e-01
1.943887776e+02 7.929216974e-01 7.929216974e-01
1.963927856e+02 7.878193289e-01 7.878193289e-01
1.983967936e+02 7.827822092e-01 7.827822092e-01
2.004008016e+02 7.778090956e-01 7.778090956e-01
2.024048096e+02 7.728987757e-01 7.728987757e-01
2.044088176e+02 7.680500669e-01 7.680500669e-01
2.064128257e+02 7.632618155e-01 7.632618155e-01
2.084168337e+02 7.585328994e-01 7.585328994e-01
2.104208417e+02 7.538622228e-01 7.538622228e-01
2.124248497e+02 7.492487156e-01 7.492487156e-01
2.144288577e+02 7.446913333e-01 7.446913333e-01
2.164328657e+02 7.401890583e-01 7.401890583e-01
2.184368737e+02 7.357408982e-01 7.357408982e-01
2.204408818e+02 7.313458827e-01 7.313458827e-01
2.224448898e+02 7.270030643e-01 7.270030643e-01
2.244488978e+02 7.227115182e-01 7.227115182e-01
2.264529058e+02 7.184703433e-01 7.184703433e-01
2.284569138e+02 7.142786579e-01 7.142786579e-01
2.304609218e+02 7.101356009e-01 7.101356009e-01
2.324649299e+02 7.060403303e-01 7.060403303e-01
2.344689379e+02 7.019920251e-01 7.019920251e-01
2.364729459e+02 6.979898818e-01 6.979898818e-01
2.384769539e+02 6.940331150e-01 6.940331150e-01
2.404809619e+02 6.901209563e-01 6.901209563e-01
2.424849699e+02 6.862526556e-01 6.862526556e-01
2.444889780e+02 6.824274801e-01 6.824274801e-01
2.464929860e+02 6.786447121e-01 6.786447121e-01
2.484969940e+02 6.749036496e-01 6.749036496e-01
2.505010020e+02 6.712036063e-01 6.712036063e-01
2.525050100e+02 6.675439126e-01 6.675439126e-01
2.545090180e+02 6.639239123e-01 6.639239123e-01
2.565130261e+02 6.603429632e-01 6.603429632e-01
2.585170341e+02 6.568004368e-01 6.568004368e-01
2.605210421e+02 6.532957179e-01 6.532957179e-01
2.625250501e+02 6.498282054e-01 6.498282054e-01
2.645290581e+02 6.463973101e-01 6.463973101e-01
2.665330661e+02 6.430024549e-01 6.430024549e-01
2.685370741e+02 6.396430742e-01 6.396430742e-01
2.705410822e+02 6.363186146e-01 6.363186146e-01
2.725450902e+02 6.330285348e-01 6.330285348e-01
2.745490982e+02 6.297723034e-01 6.297723034e-01
2.765531062e+02 6.265493997e-01 6.265493997e-01
2.785571142e+02 6.233593131e-01 6.233593131e-01
2.805611222e+02 6.202015443e-01 6.202015443e-01
2.825651303e+02 6.170756065e-01 6.170756065e-01
2.845691383e+02 6.139810210e-01 6.139810210e-01
2.865731463e+02 6.109173190e-01 6.109173190e-01
2.885771543e+02 6.078840409e-01 6.078840409e-01
2.905811623e+02 6.048807366e-01 6.048807366e-01
2.925851703e+02 6.019069647e-01 6.019069647e-01
2.945891784e+02 5.989622926e-01 5.989622926e-01
2.965931864e+02 5.960462960e-01 5.960462960e-01
2.985971944e+02 5.931585518e-01 5.931585518e-01
3.006012024e+02 5.902986700e-01 5.902986700e-01
3.026052104e+02 5.874662333e-01 5.874662333e-01
3.046092184e+02 5.846608487e-01 5.846608487e-01
3.066132265e+02 5.818821293e-01 5.818821293e-01
3.086172345e+02 5.791296938e-01 5.791296938e-01
3.106212425e+02 5.764031705e-01 5.764031705e-01
3.126252505e+02 5.737021965e-01 5.737021965e-01
3.146292585e+02 5.710264154e-01 5.710264154e-01
3.166332665e+02 5.683754777e-01 5.683754777e-01
3.186372745e+02 5.657490413e-01 5.657490413e-01
3.206412826e+02 5.631467710e-01 5.631467710e-01
3.226452906e+02 5.605683330e-01 5.605683330e-01
3.246492986e+02 5.580134001e-01 5.580134001e-01
3.266533066e+02 5.554816511e-01 5.554816511e-01
3.286573146e+02 5.529727717e-01 5.529727717e-01
3.306613226e+02 5.504864530e-01 5.504864530e-01
3.326653307e+02 5.480223922e-01 5.480223922e-01
3.346693387e+02 5.455802923e-01 5.455802923e-01
3.366733467e+02 5.431598623e-01 5.431598623e-01
3.386773547e+02 5.407608155e-01 5.407608155e-01
3.406813627e+02 5.383828688e-01 5.383828688e-01
3.426853707e+02 5.360257446e-01 5.360257446e-01
3.446893788e+02 5.336891705e-01 5.336891705e-01
3.466933868e+02 5.313728787e-01 5.313728787e-01
3.486973948e+02 5.290766063e-01 5.290766063e-01
3.507014028e+02 5.268000950e-01 5.268000950e-01
3.527054108e+02 5.245430913e-01 5.245430913e-01
3.547094188e+02 5.223053454e-01 5.223053454e-01
3.567134269e+02 5.200866116e-01 5.200866116e-01
3.587174349e+02 5.178866488e-01 5.178866488e-01
3.607214429e+02 5.157052196e-01 5.157052196e-01
3.627254509e+02 5.135420906e-01 5.135420906e-01
3.647294589e+02 5.113970325e-01 5.113970325e-01
3.667334669e+02 5.092698199e-01 5.092698199e-01
3.687374749e+02 5.071602313e-01 5.071602313e-01
3.707414830e+02 5.050680485e-01 5.050680485e-01
3.727454910e+02 5.029930567e-01 5.029930567e-01
3.747494990e+02 5.009350452e-01 5.009350452e-01
3.767535070e+02 4.988938065e-01 4.988938065e-01
3.787575150e+02 4.968691359e-01 4.968691359e-01
3.807615230e+02 4.948608328e-01 4.948608328e-01
3.827655311e+02 4.928686995e-01 4.928686995e-01
3.847695391e+02 4.908925413e-01 4.908925413e-01
3.867735471e+02 4.889321668e-01 4.889321668e-01
3.887775551e+02 4.869873881e-01 4.869873881e-01
