time            Cj              shCj            Br              shBr            Ap              shAp            Ck              Aq              Bs              shCk            shAq            shBs           
1.883767535e+03 6.904728838e-03 3.004015418e-01 1.509718742e-06 1.105749397e+00 3.740914726e-07 1.236687700e+00 2.301576279e-08 3.400831569e-13 1.509718742e-12 3.004015418e-01 1.236687700e+00 1.105749397e+00
1.903807615e+03 6.631570493e-03 3.002628567e-01 1.308595833e-06 1.105749291e+00 3.191059516e-07 1.236687671e+00 2.210523498e-08 2.900963196e-13 1.308595833e-12 3.002628567e-01 1.236687671e+00 1.105749291e+00
1.923847695e+03 6.369334612e-03 3.001297177e-01 1.134280768e-06 1.105749199e+00 2.722079514e-07 1.236687646e+00 2.123111537e-08 2.474617740e-13 1.134280768e-12 3.001297177e-01 1.236687646e+00 1.105749199e+00
1.943887776e+03 6.117576654e-03 3.000018986e-01 9.832248408e-07 1.105749120e+00 2.322181330e-07 1.236687625e+00 2.039192218e-08 2.111073936e-13 9.832248408e-13 3.000018986e-01 1.236687625e+00 1.105749120e+00
1.963927856e+03 5.875870394e-03 2.998791821e-01 8.522998839e-07 1.105749051e+00 1.981088888e-07 1.236687607e+00 1.958623465e-08 1.800989898e-13 8.522998839e-13 2.998791821e-01 1.236687607e+00 1.105749051e+00
1.983967936e+03 5.643805587e-03 2.997613605e-01 7.388036419e-07 1.105748991e+00 1.690075937e-07 1.236687591e+00 1.881268529e-08 1.536432670e-13 7.388036419e-13 2.997613605e-01 1.236687591e+00 1.105748991e+00
2.004008016e+03 5.420989777e-03 2.996482350e-01 6.404059330e-07 1.105748939e+00 1.441749942e-07 1.236687578e+00 1.806996592e-08 1.310681766e-13 6.404059330e-13 2.996482350e-01 1.236687578e+00 1.105748939e+00
2.024048096e+03 5.207047828e-03 2.995396151e-01 5.551001865e-07 1.105748894e+00 1.229857890e-07 1.236687567e+00 1.735682609e-08 1.118052627e-13 5.551001865e-13 2.995396151e-01 1.236687567e+00 1.105748894e+00
2.044088176e+03 5.001621021e-03 2.994353183e-01 4.811580277e-07 1.105748855e+00 1.049108669e-07 1.236687557e+00 1.667207007e-08 9.537351540e-14 4.811580277e-13 2.994353183e-01 1.236687557e+00 1.105748855e+00
2.064128257e+03 4.804365113e-03 2.993351697e-01 4.170678223e-07 1.105748821e+00 8.949337082e-08 1.236687549e+00 1.601455038e-08 8.135760983e-14 4.170678223e-13 2.993351697e-01 1.236687549e+00 1.105748821e+00
2.084168337e+03 4.614949626e-03 2.992390018e-01 3.615158128e-07 1.105748792e+00 7.634219312e-08 1.236687542e+00 1.538316542e-08 6.940199374e-14 3.615158128e-13 2.992390018e-01 1.236687542e+00 1.105748792e+00
