time            shCj            shCk           
4.280561122e+02 3.540866824e+01 3.547600203e+01
4.304609218e+02 3.552700980e+01 3.560041142e+01
4.328657315e+02 3.564365761e+01 3.572307719e+01
4.352705411e+02 3.575864111e+01 3.584402860e+01
4.376753507e+02 3.587198905e+01 3.596329426e+01
4.400801603e+02 3.598372975e+01 3.608090235e+01
4.424849699e+02 3.609389106e+01 3.619688068e+01
4.448897796e+02 3.620250041e+01 3.631125663e+01
4.472945892e+02 3.630958474e+01 3.642405715e+01
4.496993988e+02 3.641517070e+01 3.653530891e+01
4.521042084e+02 3.651928419e+01 3.664503785e+01
4.545090180e+02 3.662195094e+01 3.675326980e+01
4.569138277e+02 3.672319623e+01 3.686003017e+01
4.593186373e+02 3.682304457e+01 3.696534356e+01
4.617234469e+02 3.692152048e+01 3.706923468e+01
4.641282565e+02 3.701864783e+01 3.717172756e+01
4.665330661e+02 3.711444996e+01 3.727284575e+01
4.689378758e+02 3.720895006e+01 3.737261263e+01
4.713426854e+02 3.730217068e+01 3.747105101e+01
4.737474950e+02 3.739413407e+01 3.756818339e+01
4.761523046e+02 3.748486212e+01 3.766403190e+01
4.785571142e+02 3.757437614e+01 3.775861815e+01
4.809619238e+02 3.766269708e+01 3.785196337e+01
4.833667335e+02 3.774984570e+01 3.794408862e+01
4.857715431e+02 3.783584212e+01 3.803501435e+01
4.881763527e+02 3.792070627e+01 3.812476080e+01
4.905811623e+02 3.800445768e+01 3.821334783e+01
4.929859719e+02 3.808711538e+01 3.830079481e+01
4.953907816e+02 3.816869817e+01 3.838712091e+01
4.977955912e+02 3.824922445e+01 3.847234486e+01
5.002004008e+02 3.832871226e+01 3.855648509e+01
5.026052104e+02 3.840717934e+01 3.863955969e+01
5.050100200e+02 3.848464307e+01 3.872158643e+01
5.074148297e+02 3.856112053e+01 3.880258273e+01
5.098196393e+02 3.863662838e+01 3.888256568e+01
5.122244489e+02 3.871118300e+01 3.896155203e+01
5.146292585e+02 3.878480047e+01 3.903955824e+01
5.170340681e+02 3.885749657e+01 3.911660048e+01
5.194388778e+02 3.892928677e+01 3.919269463e+01
5.218436874e+02 3.900018624e+01 3.926785624e+01
5.242484970e+02 3.907020986e+01 3.934210061e+01
5.266533066e+02 3.913937222e+01 3.941544270e+01
