time            Cj              Ak              Br             
1.781162325e+03 3.532905746e+00 7.084528656e-01 1.085485663e+00
1.821643287e+03 3.563544093e+00 7.648192300e-01 1.004819140e+00
1.862124248e+03 3.578818868e+00 8.279057497e-01 9.315608427e-01
1.902605210e+03 3.578593616e+00 8.980706069e-01 8.654594040e-01
1.943086172e+03 3.562888234e+00 9.756247471e-01 8.062115059e-01
1.983567134e+03 3.531881467e+00 1.060808592e+00 7.534814933e-01
2.024048096e+03 3.485916491e+00 1.153766256e+00 7.069183498e-01
2.064529058e+03 3.425508134e+00 1.254518957e+00 6.661698591e-01
2.105010020e+03 3.351350124e+00 1.362938795e+00 6.308941938e-01
2.145490982e+03 3.264320164e+00 1.478724666e+00 6.007692485e-01
2.185971944e+03 3.165480159e+00 1.601383212e+00 5.754997001e-01
2.226452906e+03 3.056069537e+00 1.730216217e+00 5.548224744e-01
2.266933868e+03 2.937490054e+00 1.864317150e+00 5.385107414e-01
2.307414830e+03 2.811280878e+00 2.002577559e+00 5.263767249e-01
2.347895792e+03 2.679084763e+00 2.143704702e+00 5.182736131e-01
2.388376754e+03 2.542606327e+00 2.286249576e+00 5.140967292e-01
2.428857715e+03 2.403564718e+00 2.428644503e+00 5.137841326e-01
2.469338677e+03 2.263644950e+00 2.569246837e+00 5.173167589e-01
2.509819639e+03 2.124450210e+00 2.706386803e+00 5.247181540e-01
2.550300601e+03 1.987459379e+00 2.838415428e+00 5.360538224e-01
2.590781563e+03 1.853992231e+00 2.963749388e+00 5.514301892e-01
2.631262525e+03 1.725184818e+00 3.080909408e+00 5.709929628e-01
2.671743487e+03 1.601974145e+00 3.188551892e+00 5.949251634e-01
2.712224449e+03 1.485094669e+00 3.285490202e+00 6.234441426e-01
2.752705411e+03 1.375083064e+00 3.370708068e+00 6.567978602e-01
2.793186373e+03 1.272291094e+00 3.443364419e+00 6.952599589e-01
2.833667335e+03 1.176904014e+00 3.502791973e+00 7.391235046e-01
2.874148297e+03 1.088962794e+00 3.548491242e+00 7.886930889e-01
2.914629259e+03 1.008388051e+00 3.580122046e+00 8.442751206e-01
2.955110220e+03 9.350040494e-01 3.597494651e+00 9.061662399e-01
2.995591182e+03 8.685619603e-01 3.600561562e+00 9.746395810e-01
3.036072144e+03 8.087610542e-01 3.589411480e+00 1.049929132e+00
3.076553106e+03 7.552675797e-01 3.564265695e+00 1.132212355e+00
3.117034068e+03 7.077309680e-01 3.525476836e+00 1.221591584e+00
3.157515030e+03 6.657973937e-01 3.473529484e+00 1.318074902e+00
3.197995992e+03 6.291207614e-01 3.409041414e+00 1.421557421e+00
3.238476954e+03 5.973714700e-01 3.332764547e+00 1.531804246e+00
3.278957916e+03 5.702430916e-01 3.245583504e+00 1.648436269e+00
3.319438878e+03 5.474573598e-01 3.148510728e+00 1.770920247e+00
3.359919840e+03 5.287678342e-01 3.042677203e+00 1.898564381e+00
3.400400802e+03 5.139623621e-01 2.929317433e+00 2.030520294e+00
3.440881764e+03 5.028646790e-01 2.809748872e+00 2.165791990e+00
3.481362725e+03 4.953353693e-01 2.685346300e+00 2.303251836e+00
3.521843687e+03 4.912723085e-01 2.557512062e+00 2.441662998e+00
3.562324649e+03 4.906107399e-01 2.427643882e+00 2.579707195e+00
3.602805611e+03 4.933230769e-01 2.297102138e+00 2.716016192e+00
3.643286573e+03 4.994184646e-01 2.167178611e+00 2.849205066e+00
3.683767535e+03 5.089421867e-01 2.039068722e+00 2.977905232e+00
3.724248497e+03 5.219748202e-01 1.913848641e+00 3.100795224e+00
3.764729459e+03 5.386311624e-01 1.792458465e+00 3.216627596e+00
3.805210421e+03 5.590588313e-01 1.675691898e+00 3.324250793e+00
3.845691383e+03 5.834364357e-01 1.564192405e+00 3.422625325e+00
3.886172345e+03 6.119711865e-01 1.458455325e+00 3.510834212e+00
3.926653307e+03 6.448957871e-01 1.358835067e+00 3.588088146e+00
3.967134269e+03 6.824644225e-01 1.265556316e+00 3.653726264e+00
4.007615230e+03 7.249476511e-01 1.178728091e+00 3.707213640e+00
4.048096192e+03 7.726260094e-01 1.098359507e+00 3.748136807e+00
4.088577154e+03 8.257821386e-01 1.024376282e+00 3.776198475e+00
4.129058116e+03 8.846912912e-01 9.566371061e-01 3.791212651e+00
4.169539078e+03 9.496101559e-01 8.949492482e-01 3.793100952e+00
4.210020040e+03 1.020764006e+00 8.390829503e-01 3.781890711e+00
4.250501002e+03 1.098332341e+00 7.887843221e-01 3.757715082e+00
4.290981964e+03 1.182433337e+00 7.437866105e-01 3.720815017e+00
4.331462926e+03 1.273107603e+00 7.038198232e-01 3.671542624e+00
4.371943888e+03 1.370301943e+00 6.686187753e-01 3.610365123e+00
4.412424850e+03 1.473853990e+00 6.379296854e-01 3.537868382e+00
4.452905812e+03 1.583478710e+00 6.115154727e-01 3.454758876e+00
4.493386774e+03 1.698757822e+00 5.891599374e-01 3.361862883e+00
4.533867735e+03 1.819133222e+00 5.706709955e-01 3.260121883e+00
4.574348697e+03 1.943905234e+00 5.558831186e-01 3.150583398e+00
4.614829659e+03 2.072236389e+00 5.446591403e-01 3.034386837e+00
4.655310621e+03 2.203161006e+00 5.368915519e-01 2.912744469e+00
4.695791583e+03 2.335600506e+00 5.325033833e-01 2.786918054e+00
4.736272545e+03 2.468383833e+00 5.314487595e-01 2.658192221e+00
4.776753507e+03 2.600272043e+00 5.337131809e-01 2.527845988e+00
4.817234469e+03 2.729985707e+00 5.393135614e-01 2.397124064e+00
4.857715431e+03 2.856233597e+00 5.482980328e-01 2.267209607e+00
4.898196393e+03 2.977741016e+00 5.607454966e-01 2.139199968e+00
4.938677355e+03 3.093276277e+00 5.767648820e-01 2.014086704e+00
4.979158317e+03 3.201674057e+00 5.964940462e-01 1.892740711e+00
5.019639279e+03 3.301854708e+00 6.200982240e-01 1.775902837e+00
5.060120240e+03 3.392839146e+00 6.477679131e-01 1.664180020e+00
5.100601202e+03 3.473759166e+00 6.797160635e-01 1.558046527e+00
5.141082164e+03 3.543863664e+00 7.161744190e-01 1.457849586e+00
5.181563126e+03 3.602521349e+00 7.573888462e-01 1.363818592e+00
5.222044088e+03 3.649220909e+00 8.036134963e-01 1.276076885e+00
5.262525050e+03 3.683569549e+00 8.551036544e-01 1.194655214e+00
5.303006012e+03 3.705290850e+00 9.121071667e-01 1.119506005e+00
5.343486974e+03 3.714222783e+00 9.748543950e-01 1.050517730e+00
5.383967936e+03 3.710316444e+00 1.043546738e+00 9.875287795e-01
5.424448898e+03 3.693635885e+00 1.118343855e+00 9.303404372e-01
5.464929860e+03 3.664359066e+00 1.199349884e+00 8.787286601e-01
5.505410822e+03 3.622779635e+00 1.286599089e+00 8.324545300e-01
5.545891784e+03 3.569309081e+00 1.380041520e+00 7.912732943e-01
5.586372745e+03 3.504478433e+00 1.479529437e+00 7.549420288e-01
5.626853707e+03 3.428938638e+00 1.584805358e+00 7.232260346e-01
5.667334669e+03 3.343458463e+00 1.695492473e+00 6.959039816e-01
5.707815631e+03 3.248919706e+00 1.811088922e+00 6.727721378e-01
5.748296593e+03 3.146307879e+00 1.930965512e+00 6.536475193e-01
5.788777555e+03 3.036699087e+00 2.054369169e+00 6.383703549e-01
5.829258517e+03 2.921242785e+00 2.180430408e+00 6.268059338e-01
5.869739479e+03 2.801140326e+00 2.308176749e+00 6.188457805e-01
5.910220441e+03 2.677620847e+00 2.436550222e+00 6.144084670e-01
5.950701403e+03 2.551914954e+00 2.564429113e+00 6.134399959e-01
5.991182365e+03 2.425228322e+00 2.690652139e+00 6.159138681e-01
6.031663327e+03 2.298716081e+00 2.814044179e+00 6.218308436e-01
6.072144289e+03 2.173459544e+00 2.933442147e+00 6.312184249e-01
6.112625251e+03 2.050446572e+00 3.047719390e+00 6.441300536e-01
6.153106212e+03 1.930556200e+00 3.155807706e+00 6.606440088e-01
6.193587174e+03 1.814548246e+00 3.256715875e+00 6.808619645e-01
6.234068136e+03 1.703057853e+00 3.349544204e+00 7.049071566e-01
6.274549098e+03 1.596594735e+00 3.433494907e+00 7.329221008e-01
6.315030060e+03 1.495546787e+00 3.507878518e+00 7.650657851e-01
6.355511022e+03 1.400187081e+00 3.572116540e+00 8.015102460e-01
6.395991984e+03 1.310683368e+00 3.625741004e+00 8.424364586e-01
6.436472946e+03 1.227110205e+00 3.668392718e+00 8.880294941e-01
6.476953908e+03 1.149461158e+00 3.699816783e+00 9.384728063e-01
6.517434870e+03 1.077662096e+00 3.719858512e+00 9.939417238e-01
6.557915832e+03 1.011584008e+00 3.728458943e+00 1.054596097e+00
6.598396794e+03 9.510552990e-01 3.725650866e+00 1.120572125e+00
6.638877756e+03 8.958732094e-01 3.711555613e+00 1.191973463e+00
6.679358717e+03 8.458137001e-01 3.686380813e+00 1.268862088e+00
6.719839679e+03 8.006406283e-01 3.650418906e+00 1.351248790e+00
6.760320641e+03 7.601131704e-01 3.604045896e+00 1.439083649e+00
6.800801603e+03 7.239924234e-01 3.547720391e+00 1.532247714e+00
6.841282565e+03 6.920466273e-01 3.481982561e+00 1.630544721e+00
6.881763527e+03 6.640554306e-01 3.407451512e+00 1.733695178e+00
6.922244489e+03 6.398132616e-01 3.324821744e+00 1.841331929e+00
6.962725451e+03 6.191318899e-01 3.234857596e+00 1.952998276e+00
7.003206413e+03 6.018423578e-01 3.138385581e+00 2.068148725e+00
7.043687375e+03 5.877963607e-01 3.036284466e+00 2.186152717e+00
7.084168337e+03 5.768671668e-01 2.929473211e+00 2.306301305e+00
7.124649299e+03 5.689501841e-01 2.818897150e+00 2.427816562e+00
7.165130261e+03 5.639632528e-01 2.705512430e+00 2.549863812e+00
7.205611222e+03 5.618467036e-01 2.590269909e+00 2.671565727e+00
7.246092184e+03 5.625632277e-01 2.474099259e+00 2.792017602e+00
7.286573146e+03 5.660976110e-01 2.357893097e+00 2.910303802e+00
7.327054108e+03 5.724563277e-01 2.242492859e+00 3.025514022e+00
7.367535070e+03 5.816670100e-01 2.128676515e+00 3.136758766e+00
7.408016032e+03 5.937777872e-01 2.017148600e+00 3.243183551e+00
7.448496994e+03 6.088564763e-01 1.908532980e+00 3.343981228e+00
7.488977956e+03 6.269895952e-01 1.803368396e+00 3.438402060e+00
7.529458918e+03 6.482811625e-01 1.702106707e+00 3.525761409e+00
7.569939880e+03 6.728512457e-01 1.605113748e+00 3.605445176e+00
7.610420842e+03 7.008341685e-01 1.512672259e+00 3.676912657e+00
7.650901804e+03 7.323763864e-01 1.424986814e+00 3.739698009e+00
7.691382766e+03 7.676338927e-01 1.342190143e+00 3.793409741e+00
7.731863727e+03 8.067691176e-01 1.264350169e+00 3.837728959e+00
7.772344689e+03 8.499473317e-01 1.191478402e+00 3.872407748e+00
7.812825651e+03 8.973323663e-01 1.123537629e+00 3.897266148e+00
7.853306613e+03 9.490817662e-01 1.060450258e+00 3.912190098e+00
7.893787575e+03 1.005341325e+00 1.002106050e+00 3.917129436e+00
7.934268537e+03 1.066238998e+00 9.483694811e-01 3.912096529e+00
7.974749499e+03 1.131878176e+00 8.990866293e-01 3.897165605e+00
8.015230461e+03 1.202330746e+00 8.540911514e-01 3.872472805e+00
8.055711423e+03 1.277629831e+00 8.132096378e-01 3.838216763e+00
8.096192385e+03 1.357762503e+00 7.762664696e-01 3.794659613e+00
8.136673347e+03 1.442662592e+00 7.430876879e-01 3.742127871e+00
8.177154309e+03 1.532204326e+00 7.135045188e-01 3.681013328e+00
8.217635271e+03 1.626196576e+00 6.873561543e-01 3.611773060e+00
8.258116232e+03 1.724378444e+00 6.644920756e-01 3.534928547e+00
8.298597194e+03 1.826416286e+00 6.447739244e-01 3.451063407e+00
8.339078156e+03 1.931902549e+00 6.280770031e-01 3.360819514e+00
8.379559118e+03 2.040356661e+00 6.142914420e-01 3.264891274e+00
8.420040080e+03 2.151228066e+00 6.033230214e-01 3.164018213e+00
8.460521042e+03 2.263901344e+00 5.950938503e-01 3.058975704e+00
8.501002004e+03 2.377703526e+00 5.895428078e-01 2.950564220e+00
8.541482966e+03 2.491913247e+00 5.866258160e-01 2.839597430e+00
8.581963928e+03 2.605771340e+00 5.863159746e-01 2.726889393e+00
8.622444890e+03 2.718493042e+00 5.886036072e-01 2.613241998e+00
8.662925852e+03 2.829280145e+00 5.934961351e-01 2.499432078e+00
8.703406814e+03 2.937333922e+00 6.010178830e-01 2.386199856e+00
8.743887776e+03 3.041867427e+00 6.112097487e-01 2.274238480e+00
8.784368737e+03 3.142117091e+00 6.241287437e-01 2.164185219e+00
8.824849699e+03 3.237353361e+00 6.398473705e-01 2.056614404e+00
8.865330661e+03 3.326889347e+00 6.584528415e-01 1.952032849e+00
8.905811623e+03 3.410088429e+00 6.800460888e-01 1.850877122e+00
8.946292585e+03 3.486369577e+00 7.047404675e-01 1.753512587e+00
8.986773547e+03 3.555211730e+00 7.326602512e-01 1.660234775e+00
9.027254509e+03 3.616156122e+00 7.639386984e-01 1.571271960e+00
9.067735471e+03 3.668807670e+00 7.987158272e-01 1.486789206e+00
9.108216433e+03 3.712835233e+00 8.371356617e-01 1.406893407e+00
9.148697395e+03 3.747971244e+00 8.793430677e-01 1.331639063e+00
9.189178357e+03 3.774010942e+00 9.254800875e-01 1.261034454e+00
9.229659319e+03 3.790811389e+00 9.756816366e-01 1.195048199e+00
9.270140281e+03 3.798290752e+00 1.030070957e+00 1.133615365e+00
9.310621242e+03 3.796427673e+00 1.088754386e+00 1.076643769e+00
9.351102204e+03 3.785261003e+00 1.151815793e+00 1.024019808e+00
9.391583166e+03 3.764889922e+00 1.219310746e+00 9.756138271e-01
9.432064128e+03 3.735474210e+00 1.291260483e+00 9.312850459e-01
9.472545090e+03 3.697234905e+00 1.367645926e+00 8.908859943e-01
9.513026052e+03 3.650454526e+00 1.448401942e+00 8.542663386e-01
9.553507014e+03 3.595477291e+00 1.533412048e+00 8.212762772e-01
9.593987976e+03 3.532708598e+00 1.622503877e+00 7.917694071e-01
9.634468938e+03 3.462613714e+00 1.715445606e+00 7.656051543e-01
9.674949900e+03 3.385715307e+00 1.811943649e+00 7.426507713e-01
9.715430862e+03 3.302589726e+00 1.911641785e+00 7.227829826e-01
9.755911824e+03 3.213861995e+00 2.014121981e+00 7.058893241e-01
9.796392786e+03 3.120198844e+00 2.118906805e+00 6.918691061e-01
9.836873747e+03 3.022300921e+00 2.225463997e+00 6.806341994e-01
9.877354709e+03 2.920893636e+00 2.333211968e+00 6.721096643e-01
9.917835671e+03 2.816716752e+00 2.441527708e+00 6.662340447e-01
9.958316633e+03 2.710513611e+00 2.549755492e+00 6.629595966e-01
9.998797595e+03 2.603020001e+00 2.657216741e+00 6.622523584e-01
1.003927856e+04 2.494953055e+00 2.763220661e+00 6.640920864e-01
1.007975952e+04 2.387001136e+00 2.867074757e+00 6.684720793e-01
1.012024048e+04 2.279814278e+00 2.968095494e+00 6.753988899e-01
1.016072144e+04 2.173996073e+00 3.065618328e+00 6.848919272e-01
1.020120240e+04 2.070097120e+00 3.159006773e+00 6.969829452e-01
1.024168337e+04 1.968610048e+00 3.247660414e+00 7.117154129e-01
