time            Ak              Br              Cj             
2.473346693e+03 2.636065997e+00 5.263808883e+00 2.118909466e+00
2.493787575e+03 2.569434151e+00 5.285160259e+00 2.159133141e+00
2.514228457e+03 2.505473484e+00 5.301041161e+00 2.201565613e+00
2.534669339e+03 2.444207201e+00 5.311452351e+00 2.246156993e+00
2.555110220e+03 2.385646930e+00 5.316417874e+00 2.292852870e+00
2.575551102e+03 2.329794001e+00 5.315985327e+00 2.341593213e+00
2.595991984e+03 2.276640698e+00 5.310224193e+00 2.392312394e+00
2.616432866e+03 2.226171423e+00 5.299225332e+00 2.444938533e+00
2.636873747e+03 2.178363763e+00 5.283100011e+00 2.499393078e+00
2.657314629e+03 2.133189580e+00 5.261978558e+00 2.555590604e+00
2.677755511e+03 2.090615921e+00 5.236009165e+00 2.613438610e+00
2.698196393e+03 2.050605880e+00 5.205356767e+00 2.672837131e+00
2.718637275e+03 2.013119447e+00 5.170201560e+00 2.733678738e+00
2.739078156e+03 1.978114199e+00 5.130737708e+00 2.795848519e+00
2.759519038e+03 1.945545982e+00 5.087171581e+00 2.859224076e+00
2.779959920e+03 1.915369427e+00 5.039720912e+00 2.923675451e+00
2.800400802e+03 1.887538557e+00 4.988612632e+00 2.989065650e+00
2.820841683e+03 1.862007201e+00 4.934081513e+00 3.055250743e+00
2.841282565e+03 1.838729350e+00 4.876368911e+00 3.122080136e+00
2.861723447e+03 1.817659552e+00 4.815721044e+00 3.189397083e+00
2.882164329e+03 1.798753132e+00 4.752387536e+00 3.257039195e+00
2.902605210e+03 1.781966530e+00 4.686619463e+00 3.324839292e+00
2.923046092e+03 1.767257342e+00 4.618669037e+00 3.392625312e+00
2.943486974e+03 1.754584618e+00 4.548786861e+00 3.460222028e+00
2.963927856e+03 1.743908849e+00 4.477221687e+00 3.527450963e+00
2.984368737e+03 1.735192125e+00 4.404218653e+00 3.594131595e+00
3.004809619e+03 1.728398137e+00 4.330017922e+00 3.660082419e+00
3.025250501e+03 1.723492155e+00 4.254854335e+00 3.725121145e+00
3.045691383e+03 1.720441125e+00 4.178955415e+00 3.789066535e+00
3.066132265e+03 1.719213485e+00 4.102541523e+00 3.851738373e+00
3.086573146e+03 1.719779205e+00 4.025824349e+00 3.912958962e+00
3.107014028e+03 1.722109648e+00 3.949006290e+00 3.972554152e+00
3.127454910e+03 1.726177502e+00 3.872280500e+00 4.030353378e+00
3.147895792e+03 1.731956661e+00 3.795829385e+00 4.086191822e+00
3.168336673e+03 1.739422005e+00 3.719825421e+00 4.139909935e+00
3.188777555e+03 1.748549429e+00 3.644430163e+00 4.191354781e+00
3.209218437e+03 1.759315505e+00 3.569793899e+00 4.240381398e+00
3.229659319e+03 1.771697366e+00 3.496056468e+00 4.286852249e+00
3.250100200e+03 1.785672636e+00 3.423346585e+00 4.330638462e+00
3.270541082e+03 1.801219058e+00 3.351781935e+00 4.371620895e+00
3.290981964e+03 1.818314424e+00 3.281469860e+00 4.409689622e+00
3.311422846e+03 1.836936372e+00 3.212507133e+00 4.444744999e+00
3.331863727e+03 1.857062120e+00 3.144980445e+00 4.476697949e+00
3.352304609e+03 1.878668298e+00 3.078966743e+00 4.505470158e+00
3.372745491e+03 1.901730796e+00 3.014533516e+00 4.530994422e+00
3.393186373e+03 1.926224453e+00 2.951739469e+00 4.553214511e+00
3.413627255e+03 1.952122878e+00 2.890634762e+00 4.572085659e+00
3.434068136e+03 1.979398338e+00 2.831261490e+00 4.587574349e+00
3.454509018e+03 2.008021382e+00 2.773654288e+00 4.599658458e+00
3.474949900e+03 2.037960997e+00 2.717840624e+00 4.608326918e+00
3.495390782e+03 2.069184134e+00 2.663841464e+00 4.613579792e+00
3.515831663e+03 2.101655517e+00 2.611671758e+00 4.615428056e+00
3.536272545e+03 2.135337617e+00 2.561340878e+00 4.613893307e+00
3.556713427e+03 2.170190390e+00 2.512853075e+00 4.609007606e+00
3.577154309e+03 2.206171370e+00 2.466207963e+00 4.600812842e+00
3.597595190e+03 2.243235332e+00 2.421400953e+00 4.589360696e+00
3.618036072e+03 2.281334274e+00 2.378423683e+00 4.574712057e+00
3.638476954e+03 2.320417326e+00 2.337264421e+00 4.556936654e+00
3.658917836e+03 2.360430779e+00 2.297908490e+00 4.536112467e+00
3.679358717e+03 2.401317906e+00 2.260338558e+00 4.512325349e+00
