time            Cj              Br              Ak             
5.627254509e+02 5.196162957e-01 3.440399411e+00 1.180315925e+00
5.771543086e+02 5.324637783e-01 3.466854787e+00 1.145902652e+00
5.915831663e+02 5.459658282e-01 3.491562539e+00 1.112457502e+00
6.060120240e+02 5.601403431e-01 3.514494344e+00 1.079981092e+00
6.204408818e+02 5.750056074e-01 3.535624438e+00 1.048471904e+00
6.348697395e+02 5.905802417e-01 3.554929546e+00 1.017926435e+00
6.492985972e+02 6.068831452e-01 3.572388812e+00 9.883393536e-01
6.637274549e+02 6.239334350e-01 3.587983735e+00 9.597036474e-01
6.781563126e+02 6.417503766e-01 3.601698106e+00 9.320107759e-01
6.925851703e+02 6.603533121e-01 3.613517949e+00 9.052508162e-01
7.070140281e+02 6.797615769e-01 3.623431470e+00 8.794126054e-01
7.214428858e+02 6.999944129e-01 3.631429014e+00 8.544838775e-01
7.358717435e+02 7.210708726e-01 3.637503029e+00 8.304513982e-01
7.503006012e+02 7.430097168e-01 3.641648045e+00 8.073010918e-01
7.647294589e+02 7.658293082e-01 3.643860649e+00 7.850181663e-01
7.791583166e+02 7.895474909e-01 3.644139487e+00 7.635872265e-01
7.935871743e+02 8.141814683e-01 3.642485267e+00 7.429923859e-01
8.080160321e+02 8.397476716e-01 3.638900771e+00 7.232173705e-01
8.224448898e+02 8.662616239e-01 3.633390882e+00 7.042456184e-01
8.368737475e+02 8.937377952e-01 3.625962618e+00 6.860603711e-01
8.513026052e+02 9.221894515e-01 3.616625176e+00 6.686447587e-01
8.657314629e+02 9.516285007e-01 3.605389983e+00 6.519818810e-01
8.801603206e+02 9.820653312e-01 3.592270753e+00 6.360548799e-01
8.945891784e+02 1.013508654e+00 3.577283552e+00 6.208470150e-01
9.090180361e+02 1.045965333e+00 3.560446863e+00 6.063417202e-01
9.234468938e+02 1.079440213e+00 3.541781663e+00 5.925226634e-01
9.378757515e+02 1.113935961e+00 3.521311487e+00 5.793738045e-01
9.523046092e+02 1.149452894e+00 3.499062507e+00 5.668794400e-01
9.667334669e+02 1.185988814e+00 3.475063593e+00 5.550242473e-01
9.811623246e+02 1.223538856e+00 3.449346378e+00 5.437933287e-01
9.955911824e+02 1.262095329e+00 3.421945320e+00 5.331722487e-01
1.010020040e+03 1.301647560e+00 3.392897737e+00 5.231470633e-01
1.024448898e+03 1.342181795e+00 3.362243854e+00 5.137043533e-01
1.038877756e+03 1.383681033e+00 3.330026825e+00 5.048312525e-01
1.053306613e+03 1.426124922e+00 3.296292724e+00 4.965154664e-01
1.067735471e+03 1.469489719e+00 3.261090578e+00 4.887453018e-01
1.082164329e+03 1.513748123e+00 3.224472300e+00 4.815096813e-01
1.096593186e+03 1.558869249e+00 3.186492631e+00 4.747981566e-01
1.111022044e+03 1.604818653e+00 3.147209141e+00 4.686009360e-01
1.125450902e+03 1.651558254e+00 3.106682084e+00 4.629088892e-01
1.139879760e+03 1.699046318e+00 3.064974284e+00 4.577135596e-01
1.154308617e+03 1.747237507e+00 3.022151017e+00 4.530071769e-01
1.168737475e+03 1.796082979e+00 2.978279901e+00 4.487826707e-01
1.183166333e+03 1.845530434e+00 2.933430688e+00 4.450336753e-01
1.197595190e+03 1.895524141e+00 2.887674978e+00 4.417545293e-01
1.212024048e+03 1.946005204e+00 2.841086155e+00 4.389402992e-01
1.226452906e+03 1.996911615e+00 2.793739061e+00 4.365867725e-01
1.240881764e+03 2.048178446e+00 2.745709763e+00 4.346904666e-01
1.255310621e+03 2.099738060e+00 2.697075298e+00 4.332486352e-01
1.269739479e+03 2.151520313e+00 2.647913387e+00 4.322592695e-01
1.284168337e+03 2.203452812e+00 2.598302171e+00 4.317211062e-01
1.298597194e+03 2.255461098e+00 2.548319865e+00 4.316336215e-01
1.313026052e+03 2.307469013e+00 2.498044554e+00 4.319970478e-01
1.327454910e+03 2.359398861e+00 2.447553787e+00 4.328123609e-01
1.341883768e+03 2.411171800e+00 2.396924381e+00 4.340812954e-01
1.356312625e+03 2.462708067e+00 2.346232064e+00 4.358063468e-01
1.370741483e+03 2.513927297e+00 2.295551252e+00 4.379907464e-01
1.385170341e+03 2.564748787e+00 2.244954773e+00 4.406384693e-01
1.399599198e+03 2.615091828e+00 2.194513594e+00 4.437542538e-01
1.414028056e+03 2.664875958e+00 2.144296494e+00 4.473436280e-01
1.428456914e+03 2.714021280e+00 2.094369984e+00 4.514128400e-01
1.442885772e+03 2.762448700e+00 2.044798051e+00 4.559688811e-01
1.457314629e+03 2.810080279e+00 1.995642015e+00 4.610194895e-01
1.471743487e+03 2.856839256e+00 1.946960222e+00 4.665731488e-01
1.486172345e+03 2.902650537e+00 1.898808086e+00 4.726390679e-01
1.500601202e+03 2.947440752e+00 1.851237871e+00 4.792271810e-01
1.515030060e+03 2.991138481e+00 1.804298625e+00 4.863481370e-01
1.529458918e+03 3.033674456e+00 1.758036119e+00 4.940132855e-01
1.543887776e+03 3.074981694e+00 1.712492787e+00 5.022346652e-01
1.558316633e+03 3.114995645e+00 1.667707713e+00 5.110249860e-01
1.572745491e+03 3.153654298e+00 1.623716617e+00 5.203976106e-01
1.587174349e+03 3.190898287e+00 1.580551890e+00 5.303665343e-01
1.601603206e+03 3.226670971e+00 1.538242614e+00 5.409463600e-01
1.616032064e+03 3.260918501e+00 1.496814625e+00 5.521522689e-01
1.630460922e+03 3.293589864e+00 1.456290579e+00 5.639999890e-01
1.644889780e+03 3.324636915e+00 1.416690037e+00 5.765057616e-01
1.659318637e+03 3.354014397e+00 1.378029567e+00 5.896862957e-01
1.673747495e+03 3.381679952e+00 1.340322862e+00 6.035587229e-01
1.688176353e+03 3.407594107e+00 1.303580845e+00 6.181405506e-01
1.702605210e+03 3.431720271e+00 1.267811797e+00 6.334496101e-01
1.717034068e+03 3.454024717e+00 1.233021492e+00 6.495039933e-01
1.731462926e+03 3.474476565e+00 1.199213341e+00 6.663219849e-01
1.745891784e+03 3.493047753e+00 1.166388534e+00 6.839219897e-01
1.760320641e+03 3.509713013e+00 1.134546181e+00 7.023224559e-01
