time            C               ReactCC         ProduceCC       HelperCC       
1.186372745e+03 1.161341467e+02 5.002438524e-21 9.986585335e+01 9.986585335e+01
1.202404810e+03 1.161341467e+02 4.996539343e-21 9.986585335e+01 9.986585335e+01
1.218436874e+03 1.161341467e+02 4.607710306e-21 9.986585335e+01 9.986585335e+01
1.234468938e+03 1.161341467e+02 3.802877711e-21 9.986585335e+01 9.986585335e+01
1.250501002e+03 1.161341467e+02 2.548967852e-21 9.986585335e+01 9.986585335e+01
1.266533066e+03 1.161341467e+02 8.129070259e-22 9.986585335e+01 9.986585335e+01
1.282565130e+03 1.161341467e+02 2.247169094e-21 9.986585335e+01 9.986585335e+01
1.298597194e+03 1.161341467e+02 1.723773565e-21 9.986585335e+01 9.986585335e+01
1.314629259e+03 1.161341467e+02 1.262689121e-21 9.986585335e+01 9.986585335e+01
1.330661323e+03 1.161341467e+02 8.639157600e-22 9.986585335e+01 9.986585335e+01
1.346693387e+03 1.161341467e+02 5.274534833e-22 9.986585335e+01 9.986585335e+01
1.362725451e+03 1.161341467e+02 2.533022905e-22 9.986585335e+01 9.986585335e+01
1.378757515e+03 1.161341467e+02 4.146218159e-23 9.986585335e+01 9.986585335e+01
1.394789579e+03 1.161341467e+02 -1.080668434e-22 9.986585335e+01 9.986585335e+01
1.410821643e+03 1.161341467e+02 -1.952847844e-22 9.986585335e+01 9.986585335e+01
1.426853707e+03 1.161341467e+02 -2.201916416e-22 9.986585335e+01 9.986585335e+01
1.442885772e+03 1.161341467e+02 -1.827874148e-22 9.986585335e+01 9.986585335e+01
1.458917836e+03 1.161341467e+02 -8.307210405e-23 9.986585335e+01 9.986585335e+01
1.474949900e+03 1.161341467e+02 -6.848777862e-22 9.986585335e+01 9.986585335e+01
1.490981964e+03 1.161341467e+02 -1.603989585e-21 9.986585335e+01 9.986585335e+01
1.507014028e+03 1.161341467e+02 -2.494275991e-21 9.986585335e+01 9.986585335e+01
1.523046092e+03 1.161341467e+02 -3.355737003e-21 9.986585335e+01 9.986585335e+01
1.539078156e+03 1.161341467e+02 -4.188372622e-21 9.986585335e+01 9.986585335e+01
1.555110220e+03 1.161341467e+02 -4.992182848e-21 9.986585335e+01 9.986585335e+01
1.571142285e+03 1.161341467e+02 -5.767167680e-21 9.986585335e+01 9.986585335e+01
1.587174349e+03 1.161341467e+02 -6.513327119e-21 9.986585335e+01 9.986585335e+01
1.603206413e+03 1.161341467e+02 -7.230661165e-21 9.986585335e+01 9.986585335e+01
1.619238477e+03 1.161341467e+02 -7.919169817e-21 9.986585335e+01 9.986585335e+01
1.635270541e+03 1.161341467e+02 -8.578853076e-21 9.986585335e+01 9.986585335e+01
1.651302605e+03 1.161341467e+02 -9.209710941e-21 9.986585335e+01 9.986585335e+01
1.667334669e+03 1.161341467e+02 -9.811743413e-21 9.986585335e+01 9.986585335e+01
1.683366733e+03 1.161341467e+02 -1.038495049e-20 9.986585335e+01 9.986585335e+01
1.699398798e+03 1.161341467e+02 -1.092933218e-20 9.986585335e+01 9.986585335e+01
1.715430862e+03 1.161341467e+02 -1.144488847e-20 9.986585335e+01 9.986585335e+01
1.731462926e+03 1.161341467e+02 -1.193161937e-20 9.986585335e+01 9.986585335e+01
1.747494990e+03 1.161341467e+02 -1.238952487e-20 9.986585335e+01 9.986585335e+01
1.763527054e+03 1.161341467e+02 -1.281860499e-20 9.986585335e+01 9.986585335e+01
1.779559118e+03 1.161341467e+02 -1.321885970e-20 9.986585335e+01 9.986585335e+01
1.795591182e+03 1.161341467e+02 -1.359028903e-20 9.986585335e+01 9.986585335e+01
1.811623246e+03 1.161341467e+02 -1.393289296e-20 9.986585335e+01 9.986585335e+01
1.827655311e+03 1.161341467e+02 -1.424667150e-20 9.986585335e+01 9.986585335e+01
1.843687375e+03 1.161341467e+02 -1.453162465e-20 9.986585335e+01 9.986585335e+01
1.859719439e+03 1.161341467e+02 -1.478775240e-20 9.986585335e+01 9.986585335e+01
1.875751503e+03 1.161341467e+02 -1.501505476e-20 9.986585335e+01 9.986585335e+01
1.891783567e+03 1.161341467e+02 -1.521353172e-20 9.986585335e+01 9.986585335e+01
1.907815631e+03 1.161341467e+02 -1.538318329e-20 9.986585335e+01 9.986585335e+01
1.923847695e+03 1.161341467e+02 -1.552400947e-20 9.986585335e+01 9.986585335e+01
1.939879760e+03 1.161341467e+02 -1.563601026e-20 9.986585335e+01 9.986585335e+01
1.955911824e+03 1.161341467e+02 -1.571918565e-20 9.986585335e+01 9.986585335e+01
1.971943888e+03 1.161341467e+02 -1.577353565e-20 9.986585335e+01 9.986585335e+01
1.987975952e+03 1.161341467e+02 -1.579906025e-20 9.986585335e+01 9.986585335e+01
2.004008016e+03 1.161341467e+02 -1.579575946e-20 9.986585335e+01 9.986585335e+01
2.020040080e+03 1.161341467e+02 -1.576363328e-20 9.986585335e+01 9.986585335e+01
2.036072144e+03 1.161341467e+02 -1.570268171e-20 9.986585335e+01 9.986585335e+01
2.052104208e+03 1.161341467e+02 -1.561290474e-20 9.986585335e+01 9.986585335e+01
2.068136273e+03 1.161341467e+02 -1.549430238e-20 9.986585335e+01 9.986585335e+01
2.084168337e+03 1.161341467e+02 -1.534687462e-20 9.986585335e+01 9.986585335e+01
2.100200401e+03 1.161341467e+02 -1.517062147e-20 9.986585335e+01 9.986585335e+01
2.116232465e+03 1.161341467e+02 -1.496554293e-20 9.986585335e+01 9.986585335e+01
2.132264529e+03 1.161341467e+02 -1.473163900e-20 9.986585335e+01 9.986585335e+01
2.148296593e+03 1.161341467e+02 -1.446890967e-20 9.986585335e+01 9.986585335e+01
2.164328657e+03 1.161341467e+02 -1.417735495e-20 9.986585335e+01 9.986585335e+01
2.180360721e+03 1.161341467e+02 -1.385697483e-20 9.986585335e+01 9.986585335e+01
2.196392786e+03 1.161341467e+02 -1.350776932e-20 9.986585335e+01 9.986585335e+01
2.212424850e+03 1.161341467e+02 -1.312973842e-20 9.986585335e+01 9.986585335e+01
2.228456914e+03 1.161341467e+02 -1.272288213e-20 9.986585335e+01 9.986585335e+01
2.244488978e+03 1.161341467e+02 -1.228720044e-20 9.986585335e+01 9.986585335e+01
2.260521042e+03 1.161341467e+02 -1.182269336e-20 9.986585335e+01 9.986585335e+01
2.276553106e+03 1.161341467e+02 -1.132936088e-20 9.986585335e+01 9.986585335e+01
2.292585170e+03 1.161341467e+02 -1.080720301e-20 9.986585335e+01 9.986585335e+01
2.308617234e+03 1.161341467e+02 -1.025621975e-20 9.986585335e+01 9.986585335e+01
2.324649299e+03 1.161341467e+02 -9.676411095e-21 9.986585335e+01 9.986585335e+01
2.340681363e+03 1.161341467e+02 -9.067777047e-21 9.986585335e+01 9.986585335e+01
2.356713427e+03 1.161341467e+02 -8.430317605e-21 9.986585335e+01 9.986585335e+01
2.372745491e+03 1.161341467e+02 -7.764032769e-21 9.986585335e+01 9.986585335e+01
2.388777555e+03 1.161341467e+02 -7.068922541e-21 9.986585335e+01 9.986585335e+01
2.404809619e+03 1.161341467e+02 -6.344986919e-21 9.986585335e+01 9.986585335e+01
2.420841683e+03 1.161341467e+02 -5.592225903e-21 9.986585335e+01 9.986585335e+01
