time            sAk             sBr             sCj            
3.058917836e+03 4.418821124e+00 1.043222245e+01 2.749778521e+00
3.073346693e+03 4.283244943e+00 1.052387793e+01 2.814384320e+00
3.087775551e+03 4.152862592e+00 1.060561081e+01 2.882958545e+00
3.102204409e+03 4.027682634e+00 1.067731521e+01 2.955501071e+00
3.116633267e+03 3.907692043e+00 1.073892072e+01 3.032007132e+00
3.131062124e+03 3.792858716e+00 1.079039179e+01 3.112466227e+00
3.145490982e+03 3.683133873e+00 1.083172671e+01 3.196860903e+00
3.159919840e+03 3.578454495e+00 1.086295665e+01 3.285165816e+00
3.174348697e+03 3.478745399e+00 1.088414478e+01 3.377346540e+00
3.188777555e+03 3.383921309e+00 1.089538521e+01 3.473358630e+00
3.203206413e+03 3.293888613e+00 1.089680200e+01 3.573146553e+00
3.217635271e+03 3.208547080e+00 1.088854823e+01 3.676642774e+00
3.232064128e+03 3.127791395e+00 1.087080476e+01 3.783766928e+00
3.246492986e+03 3.051512512e+00 1.084377920e+01 3.894425003e+00
3.260921844e+03 2.979598896e+00 1.080770472e+01 4.008508680e+00
3.275350701e+03 2.911937609e+00 1.076283877e+01 4.125894755e+00
3.289779559e+03 2.848415280e+00 1.070946181e+01 4.246444662e+00
3.304208417e+03 2.788918952e+00 1.064787586e+01 4.370004189e+00
3.318637275e+03 2.733336813e+00 1.057840302e+01 4.496403274e+00
3.333066132e+03 2.681558834e+00 1.050138388e+01 4.625455955e+00
3.347494990e+03 2.633477302e+00 1.041717586e+01 4.756960511e+00
3.361923848e+03 2.588987279e+00 1.032615140e+01 4.890699732e+00
3.376352705e+03 2.547986970e+00 1.022869613e+01 5.026441330e+00
3.390781563e+03 2.510378035e+00 1.012520693e+01 5.163938535e+00
3.405210421e+03 2.476065816e+00 1.001608993e+01 5.302930839e+00
3.419639279e+03 2.444959523e+00 9.901758462e+00 5.443144871e+00
3.434068136e+03 2.416972363e+00 9.782630973e+00 5.584295410e+00
3.448496994e+03 2.392021620e+00 9.659128946e+00 5.726086523e+00
3.462925852e+03 2.370028693e+00 9.531674806e+00 5.868212809e+00
3.477354709e+03 2.350919095e+00 9.400689859e+00 6.010360745e+00
3.491783567e+03 2.334622422e+00 9.266592286e+00 6.152210101e+00
3.506212425e+03 2.321072290e+00 9.129795200e+00 6.293435411e+00
3.520641283e+03 2.310206238e+00 8.990704801e+00 6.433707492e+00
3.535070140e+03 2.301965618e+00 8.849718634e+00 6.572694982e+00
3.549498998e+03 2.296295455e+00 8.707223971e+00 6.710065874e+00
3.563927856e+03 2.293144289e+00 8.563596335e+00 6.845489045e+00
3.578356713e+03 2.292463997e+00 8.419198173e+00 6.978635752e+00
3.592785571e+03 2.294209604e+00 8.274377687e+00 7.109181076e+00
3.607214429e+03 2.298339071e+00 8.129467833e+00 7.236805312e+00
3.621643287e+03 2.304813081e+00 7.984785476e+00 7.361195291e+00
3.636072144e+03 2.313594798e+00 7.840630732e+00 7.482045616e+00
3.650501002e+03 2.324649629e+00 7.697286452e+00 7.599059819e+00
3.664929860e+03 2.337944963e+00 7.555017885e+00 7.711951411e+00
3.679358717e+03 2.353449914e+00 7.414072474e+00 7.820444875e+00
3.693787575e+03 2.371135041e+00 7.274679826e+00 7.924276505e+00
3.708216433e+03 2.390972072e+00 7.137051767e+00 8.023195230e+00
3.722645291e+03 2.412933617e+00 7.001382572e+00 8.116963283e+00
3.737074148e+03 2.436992870e+00 6.867849270e+00 8.205356793e+00
3.751503006e+03 2.463123322e+00 6.736612073e+00 8.288166366e+00
3.765931864e+03 2.491298447e+00 6.607814837e+00 8.365197495e+00
3.780360721e+03 2.521491408e+00 6.481585647e+00 8.436271021e+00
3.794789579e+03 2.553674749e+00 6.358037430e+00 8.501223460e+00
3.809218437e+03 2.587820065e+00 6.237268735e+00 8.559907115e+00
3.823647295e+03 2.623897798e+00 6.119364065e+00 8.612191010e+00
3.838076152e+03 2.661876784e+00 6.004395177e+00 8.657960067e+00
3.852505010e+03 2.701724064e+00 5.892421368e+00 8.697116284e+00
3.866933868e+03 2.743404577e+00 5.783490408e+00 8.729578464e+00
3.881362725e+03 2.786880877e+00 5.677639272e+00 8.755282534e+00
3.895791583e+03 2.832112870e+00 5.574894818e+00 8.774181785e+00
