time            Cj              Ck             
1.695390782e+02 3.805220080e+01 4.104637365e+01
1.713426854e+02 3.817862990e+01 4.120403651e+01
1.731462926e+02 3.830147386e+01 4.135707472e+01
1.749498998e+02 3.842089214e+01 4.150569641e+01
1.767535070e+02 3.853703468e+01 4.165009744e+01
1.785571142e+02 3.865004257e+01 4.179046221e+01
1.803607214e+02 3.876004873e+01 4.192696452e+01
1.821643287e+02 3.886717848e+01 4.205976825e+01
1.839679359e+02 3.897155009e+01 4.218902810e+01
1.857715431e+02 3.907327526e+01 4.231489015e+01
1.875751503e+02 3.917245959e+01 4.243749251e+01
1.893787575e+02 3.926920299e+01 4.255696582e+01
1.911823647e+02 3.936360007e+01 4.267343373e+01
1.929859719e+02 3.945574046e+01 4.278701340e+01
1.947895792e+02 3.954570919e+01 4.289781588e+01
1.965931864e+02 3.963358695e+01 4.300594652e+01
1.983967936e+02 3.971945039e+01 4.311150536e+01
2.002004008e+02 3.980337233e+01 4.321458740e+01
2.020040080e+02 3.988542205e+01 4.331528294e+01
2.038076152e+02 3.996566547e+01 4.341367788e+01
2.056112224e+02 4.004416539e+01 4.350985399e+01
2.074148297e+02 4.012098165e+01 4.360388914e+01
2.092184369e+02 4.019617130e+01 4.369585755e+01
2.110220441e+02 4.026978879e+01 4.378582995e+01
2.128256513e+02 4.034188607e+01 4.387387386e+01
2.146292585e+02 4.041251280e+01 4.396005372e+01
2.164328657e+02 4.048171644e+01 4.404443109e+01
2.182364729e+02 4.054954235e+01 4.412706477e+01
2.200400802e+02 4.061603395e+01 4.420801103e+01
2.218436874e+02 4.068123282e+01 4.428732366e+01
2.236472946e+02 4.074517874e+01 4.436505414e+01
2.254509018e+02 4.080790983e+01 4.444125176e+01
2.272545090e+02 4.086946270e+01 4.451596381e+01
2.290581162e+02 4.092987245e+01 4.458923562e+01
2.308617234e+02 4.098917273e+01 4.466111057e+01
2.326653307e+02 4.104739585e+01 4.473163035e+01
2.344689379e+02 4.110457285e+01 4.480083493e+01
2.362725451e+02 4.116073356e+01 4.486876273e+01
2.380761523e+02 4.121590664e+01 4.493545064e+01
2.398797595e+02 4.127011968e+01 4.500093411e+01
2.416833667e+02 4.132339920e+01 4.506524723e+01
2.434869739e+02 4.137577073e+01 4.512842279e+01
2.452905812e+02 4.142725886e+01 4.519049234e+01
2.470941884e+02 4.147788727e+01 4.525148625e+01
2.488977956e+02 4.152767878e+01 4.531143378e+01
2.507014028e+02 4.157665538e+01 4.537036309e+01
2.525050100e+02 4.162483829e+01 4.542830134e+01
2.543086172e+02 4.167224797e+01 4.548527468e+01
2.561122244e+02 4.171890414e+01 4.554130838e+01
2.579158317e+02 4.176482589e+01 4.559642676e+01
2.597194389e+02 4.181003159e+01 4.565065334e+01
2.615230461e+02 4.185453904e+01 4.570401078e+01
2.633266533e+02 4.189836540e+01 4.575652100e+01
2.651302605e+02 4.194152727e+01 4.580820514e+01
2.669338677e+02 4.198404071e+01 4.585908366e+01
2.687374749e+02 4.202592123e+01 4.590917630e+01
2.705410822e+02 4.206718385e+01 4.595850218e+01
2.723446894e+02 4.210784310e+01 4.600707977e+01
2.741482966e+02 4.214791304e+01 4.605492693e+01
2.759519038e+02 4.218740731e+01 4.610206098e+01
2.777555110e+02 4.222633908e+01 4.614849865e+01
