time            Ap              Aq              Br              Bs              Yi              Yj             
5.490981964e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.511022044e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.531062124e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.551102204e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.571142285e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.591182365e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.611222445e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.631262525e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.651302605e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.671342685e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.691382766e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.711422846e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.731462926e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.751503006e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.771543086e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.791583166e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.811623246e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.831663327e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.851703407e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.871743487e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.891783567e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.911823647e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.931863727e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.951903808e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.971943888e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
5.991983968e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
6.012024048e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
6.032064128e+03 1.139031281e+00 3.796770936e-05 3.190424670e+00 3.988030837e-05 1.936264140e+00 3.872528281e-05
