time            X1              X2              Y1             
1.422845691e+02 2.196321129e+00 8.404736511e-01 2.013850468e+00
1.442885772e+02 2.200004926e+00 8.495794538e-01 1.990262483e+00
1.462925852e+02 2.203685957e+00 8.585979036e-01 1.966854188e+00
1.482965932e+02 2.207363250e+00 8.675294009e-01 1.943626434e+00
1.503006012e+02 2.211035859e+00 8.763742772e-01 1.920580016e+00
1.523046092e+02 2.214702865e+00 8.851329060e-01 1.897715674e+00
1.543086172e+02 2.218363372e+00 8.938056472e-01 1.875034094e+00
1.563126253e+02 2.222016511e+00 9.023928739e-01 1.852535905e+00
1.583166333e+02 2.225661438e+00 9.108949630e-01 1.830221682e+00
1.603206413e+02 2.229297331e+00 9.193122959e-01 1.808091947e+00
1.623246493e+02 2.232923395e+00 9.276452596e-01 1.786147169e+00
1.643286573e+02 2.236538857e+00 9.358942460e-01 1.764387763e+00
1.663326653e+02 2.240142970e+00 9.440596517e-01 1.742814094e+00
1.683366733e+02 2.243735005e+00 9.521418780e-01 1.721426481e+00
1.703406814e+02 2.247314259e+00 9.601413324e-01 1.700225188e+00
1.723446894e+02 2.250880053e+00 9.680584290e-01 1.679210429e+00
1.743486974e+02 2.254431732e+00 9.758935878e-01 1.658382360e+00
1.763527054e+02 2.257968661e+00 9.836472145e-01 1.637741091e+00
1.783567134e+02 2.261490225e+00 9.913197301e-01 1.617286701e+00
1.803607214e+02 2.264995835e+00 9.989116222e-01 1.597019210e+00
1.823647295e+02 2.268484918e+00 1.006423258e+00 1.576938593e+00
1.843687375e+02 2.271956924e+00 1.013855128e+00 1.557044782e+00
1.863727455e+02 2.275411320e+00 1.021207660e+00 1.537337660e+00
1.883767535e+02 2.278847596e+00 1.028481315e+00 1.517817071e+00
1.903807615e+02 2.282265295e+00 1.035676519e+00 1.498482822e+00
1.923847695e+02 2.285663907e+00 1.042793765e+00 1.479334661e+00
1.943887776e+02 2.289042987e+00 1.049833508e+00 1.460372310e+00
1.963927856e+02 2.292402111e+00 1.056796222e+00 1.441595444e+00
1.983967936e+02 2.295740870e+00 1.063682380e+00 1.423003703e+00
2.004008016e+02 2.299058867e+00 1.070492454e+00 1.404596685e+00
2.024048096e+02 2.302355720e+00 1.077226931e+00 1.386373954e+00
2.044088176e+02 2.305631069e+00 1.083886308e+00 1.368335026e+00
2.064128257e+02 2.308884582e+00 1.090471058e+00 1.350479404e+00
2.084168337e+02 2.312115923e+00 1.096981696e+00 1.332806524e+00
2.104208417e+02 2.315324810e+00 1.103418680e+00 1.315315846e+00
2.124248497e+02 2.318510921e+00 1.109782554e+00 1.298006713e+00
2.144288577e+02 2.321673983e+00 1.116073806e+00 1.280878489e+00
2.164328657e+02 2.324813737e+00 1.122292948e+00 1.263930505e+00
2.184368737e+02 2.327929926e+00 1.128440544e+00 1.247161992e+00
2.204408818e+02 2.331022380e+00 1.134516964e+00 1.230572395e+00
