time            Ak              Br              Cj              sAk             sBr             sCj            
2.473346693e+04 6.433550024e-01 1.740163026e+00 8.962237762e-01 2.424231318e-02 1.042806226e-02 2.101762949e-02
2.493787575e+04 6.191308874e-01 1.711963053e+00 9.325564028e-01 2.516524029e-02 1.055494516e-02 2.021171307e-02
2.514228457e+04 5.974694181e-01 1.679695544e+00 9.702646174e-01 2.607713002e-02 1.070923922e-02 1.942377032e-02
2.534669339e+04 5.782687166e-01 1.643744224e+00 1.009110106e+00 2.697021941e-02 1.089126638e-02 1.866204019e-02
2.555110220e+04 5.614266179e-01 1.604516010e+00 1.048829313e+00 2.783647219e-02 1.110147348e-02 1.793310064e-02
2.575551102e+04 5.468429721e-01 1.562434401e+00 1.089135866e+00 2.866768520e-02 1.134041332e-02 1.724191285e-02
2.595991984e+04 5.344213962e-01 1.517932800e+00 1.129723912e+00 2.945560517e-02 1.160872532e-02 1.659194065e-02
2.616432866e+04 5.240706009e-01 1.471447950e+00 1.170272333e+00 3.019205727e-02 1.190711486e-02 1.598532314e-02
2.636873747e+04 5.157053576e-01 1.423413091e+00 1.210449465e+00 3.086908431e-02 1.223633181e-02 1.542307576e-02
2.657314629e+04 5.092471113e-01 1.374251942e+00 1.249918531e+00 3.147909079e-02 1.259714799e-02 1.490530593e-02
2.677755511e+04 5.046243557e-01 1.324372725e+00 1.288343105e+00 3.201499537e-02 1.299033395e-02 1.443141293e-02
2.698196393e+04 5.017726936e-01 1.274163054e+00 1.325392661e+00 3.247037842e-02 1.341663454e-02 1.400028138e-02
2.718637275e+04 5.006347567e-01 1.223985452e+00 1.360747945e+00 3.283963324e-02 1.387674346e-02 1.361044016e-02
2.739078156e+04 5.011599143e-01 1.174173755e+00 1.394105951e+00 3.311810709e-02 1.437127719e-02 1.326019913e-02
2.759519038e+04 5.033038326e-01 1.125030362e+00 1.425184436e+00 3.330223436e-02 1.490074804e-02 1.294775830e-02
2.779959920e+04 5.070279100e-01 1.076824578e+00 1.453725507e+00 3.338964666e-02 1.546553765e-02 1.267128723e-02
2.800400802e+04 5.122985701e-01 1.029791686e+00 1.479498913e+00 3.337926873e-02 1.606586943e-02 1.242899036e-02
2.820841683e+04 5.190864436e-01 9.841330233e-01 1.502304056e+00 3.327137998e-02 1.670178118e-02 1.221915278e-02
2.841282565e+04 5.273654877e-01 9.400164453e-01 1.521971902e+00 3.306766053e-02 1.737309838e-02 1.204017085e-02
2.861723447e+04 5.371119535e-01 8.975779330e-01 1.538365558e+00 3.277117991e-02 1.807941025e-02 1.189057264e-02
2.882164329e+04 5.483033055e-01 8.569233239e-01 1.551380665e+00 3.238636621e-02 1.882004465e-02 1.176903158e-02
2.902605210e+04 5.609170480e-01 8.181305742e-01 1.560945064e+00 3.191892628e-02 1.959404710e-02 1.167437294e-02
2.923046092e+04 5.749294978e-01 7.812524201e-01 1.567017908e+00 3.137572379e-02 2.040016258e-02 1.160557622e-02
2.943486974e+04 5.903144979e-01 7.463188154e-01 1.569588816e+00 3.076463522e-02 2.123681676e-02 1.156177623e-02
2.963927856e+04 6.070421337e-01 7.133398763e-01 1.568676257e+00 3.009435192e-02 2.210210714e-02 1.154225879e-02
2.984368737e+04 6.250774225e-01 6.823085000e-01 1.564326091e+00 2.937417007e-02 2.299379225e-02 1.154645840e-02
3.004809619e+04 6.443790636e-01 6.532030048e-01 1.556609820e+00 2.861375717e-02 2.390928842e-02 1.157395287e-02
3.025250501e+04 6.648982433e-01 6.259896208e-01 1.545622797e+00 2.782290904e-02 2.484566997e-02 1.162445826e-02
3.045691383e+04 6.865775621e-01 6.006247980e-01 1.531482350e+00 2.701130897e-02 2.579967464e-02 1.169782313e-02
3.066132265e+04 7.093501277e-01 5.770572841e-01 1.514325895e+00 2.618830451e-02 2.676771333e-02 1.179402294e-02
3.086573146e+04 7.331388337e-01 5.552300234e-01 1.494308954e+00 2.536270215e-02 2.774588557e-02 1.191315395e-02
3.107014028e+04 7.578558859e-01 5.350818179e-01 1.471603192e+00 2.454259784e-02 2.872999934e-02 1.205542726e-02
3.127454910e+04 7.834025938e-01 5.165487842e-01 1.446394351e+00 2.373524432e-02 2.971559620e-02 1.222116279e-02
3.147895792e+04 8.096694568e-01 4.995656040e-01 1.418880130e+00 2.294696146e-02 3.069798114e-02 1.241078302e-02
3.168336673e+04 8.365365739e-01 4.840665798e-01 1.389268064e+00 2.218308995e-02 3.167225707e-02 1.262480685e-02
3.188777555e+04 8.638743478e-01 4.699865177e-01 1.357773271e+00 2.144798612e-02 3.263336358e-02 1.286384321e-02
3.209218437e+04 8.915444900e-01 4.572614534e-01 1.324616116e+00 2.074505310e-02 3.357612023e-02 1.312858451e-02
3.229659319e+04 9.194013263e-01 4.458292213e-01 1.290020032e+00 2.007680130e-02 3.449527293e-02 1.341979996e-02
3.250100200e+04 9.472933070e-01 4.356299147e-01 1.254209106e+00 1.944493189e-02 3.538554426e-02 1.373832862e-02
3.270541082e+04 9.750647309e-01 4.266062241e-01 1.217405849e+00 1.885043369e-02 3.624168624e-02 1.408507224e-02
3.290981964e+04 1.002557597e+00 4.187036797e-01 1.179828985e+00 1.829368747e-02 3.705853512e-02 1.446098767e-02
3.311422846e+04 1.029613555e+00 4.118708215e-01 1.141691354e+00 1.777457153e-02 3.783106826e-02 1.486707916e-02
3.331863727e+04 1.056075891e+00 4.060592875e-01 1.103197938e+00 1.729256350e-02 3.855446206e-02 1.530438996e-02
3.352304609e+04 1.081791438e+00 4.012238493e-01 1.064544118e+00 1.684683130e-02 3.922414868e-02 1.577399414e-02
3.372745491e+04 1.106612404e+00 3.973223952e-01 1.025914163e+00 1.643631458e-02 3.983587187e-02 1.627698779e-02
3.393186373e+04 1.130398076e+00 3.943158736e-01 9.874799362e-01 1.605979630e-02 4.038574176e-02 1.681447970e-02
3.413627255e+04 1.153016338e+00 3.921682014e-01 9.493998695e-01 1.571596201e-02 4.087028639e-02 1.738758178e-02
3.434068136e+04 1.174345010e+00 3.908461434e-01 9.118181975e-01 1.540344890e-02 4.128650059e-02 1.799739921e-02
3.454509018e+04 1.194272850e+00 3.903191702e-01 8.748645418e-01 1.512088163e-02 4.163188684e-02 1.864502064e-02
3.474949900e+04 1.212700425e+00 3.905592962e-01 8.386536728e-01 1.486690446e-02 4.190449383e-02 1.933150740e-02
3.495390782e+04 1.229540716e+00 3.915409022e-01 8.032855185e-01 1.464020490e-02 4.210294836e-02 2.005788302e-02
3.515831663e+04 1.244719408e+00 3.932405424e-01 7.688454868e-01 1.443952687e-02 4.222647714e-02 2.082512295e-02
3.536272545e+04 1.258175009e+00 3.956367399e-01 7.354049059e-01 1.426368456e-02 4.227492258e-02 2.163414354e-02
3.556713427e+04 1.269858801e+00 3.987097765e-01 7.030216440e-01 1.411157250e-02 4.224875088e-02 2.248579096e-02
3.577154309e+04 1.279734534e+00 4.024414756e-01 6.717408787e-01 1.398216787e-02 4.214904980e-02 2.338083130e-02
3.597595190e+04 1.287778002e+00 4.068149589e-01 6.415959215e-01 1.387453254e-02 4.197751563e-02 2.431994088e-02
3.618036072e+04 1.293976555e+00 4.118144354e-01 6.126092868e-01 1.378781935e-02 4.173643569e-02 2.530369488e-02
3.638476954e+04 1.298328264e+00 4.174249512e-01 5.847934873e-01 1.372126699e-02 4.142865658e-02 2.633255904e-02
3.658917836e+04 1.300841534e+00 4.236321089e-01 5.581521228e-01 1.367419755e-02 4.105754291e-02 2.740688303e-02
3.679358717e+04 1.301533961e+00 4.304219065e-01 5.326809730e-01 1.364602411e-02 4.062693730e-02 2.852688816e-02
3.699799599e+04 1.300431823e+00 4.377804097e-01 5.083688205e-01 1.363623919e-02 4.014109891e-02 2.969266419e-02
3.720240481e+04 1.297569176e+00 4.456935421e-01 4.851984618e-01 1.364441699e-02 3.960464560e-02 3.090416207e-02
3.740681363e+04 1.292987148e+00 4.541468391e-01 4.631475942e-01 1.367021053e-02 3.902248709e-02 3.216118914e-02
3.761122244e+04 1.286732992e+00 4.631252122e-01 4.421896099e-01 1.371334968e-02 3.839975461e-02 3.346340529e-02
