time            sBr             sCj            
2.250901804e+03 3.997296974e+00 1.230302415e-03
2.265330661e+03 3.997197660e+00 1.275346752e-03
2.279759519e+03 3.997094711e+00 1.322040569e-03
2.294188377e+03 3.996987996e+00 1.370442887e-03
2.308617234e+03 3.996877379e+00 1.420615484e-03
2.323046092e+03 3.996762714e+00 1.472624933e-03
2.337474950e+03 3.996643854e+00 1.526537446e-03
2.351903808e+03 3.996520649e+00 1.582421742e-03
2.366332665e+03 3.996392938e+00 1.640350940e-03
2.380761523e+03 3.996260555e+00 1.700400093e-03
2.395190381e+03 3.996123332e+00 1.762645396e-03
2.409619238e+03 3.995981093e+00 1.827167363e-03
2.424048096e+03 3.995833650e+00 1.894050672e-03
2.438476954e+03 3.995680818e+00 1.963379935e-03
2.452905812e+03 3.995522401e+00 2.035243832e-03
2.467334669e+03 3.995358191e+00 2.109736715e-03
2.481763527e+03 3.995187981e+00 2.186953252e-03
2.496192385e+03 3.995011551e+00 2.266993107e-03
2.510621242e+03 3.994828672e+00 2.349960198e-03
2.525050100e+03 3.994639111e+00 2.435960326e-03
2.539478958e+03 3.994442623e+00 2.525105243e-03
2.553907816e+03 3.994238956e+00 2.617509379e-03
2.568336673e+03 3.994027849e+00 2.713290947e-03
2.582765531e+03 3.993809028e+00 2.812574746e-03
2.597194389e+03 3.993582215e+00 2.915487196e-03
2.611623246e+03 3.993347120e+00 3.022160719e-03
2.626052104e+03 3.993103436e+00 3.132733650e-03
2.640480962e+03 3.992850857e+00 3.247346435e-03
2.654909820e+03 3.992589055e+00 3.366147445e-03
2.669338677e+03 3.992317696e+00 3.489289067e-03
2.683767535e+03 3.992036433e+00 3.616928676e-03
2.698196393e+03 3.991744907e+00 3.749230442e-03
2.712625251e+03 3.991442743e+00 3.886364277e-03
2.727054108e+03 3.991129554e+00 4.028506432e-03
2.741482966e+03 3.990804940e+00 4.175838870e-03
2.755911824e+03 3.990468486e+00 4.328550880e-03
