time            sCj             sCk            
1.821643287e+02 3.128745203e+01 3.016775944e+01
1.827655311e+02 3.129678045e+01 3.017994691e+01
1.833667335e+02 3.130591788e+01 3.019188886e+01
1.839679359e+02 3.131486842e+01 3.020359038e+01
1.845691383e+02 3.132363608e+01 3.021505642e+01
1.851703407e+02 3.133222476e+01 3.022629185e+01
1.857715431e+02 3.134063828e+01 3.023730142e+01
1.863727455e+02 3.134888036e+01 3.024808979e+01
1.869739479e+02 3.135695466e+01 3.025866151e+01
1.875751503e+02 3.136486474e+01 3.026902103e+01
1.881763527e+02 3.137261407e+01 3.027917271e+01
1.887775551e+02 3.138020605e+01 3.028912083e+01
1.893787575e+02 3.138764402e+01 3.029886956e+01
1.899799599e+02 3.139493122e+01 3.030842298e+01
1.905811623e+02 3.140207082e+01 3.031778510e+01
1.911823647e+02 3.140906593e+01 3.032695984e+01
1.917835671e+02 3.141591958e+01 3.033595102e+01
1.923847695e+02 3.142263473e+01 3.034476240e+01
1.929859719e+02 3.142921430e+01 3.035339765e+01
1.935871743e+02 3.143566110e+01 3.036186036e+01
1.941883768e+02 3.144197792e+01 3.037015406e+01
1.947895792e+02 3.144816746e+01 3.037828218e+01
1.953907816e+02 3.145423237e+01 3.038624810e+01
1.959919840e+02 3.146017525e+01 3.039405512e+01
1.965931864e+02 3.146599863e+01 3.040170647e+01
1.971943888e+02 3.147170498e+01 3.040920531e+01
1.977955912e+02 3.147729673e+01 3.041655474e+01
1.983967936e+02 3.148277626e+01 3.042375778e+01
1.989979960e+02 3.148814587e+01 3.043081742e+01
1.995991984e+02 3.149340784e+01 3.043773655e+01
2.002004008e+02 3.149856439e+01 3.044451803e+01
2.008016032e+02 3.150361769e+01 3.045116462e+01
2.014028056e+02 3.150856986e+01 3.045767908e+01
2.020040080e+02 3.151342298e+01 3.046406405e+01
2.026052104e+02 3.151817908e+01 3.047032217e+01
2.032064128e+02 3.152284016e+01 3.047645599e+01
2.038076152e+02 3.152740815e+01 3.048246802e+01
2.044088176e+02 3.153188496e+01 3.048836072e+01
2.050100200e+02 3.153627246e+01 3.049413648e+01
2.056112224e+02 3.154057247e+01 3.049979767e+01
2.062124248e+02 3.154478677e+01 3.050534659e+01
2.068136273e+02 3.154891711e+01 3.051078550e+01
2.074148297e+02 3.155296520e+01 3.051611662e+01
2.080160321e+02 3.155693271e+01 3.052134210e+01
2.086172345e+02 3.156082128e+01 3.052646407e+01
2.092184369e+02 3.156463252e+01 3.053148461e+01
2.098196393e+02 3.156836799e+01 3.053640576e+01
2.104208417e+02 3.157202923e+01 3.054122950e+01
2.110220441e+02 3.157561774e+01 3.054595779e+01
2.116232465e+02 3.157913499e+01 3.055059255e+01
2.122244489e+02 3.158258243e+01 3.055513564e+01
2.128256513e+02 3.158596147e+01 3.055958890e+01
2.134268537e+02 3.158927348e+01 3.056395412e+01
2.140280561e+02 3.159251982e+01 3.056823308e+01
2.146292585e+02 3.159570182e+01 3.057242749e+01
2.152304609e+02 3.159882077e+01 3.057653904e+01
2.158316633e+02 3.160187793e+01 3.058056938e+01
2.164328657e+02 3.160487456e+01 3.058452015e+01
2.170340681e+02 3.160781187e+01 3.058839292e+01
2.176352705e+02 3.161069105e+01 3.059218925e+01
2.182364729e+02 3.161351327e+01 3.059591067e+01
2.188376754e+02 3.161627968e+01 3.059955867e+01
2.194388778e+02 3.161899139e+01 3.060313471e+01
2.200400802e+02 3.162164949e+01 3.060664022e+01
2.206412826e+02 3.162425507e+01 3.061007662e+01
2.212424850e+02 3.162680918e+01 3.061344527e+01
2.218436874e+02 3.162931284e+01 3.061674753e+01
2.224448898e+02 3.163176706e+01 3.061998470e+01
2.230460922e+02 3.163417283e+01 3.062315810e+01
2.236472946e+02 3.163653113e+01 3.062626897e+01
2.242484970e+02 3.163884289e+01 3.062931858e+01
2.248496994e+02 3.164110905e+01 3.063230813e+01
2.254509018e+02 3.164333051e+01 3.063523881e+01
2.260521042e+02 3.164550817e+01 3.063811180e+01
2.266533066e+02 3.164764291e+01 3.064092823e+01
2.272545090e+02 3.164973557e+01 3.064368924e+01
2.278557114e+02 3.165178699e+01 3.064639592e+01
2.284569138e+02 3.165379800e+01 3.064904934e+01
2.290581162e+02 3.165576939e+01 3.065165057e+01
2.296593186e+02 3.165770196e+01 3.065420063e+01
2.302605210e+02 3.165959649e+01 3.065670055e+01
2.308617234e+02 3.166145371e+01 3.065915130e+01
2.314629259e+02 3.166327438e+01 3.066155387e+01
2.320641283e+02 3.166505923e+01 3.066390922e+01
2.326653307e+02 3.166680895e+01 3.066621826e+01
2.332665331e+02 3.166852425e+01 3.066848193e+01
2.338677355e+02 3.167020582e+01 3.067070111e+01
2.344689379e+02 3.167185432e+01 3.067287669e+01
2.350701403e+02 3.167347040e+01 3.067500953e+01
2.356713427e+02 3.167505471e+01 3.067710047e+01
2.362725451e+02 3.167660788e+01 3.067915035e+01
2.368737475e+02 3.167813053e+01 3.068115996e+01
2.374749499e+02 3.167962325e+01 3.068313012e+01
2.380761523e+02 3.168108664e+01 3.068506159e+01
2.386773547e+02 3.168252129e+01 3.068695514e+01
2.392785571e+02 3.168392775e+01 3.068881152e+01
2.398797595e+02 3.168530659e+01 3.069063146e+01
2.404809619e+02 3.168665836e+01 3.069241568e+01
2.410821643e+02 3.168798358e+01 3.069416489e+01
2.416833667e+02 3.168928279e+01 3.069587978e+01
2.422845691e+02 3.169055649e+01 3.069756101e+01
2.428857715e+02 3.169180519e+01 3.069920927e+01
2.434869739e+02 3.169302938e+01 3.070082518e+01
2.440881764e+02 3.169422955e+01 3.070240941e+01
2.446893788e+02 3.169540618e+01 3.070396256e+01
2.452905812e+02 3.169655971e+01 3.070548525e+01
2.458917836e+02 3.169769062e+01 3.070697808e+01
2.464929860e+02 3.169879935e+01 3.070844163e+01
2.470941884e+02 3.169988633e+01 3.070987649e+01
2.476953908e+02 3.170095199e+01 3.071128322e+01
2.482965932e+02 3.170199676e+01 3.071266238e+01
