time            shCj            shCk            shBr           
2.805611222e+02 3.825666162e+00 3.936061446e-01 3.558478029e+00
2.905811623e+02 3.827089526e+00 4.070937174e-01 3.542845447e+00
3.006012024e+02 3.828553970e+00 4.205265944e-01 3.527227589e+00
3.106212425e+02 3.830058886e+00 4.339049355e-01 3.511624922e+00
3.206412826e+02 3.831603671e+00 4.472288980e-01 3.496037911e+00
3.306613226e+02 3.833187728e+00 4.604986371e-01 3.480467021e+00
3.406813627e+02 3.834810460e+00 4.737143064e-01 3.464912713e+00
3.507014028e+02 3.836471279e+00 4.868760569e-01 3.449375446e+00
3.607214429e+02 3.838169597e+00 4.999840372e-01 3.433855677e+00
3.707414830e+02 3.839904831e+00 5.130383946e-01 3.418353862e+00
3.807615230e+02 3.841676402e+00 5.260392749e-01 3.402870452e+00
3.907815631e+02 3.843483737e+00 5.389868206e-01 3.387405899e+00
4.008016032e+02 3.845326264e+00 5.518811729e-01 3.371960652e+00
4.108216433e+02 3.847203417e+00 5.647224732e-01 3.356535155e+00
4.208416834e+02 3.849114632e+00 5.775108585e-01 3.341129853e+00
4.308617234e+02 3.851059353e+00 5.902464647e-01 3.325745185e+00
4.408817635e+02 3.853037022e+00 6.029294278e-01 3.310381591e+00
4.509018036e+02 3.855047090e+00 6.155598807e-01 3.295039506e+00
4.609218437e+02 3.857089009e+00 6.281379545e-01 3.279719365e+00
4.709418838e+02 3.859162238e+00 6.406637800e-01 3.264421596e+00
4.809619238e+02 3.861266236e+00 6.531374867e-01 3.249146627e+00
4.909819639e+02 3.863400469e+00 6.655592010e-01 3.233894884e+00
5.010020040e+02 3.865564407e+00 6.779290489e-01 3.218666791e+00
5.110220441e+02 3.867757521e+00 6.902471548e-01 3.203462766e+00
5.210420842e+02 3.869979290e+00 7.025136426e-01 3.188283225e+00
5.310621242e+02 3.872229194e+00 7.147286344e-01 3.173128583e+00
5.410821643e+02 3.874506717e+00 7.268922512e-01 3.157999251e+00
5.511022044e+02 3.876811349e+00 7.390046134e-01 3.142895635e+00
5.611222445e+02 3.879142583e+00 7.510658393e-01 3.127818141e+00
5.711422846e+02 3.881499916e+00 7.630760461e-01 3.112767171e+00
5.811623246e+02 3.883882848e+00 7.750353515e-01 3.097743123e+00
5.911823647e+02 3.886290884e+00 7.869438715e-01 3.082746391e+00
6.012024048e+02 3.888723533e+00 7.988017213e-01 3.067777367e+00
6.112224449e+02 3.891180307e+00 8.106090130e-01 3.052836443e+00
6.212424850e+02 3.893660724e+00 8.223658607e-01 3.037924002e+00
6.312625251e+02 3.896164303e+00 8.340723767e-01 3.023040426e+00
6.412825651e+02 3.898690569e+00 8.457286723e-01 3.008186096e+00
6.513026052e+02 3.901239052e+00 8.573348580e-01 2.993361386e+00
6.613226453e+02 3.903809282e+00 8.688910431e-01 2.978566669e+00
6.713426854e+02 3.906400797e+00 8.803973370e-01 2.963802315e+00
6.813627255e+02 3.909013137e+00 8.918538479e-01 2.949068688e+00
6.913827655e+02 3.911645846e+00 9.032606836e-01 2.934366150e+00
7.014028056e+02 3.914298472e+00 9.146179513e-01 2.919695060e+00
7.114228457e+02 3.916970568e+00 9.259257574e-01 2.905055774e+00
7.214428858e+02 3.919661688e+00 9.371842078e-01 2.890448642e+00
7.314629259e+02 3.922371394e+00 9.483934080e-01 2.875874012e+00
7.414829659e+02 3.925099249e+00 9.595534631e-01 2.861332230e+00
7.515030060e+02 3.927844821e+00 9.706644775e-01 2.846823634e+00
7.615230461e+02 3.930607680e+00 9.817265554e-01 2.832348563e+00
7.715430862e+02 3.933387404e+00 9.927398005e-01 2.817907348e+00
7.815631263e+02 3.936183570e+00 1.003704316e+00 2.803500321e+00
7.915831663e+02 3.938995763e+00 1.014620206e+00 2.789127806e+00
8.016032064e+02 3.941823569e+00 1.025487572e+00 2.774790126e+00
8.116232465e+02 3.944666579e+00 1.036306516e+00 2.760487600e+00
8.216432866e+02 3.947524388e+00 1.047077140e+00 2.746220541e+00
8.316633267e+02 3.950396594e+00 1.057799548e+00 2.731989261e+00
8.416833667e+02 3.953282801e+00 1.068473840e+00 2.717794066e+00
8.517034068e+02 3.956182615e+00 1.079100118e+00 2.703635259e+00
8.617234469e+02 3.959095645e+00 1.089678484e+00 2.689513138e+00
8.717434870e+02 3.962021506e+00 1.100209039e+00 2.675427999e+00
8.817635271e+02 3.964959814e+00 1.110691883e+00 2.661380136e+00
8.917835671e+02 3.967910193e+00 1.121127118e+00 2.647369835e+00
9.018036072e+02 3.970872266e+00 1.131514844e+00 2.633397379e+00
9.118236473e+02 3.973845664e+00 1.141855163e+00 2.619463048e+00
9.218436874e+02 3.976830019e+00 1.152148176e+00 2.605567116e+00
9.318637275e+02 3.979824967e+00 1.162393984e+00 2.591709857e+00
9.418837675e+02 3.982830150e+00 1.172592687e+00 2.577891538e+00
9.519038076e+02 3.985845210e+00 1.182744386e+00 2.564112425e+00
9.619238477e+02 3.988869796e+00 1.192849181e+00 2.550372776e+00
9.719438878e+02 3.991903559e+00 1.202907175e+00 2.536672847e+00
9.819639279e+02 3.994946155e+00 1.212918468e+00 2.523012890e+00
9.919839679e+02 3.997997242e+00 1.222883162e+00 2.509393154e+00
1.002004008e+03 4.001056483e+00 1.232801358e+00 2.495813881e+00
1.012024048e+03 4.004123545e+00 1.242673157e+00 2.482275314e+00
1.022044088e+03 4.007198096e+00 1.252498660e+00 2.468777688e+00
1.032064128e+03 4.010279811e+00 1.262277970e+00 2.455321234e+00
1.042084168e+03 4.013368366e+00 1.272011188e+00 2.441906182e+00
1.052104208e+03 4.016463443e+00 1.281698417e+00 2.428532754e+00
1.062124248e+03 4.019564726e+00 1.291339759e+00 2.415201171e+00
1.072144289e+03 4.022671903e+00 1.300935317e+00 2.401911648e+00
1.082164329e+03 4.025784664e+00 1.310485193e+00 2.388664400e+00
1.092184369e+03 4.028902706e+00 1.319989490e+00 2.375459634e+00
1.102204409e+03 4.032025727e+00 1.329448312e+00 2.362297553e+00
1.112224449e+03 4.035153429e+00 1.338861762e+00 2.349178357e+00
1.122244489e+03 4.038285517e+00 1.348229946e+00 2.336102243e+00
1.132264529e+03 4.041421702e+00 1.357552966e+00 2.323069402e+00
1.142284569e+03 4.044561694e+00 1.366830927e+00 2.310080022e+00
1.152304609e+03 4.047705211e+00 1.376063934e+00 2.297134290e+00
1.162324649e+03 4.050851973e+00 1.385252092e+00 2.284232385e+00
1.172344689e+03 4.054001701e+00 1.394395506e+00 2.271374481e+00
1.182364729e+03 4.057154122e+00 1.403494284e+00 2.258560753e+00
1.192384770e+03 4.060308968e+00 1.412548530e+00 2.245791367e+00
1.202404810e+03 4.063465969e+00 1.421558352e+00 2.233066488e+00
1.212424850e+03 4.066624864e+00 1.430523857e+00 2.220386278e+00
1.222444890e+03 4.069785392e+00 1.439445151e+00 2.207750893e+00
1.232464930e+03 4.072947296e+00 1.448322343e+00 2.195160486e+00
1.242484970e+03 4.076110322e+00 1.457155540e+00 2.182615204e+00
1.252505010e+03 4.079274222e+00 1.465944852e+00 2.170115194e+00
1.262525050e+03 4.082438748e+00 1.474690387e+00 2.157660594e+00
1.272545090e+03 4.085603656e+00 1.483392256e+00 2.145251543e+00
1.282565130e+03 4.088768707e+00 1.492050566e+00 2.132888176e+00
1.292585170e+03 4.091933662e+00 1.500665430e+00 2.120570621e+00
1.302605210e+03 4.095098289e+00 1.509236956e+00 2.108299003e+00
1.312625251e+03 4.098262356e+00 1.517765257e+00 2.096073445e+00
1.322645291e+03 4.101425637e+00 1.526250445e+00 2.083894064e+00
1.332665331e+03 4.104587907e+00 1.534692631e+00 2.071760975e+00
1.342685371e+03 4.107748945e+00 1.543091927e+00 2.059674287e+00
1.352705411e+03 4.110908532e+00 1.551448446e+00 2.047634110e+00
1.362725451e+03 4.114066454e+00 1.559762302e+00 2.035640545e+00
1.372745491e+03 4.117222499e+00 1.568033609e+00 2.023693692e+00
1.382765531e+03 4.120376458e+00 1.576262480e+00 2.011793646e+00
1.392785571e+03 4.123528127e+00 1.584449031e+00 1.999940500e+00
1.402805611e+03 4.126677301e+00 1.592593377e+00 1.988134341e+00
1.412825651e+03 4.129823781e+00 1.600695633e+00 1.976375255e+00
1.422845691e+03 4.132967371e+00 1.608755915e+00 1.964663323e+00
1.432865731e+03 4.136107876e+00 1.616774340e+00 1.952998623e+00
1.442885772e+03 4.139245107e+00 1.624751025e+00 1.941381229e+00
1.452905812e+03 4.142378875e+00 1.632686088e+00 1.929811211e+00
1.462925852e+03 4.145508995e+00 1.640579645e+00 1.918288636e+00
1.472945892e+03 4.148635285e+00 1.648431817e+00 1.906813567e+00
1.482965932e+03 4.151757567e+00 1.656242722e+00 1.895386065e+00
1.492985972e+03 4.154875663e+00 1.664012478e+00 1.884006186e+00
1.503006012e+03 4.157989401e+00 1.671741205e+00 1.872673984e+00
1.513026052e+03 4.161098609e+00 1.679429025e+00 1.861389508e+00
1.523046092e+03 4.164203119e+00 1.687076058e+00 1.850152804e+00
1.533066132e+03 4.167302768e+00 1.694682424e+00 1.838963915e+00
1.543086172e+03 4.170397392e+00 1.702248247e+00 1.827822881e+00
1.553106212e+03 4.173486831e+00 1.709773646e+00 1.816729740e+00
1.563126253e+03 4.176570928e+00 1.717258745e+00 1.805684523e+00
1.573146293e+03 4.179649530e+00 1.724703667e+00 1.794687261e+00
1.583166333e+03 4.182722484e+00 1.732108535e+00 1.783737979e+00
1.593186373e+03 4.185789642e+00 1.739473474e+00 1.772836701e+00
1.603206413e+03 4.188850858e+00 1.746798607e+00 1.761983448e+00
1.613226453e+03 4.191905987e+00 1.754084060e+00 1.751178236e+00
1.623246493e+03 4.194954889e+00 1.761329957e+00 1.740421079e+00
1.633266533e+03 4.197997424e+00 1.768536423e+00 1.729711989e+00
1.643286573e+03 4.201033456e+00 1.775703585e+00 1.719050973e+00
1.653306613e+03 4.204062853e+00 1.782831570e+00 1.708438035e+00
1.663326653e+03 4.207085483e+00 1.789920503e+00 1.697873178e+00
1.673346693e+03 4.210101218e+00 1.796970513e+00 1.687356399e+00
1.683366733e+03 4.213109930e+00 1.803981728e+00 1.676887694e+00
1.693386774e+03 4.216111498e+00 1.810954274e+00 1.666467056e+00
1.703406814e+03 4.219105798e+00 1.817888281e+00 1.656094476e+00
1.713426854e+03 4.222092712e+00 1.824783876e+00 1.645769940e+00
1.723446894e+03 4.225072125e+00 1.831641189e+00 1.635493433e+00
1.733466934e+03 4.228043920e+00 1.838460351e+00 1.625264935e+00
1.743486974e+03 4.231007987e+00 1.845241490e+00 1.615084424e+00
1.753507014e+03 4.233964216e+00 1.851984737e+00 1.604951877e+00
1.763527054e+03 4.236912499e+00 1.858690224e+00 1.594867267e+00
1.773547094e+03 4.239852732e+00 1.865358080e+00 1.584830563e+00
1.783567134e+03 4.242784811e+00 1.871988437e+00 1.574841734e+00
1.793587174e+03 4.245708636e+00 1.878581427e+00 1.564900744e+00
1.803607214e+03 4.248624108e+00 1.885137181e+00 1.555007557e+00
1.813627255e+03 4.251531131e+00 1.891655833e+00 1.545162130e+00
1.823647295e+03 4.254429612e+00 1.898137514e+00 1.535364422e+00
1.833667335e+03 4.257319457e+00 1.904582359e+00 1.525614387e+00
1.843687375e+03 4.260200577e+00 1.910990500e+00 1.515911977e+00
1.853707415e+03 4.263072885e+00 1.917362070e+00 1.506257143e+00
1.863727455e+03 4.265936294e+00 1.923697204e+00 1.496649830e+00
1.873747495e+03 4.268790720e+00 1.929996035e+00 1.487089985e+00
1.883767535e+03 4.271636083e+00 1.936258699e+00 1.477577549e+00
1.893787575e+03 4.274472302e+00 1.942485329e+00 1.468112462e+00
1.903807615e+03 4.277299299e+00 1.948676062e+00 1.458694661e+00
1.913827655e+03 4.280116999e+00 1.954831032e+00 1.449324084e+00
1.923847695e+03 4.282925328e+00 1.960950375e+00 1.440000661e+00
1.933867735e+03 4.285724214e+00 1.967034226e+00 1.430724325e+00
1.943887776e+03 4.288513588e+00 1.973082722e+00 1.421495005e+00
1.953907816e+03 4.291293380e+00 1.979095998e+00 1.412312626e+00
1.963927856e+03 4.294063525e+00 1.985074192e+00 1.403177112e+00
1.973947896e+03 4.296823958e+00 1.991017440e+00 1.394088387e+00
1.983967936e+03 4.299574616e+00 1.996925878e+00 1.385046370e+00
1.993987976e+03 4.302315439e+00 2.002799645e+00 1.376050980e+00
