time            Cj              Ck              Br             
8.236472946e+01 1.113868666e+01 3.693379557e+00 1.906517625e+00
8.296593186e+01 1.114850631e+01 3.709793097e+00 1.878598550e+00
8.356713427e+01 1.115823922e+01 3.726017528e+00 1.851045408e+00
8.416833667e+01 1.116788527e+01 3.742054309e+00 1.823854550e+00
8.476953908e+01 1.117744434e+01 3.757904903e+00 1.797022331e+00
8.537074148e+01 1.118691637e+01 3.773570772e+00 1.770545115e+00
8.597194389e+01 1.119630132e+01 3.789053379e+00 1.744419273e+00
8.657314629e+01 1.120559915e+01 3.804354191e+00 1.718641185e+00
8.717434870e+01 1.121480987e+01 3.819474673e+00 1.693207243e+00
8.777555110e+01 1.122393352e+01 3.834416293e+00 1.668113846e+00
8.837675351e+01 1.123297014e+01 3.849180517e+00 1.643357407e+00
8.897795591e+01 1.124191981e+01 3.863768814e+00 1.618934348e+00
8.957915832e+01 1.125078262e+01 3.878182651e+00 1.594841109e+00
9.018036072e+01 1.125955870e+01 3.892423496e+00 1.571074139e+00
9.078156313e+01 1.126824819e+01 3.906492818e+00 1.547629900e+00
9.138276553e+01 1.127685125e+01 3.920392083e+00 1.524504873e+00
9.198396794e+01 1.128536806e+01 3.934122759e+00 1.501695551e+00
9.258517034e+01 1.129379883e+01 3.947686311e+00 1.479198446e+00
9.318637275e+01 1.130214376e+01 3.961084204e+00 1.457010082e+00
9.378757515e+01 1.131040312e+01 3.974317902e+00 1.435127003e+00
9.438877756e+01 1.131857714e+01 3.987388866e+00 1.413545772e+00
9.498997996e+01 1.132666611e+01 4.000298558e+00 1.392262966e+00
9.559118236e+01 1.133467031e+01 4.013048434e+00 1.371275184e+00
9.619238477e+01 1.134259005e+01 4.025639952e+00 1.350579043e+00
9.679358717e+01 1.135042566e+01 4.038074567e+00 1.330171178e+00
9.739478958e+01 1.135817747e+01 4.050353728e+00 1.310048247e+00
9.799599198e+01 1.136584583e+01 4.062478886e+00 1.290206926e+00
9.859719439e+01 1.137343111e+01 4.074451486e+00 1.270643913e+00
9.919839679e+01 1.138093369e+01 4.086272971e+00 1.251355926e+00
9.979959920e+01 1.138835396e+01 4.097944781e+00 1.232339706e+00
1.004008016e+02 1.139569232e+01 4.109468351e+00 1.213592015e+00
1.010020040e+02 1.140294920e+01 4.120845113e+00 1.195109638e+00
1.016032064e+02 1.141012503e+01 4.132076495e+00 1.176889382e+00
1.022044088e+02 1.141722023e+01 4.143163921e+00 1.158928075e+00
1.028056112e+02 1.142423527e+01 4.154108811e+00 1.141222573e+00
1.034068136e+02 1.143117060e+01 4.164912579e+00 1.123769750e+00
1.040080160e+02 1.143802669e+01 4.175576635e+00 1.106566508e+00
1.046092184e+02 1.144480403e+01 4.186102386e+00 1.089609770e+00
1.052104208e+02 1.145150310e+01 4.196491232e+00 1.072896484e+00
1.058116232e+02 1.145812441e+01 4.206744568e+00 1.056423623e+00
1.064128257e+02 1.146466845e+01 4.216863783e+00 1.040188185e+00
1.070140281e+02 1.147113574e+01 4.226850261e+00 1.024187189e+00
1.076152305e+02 1.147752681e+01 4.236705381e+00 1.008417684e+00
1.082164329e+02 1.148384217e+01 4.246430514e+00 9.928767418e-01
1.088176353e+02 1.149008237e+01 4.256027027e+00 9.775614586e-01
1.094188377e+02 1.149624795e+01 4.265496280e+00 9.624689563e-01
1.100200401e+02 1.150233944e+01 4.274839625e+00 9.475963826e-01
1.106212425e+02 1.150835742e+01 4.284058409e+00 9.329409108e-01
1.112224449e+02 1.151430242e+01 4.293153973e+00 9.184997399e-01
1.118236473e+02 1.152017502e+01 4.302127649e+00 9.042700939e-01
1.124248497e+02 1.152597579e+01 4.310980764e+00 8.902492228e-01
1.130260521e+02 1.153170529e+01 4.319714637e+00 8.764344029e-01
1.136272545e+02 1.153736409e+01 4.328330581e+00 8.628229361e-01
1.142284569e+02 1.154295279e+01 4.336829899e+00 8.494121501e-01
1.148296593e+02 1.154847196e+01 4.345213888e+00 8.361993983e-01
1.154308617e+02 1.155392219e+01 4.353483838e+00 8.231820603e-01
1.160320641e+02 1.155930407e+01 4.361641030e+00 8.103575421e-01
1.166332665e+02 1.156461818e+01 4.369686737e+00 7.977232750e-01
1.172344689e+02 1.156986512e+01 4.377622225e+00 7.852767162e-01
1.178356713e+02 1.157504549e+01 4.385448752e+00 7.730153490e-01
1.184368737e+02 1.158015989e+01 4.393167566e+00 7.609366829e-01
1.190380762e+02 1.158520890e+01 4.400779908e+00 7.490382531e-01
1.196392786e+02 1.159019314e+01 4.408287012e+00 7.373176202e-01
1.202404810e+02 1.159511320e+01 4.415690102e+00 7.257723707e-01
1.208416834e+02 1.159996968e+01 4.422990394e+00 7.144001172e-01
