time            Cj              Ck             
9.198396794e+01 2.384666058e+01 2.361343735e+01
9.378757515e+01 2.452666602e+01 2.439547850e+01
9.559118236e+01 2.518863215e+01 2.516318220e+01
9.739478958e+01 2.583115609e+01 2.591435146e+01
9.919839679e+01 2.645309650e+01 2.664705691e+01
1.010020040e+02 2.705358086e+01 2.735966153e+01
1.028056112e+02 2.763200357e+01 2.805083383e+01
1.046092184e+02 2.818801567e+01 2.871954985e+01
1.064128257e+02 2.872150774e+01 2.936508553e+01
1.082164329e+02 2.923258723e+01 2.998700027e+01
1.100200401e+02 2.972155221e+01 3.058511420e+01
1.118236473e+02 3.018886307e+01 3.115948064e+01
1.136272545e+02 3.063511371e+01 3.171035600e+01
1.154308617e+02 3.106100345e+01 3.223816846e+01
1.172344689e+02 3.146731059e+01 3.274348706e+01
1.190380762e+02 3.185486844e+01 3.322699225e+01
1.208416834e+02 3.222454409e+01 3.368944870e+01
1.226452906e+02 3.257722020e+01 3.413168088e+01
1.244488978e+02 3.291377986e+01 3.455455166e+01
1.262525050e+02 3.323509425e+01 3.495894412e+01
1.280561122e+02 3.354201302e+01 3.534574632e+01
1.298597194e+02 3.383535704e+01 3.571583896e+01
1.316633267e+02 3.411591317e+01 3.607008562e+01
1.334669339e+02 3.438443083e+01 3.640932528e+01
1.352705411e+02 3.464161996e+01 3.673436687e+01
1.370741483e+02 3.488815018e+01 3.704598544e+01
1.388777555e+02 3.512465081e+01 3.734491971e+01
1.406813627e+02 3.535171165e+01 3.763187082e+01
1.424849699e+02 3.556988422e+01 3.790750190e+01
1.442885772e+02 3.577968335e+01 3.817243835e+01
1.460921844e+02 3.598158903e+01 3.842726870e+01
1.478957916e+02 3.617604840e+01 3.867254575e+01
1.496993988e+02 3.636347778e+01 3.890878806e+01
1.515030060e+02 3.654426469e+01 3.913648160e+01
1.533066132e+02 3.671876987e+01 3.935608147e+01
1.551102204e+02 3.688732922e+01 3.956801366e+01
1.569138277e+02 3.705025558e+01 3.977267686e+01
1.587174349e+02 3.720784055e+01 3.997044421e+01
1.605210421e+02 3.736035603e+01 4.016166495e+01
1.623246493e+02 3.750805579e+01 4.034666606e+01
1.641282565e+02 3.765117688e+01 4.052575383e+01
1.659318637e+02 3.778994089e+01 4.069921526e+01
1.677354709e+02 3.792455514e+01 4.086731945e+01
1.695390782e+02 3.805521384e+01 4.103031887e+01
1.713426854e+02 3.818209904e+01 4.118845053e+01
1.731462926e+02 3.830538156e+01 4.134193711e+01
1.749498998e+02 3.842522185e+01 4.149098795e+01
1.767535070e+02 3.854177076e+01 4.163580002e+01
1.785571142e+02 3.865517026e+01 4.177655876e+01
1.803607214e+02 3.876555406e+01 4.191343895e+01
1.821643287e+02 3.887304822e+01 4.204660535e+01
1.839679359e+02 3.897777170e+01 4.217621350e+01
1.857715431e+02 3.907983685e+01 4.230241028e+01
1.875751503e+02 3.917934988e+01 4.242533451e+01
1.893787575e+02 3.927641124e+01 4.254511752e+01
1.911823647e+02 3.937111607e+01 4.266188359e+01
1.929859719e+02 3.946355452e+01 4.277575048e+01
1.947895792e+02 3.955381206e+01 4.288682978e+01
1.965931864e+02 3.964196982e+01 4.299522740e+01
1.983967936e+02 3.972810486e+01 4.310104383e+01
2.002004008e+02 3.981229037e+01 4.320437453e+01
2.020040080e+02 3.989459600e+01 4.330531024e+01
2.038076152e+02 3.997508801e+01 4.340393728e+01
2.056112224e+02 4.005382952e+01 4.350033778e+01
2.074148297e+02 4.013088066e+01 4.359458998e+01
2.092184369e+02 4.020629878e+01 4.368676841e+01
2.110220441e+02 4.028013859e+01 4.377694416e+01
2.128256513e+02 4.035245229e+01 4.386518501e+01
2.146292585e+02 4.042328980e+01 4.395155570e+01
2.164328657e+02 4.049269878e+01 4.403611806e+01
2.182364729e+02 4.056072482e+01 4.411893114e+01
2.200400802e+02 4.062741155e+01 4.420005143e+01
2.218436874e+02 4.069280072e+01 4.427953297e+01
2.236472946e+02 4.075693232e+01 4.435742744e+01
2.254509018e+02 4.081984462e+01 4.443378432e+01
2.272545090e+02 4.088157444e+01 4.450865113e+01
2.290581162e+02 4.094215700e+01 4.458207335e+01
2.308617234e+02 4.100162610e+01 4.465409455e+01
2.326653307e+02 4.106001421e+01 4.472475657e+01
2.344689379e+02 4.111735249e+01 4.479409954e+01
2.362725451e+02 4.117367092e+01 4.486216203e+01
2.380761523e+02 4.122899827e+01 4.492898106e+01
2.398797595e+02 4.128336224e+01 4.499459223e+01
2.416833667e+02 4.133678948e+01 4.505902975e+01
2.434869739e+02 4.138930562e+01 4.512232654e+01
2.452905812e+02 4.144093535e+01 4.518451425e+01
2.470941884e+02 4.149170246e+01 4.524562337e+01
2.488977956e+02 4.154162986e+01 4.530568327e+01
2.507014028e+02 4.159073962e+01 4.536472219e+01
2.525050100e+02 4.163905306e+01 4.542276741e+01
2.543086172e+02 4.168659070e+01 4.547984517e+01
2.561122244e+02 4.173337238e+01 4.553598080e+01
2.579158317e+02 4.177941722e+01 4.559119874e+01
2.597194389e+02 4.182474369e+01 4.564552256e+01
2.615230461e+02 4.186936966e+01 4.569897503e+01
2.633266533e+02 4.191331235e+01 4.575157811e+01
2.651302605e+02 4.195658842e+01 4.580335303e+01
2.669338677e+02 4.199921400e+01 4.585432031e+01
2.687374749e+02 4.204120466e+01 4.590449977e+01
2.705410822e+02 4.208257548e+01 4.595391057e+01
2.723446894e+02 4.212334103e+01 4.600257124e+01
2.741482966e+02 4.216351543e+01 4.605049971e+01
2.759519038e+02 4.220311238e+01 4.609771335e+01
2.777555110e+02 4.224214509e+01 4.614422895e+01
2.795591182e+02 4.228062640e+01 4.619006276e+01
2.813627255e+02 4.231856873e+01 4.623523055e+01
2.831663327e+02 4.235598414e+01 4.627974755e+01
2.849699399e+02 4.239288430e+01 4.632362856e+01
2.867735471e+02 4.242928054e+01 4.636688790e+01
2.885771543e+02 4.246518386e+01 4.640953948e+01
2.903807615e+02 4.250060490e+01 4.645159674e+01
2.921843687e+02 4.253555402e+01 4.649307277e+01
2.939879760e+02 4.257004126e+01 4.653398025e+01
2.957915832e+02 4.260407638e+01 4.657433147e+01
2.975951904e+02 4.263766885e+01 4.661413838e+01
2.993987976e+02 4.267082788e+01 4.665341259e+01
3.012024048e+02 4.270356238e+01 4.669216532e+01
3.030060120e+02 4.273588107e+01 4.673040754e+01
3.048096192e+02 4.276779239e+01 4.676814988e+01
3.066132265e+02 4.279930454e+01 4.680540265e+01
3.084168337e+02 4.283042552e+01 4.684217589e+01
3.102204409e+02 4.286116310e+01 4.687847938e+01
3.120240481e+02 4.289152483e+01 4.691432258e+01
3.138276553e+02 4.292151806e+01 4.694971474e+01
3.156312625e+02 4.295114995e+01 4.698466482e+01
3.174348697e+02 4.298042748e+01 4.701918158e+01
3.192384770e+02 4.300935742e+01 4.705327349e+01
3.210420842e+02 4.303794639e+01 4.708694886e+01
3.228456914e+02 4.306620081e+01 4.712021572e+01
3.246492986e+02 4.309412696e+01 4.715308193e+01
3.264529058e+02 4.312173095e+01 4.718555512e+01
3.282565130e+02 4.314901873e+01 4.721764274e+01
3.300601202e+02 4.317599611e+01 4.724935204e+01
3.318637275e+02 4.320266874e+01 4.728069008e+01
3.336673347e+02 4.322904214e+01 4.731166376e+01
3.354709419e+02 4.325512170e+01 4.734227980e+01
3.372745491e+02 4.328091266e+01 4.737254473e+01
3.390781563e+02 4.330642014e+01 4.740246493e+01
3.408817635e+02 4.333164913e+01 4.743204663e+01
3.426853707e+02 4.335660452e+01 4.746129590e+01
3.444889780e+02 4.338129105e+01 4.749021867e+01
3.462925852e+02 4.340571338e+01 4.751882071e+01
3.480961924e+02 4.342987605e+01 4.754710768e+01
3.498997996e+02 4.345378348e+01 4.757508507e+01
3.517034068e+02 4.347743999e+01 4.760275826e+01
3.535070140e+02 4.350084982e+01 4.763013251e+01
