time            C               B              
1.338677355e+04 3.969811637e+00 8.224063903e+01
1.342685371e+04 3.969919713e+00 8.230062428e+01
1.346693387e+04 3.970027252e+00 8.236033300e+01
1.350701403e+04 3.970134259e+00 8.241976698e+01
1.354709419e+04 3.970240736e+00 8.247892801e+01
1.358717435e+04 3.970346688e+00 8.253781788e+01
1.362725451e+04 3.970452118e+00 8.259643832e+01
1.366733467e+04 3.970557029e+00 8.265479107e+01
1.370741483e+04 3.970661426e+00 8.271287788e+01
1.374749499e+04 3.970765312e+00 8.277070043e+01
1.378757515e+04 3.970868690e+00 8.282826042e+01
1.382765531e+04 3.970971564e+00 8.288555952e+01
1.386773547e+04 3.971073937e+00 8.294259942e+01
1.390781563e+04 3.971175813e+00 8.299938175e+01
1.394789579e+04 3.971277195e+00 8.305590816e+01
1.398797595e+04 3.971378087e+00 8.311218026e+01
1.402805611e+04 3.971478491e+00 8.316819967e+01
1.406813627e+04 3.971578412e+00 8.322396797e+01
1.410821643e+04 3.971677851e+00 8.327948675e+01
1.414829659e+04 3.971776814e+00 8.333475757e+01
1.418837675e+04 3.971875302e+00 8.338978199e+01
1.422845691e+04 3.971973319e+00 8.344456156e+01
1.426853707e+04 3.972070868e+00 8.349909779e+01
1.430861723e+04 3.972167952e+00 8.355339222e+01
1.434869739e+04 3.972264575e+00 8.360744633e+01
1.438877756e+04 3.972360739e+00 8.366126161e+01
1.442885772e+04 3.972456448e+00 8.371483955e+01
1.446893788e+04 3.972551704e+00 8.376818161e+01
1.450901804e+04 3.972646510e+00 8.382128925e+01
1.454909820e+04 3.972740870e+00 8.387416390e+01
1.458917836e+04 3.972834787e+00 8.392680699e+01
1.462925852e+04 3.972928262e+00 8.397921995e+01
1.466933868e+04 3.973021300e+00 8.403140417e+01
1.470941884e+04 3.973113902e+00 8.408336105e+01
1.474949900e+04 3.973206073e+00 8.413509197e+01
1.478957916e+04 3.973297814e+00 8.418659831e+01
1.482965932e+04 3.973389128e+00 8.423788142e+01
1.486973948e+04 3.973480019e+00 8.428894266e+01
1.490981964e+04 3.973570489e+00 8.433978336e+01
1.494989980e+04 3.973660540e+00 8.439040485e+01
1.498997996e+04 3.973750176e+00 8.444080844e+01
1.503006012e+04 3.973839398e+00 8.449099544e+01
1.507014028e+04 3.973928210e+00 8.454096715e+01
1.511022044e+04 3.974016615e+00 8.459072486e+01
1.515030060e+04 3.974104614e+00 8.464026983e+01
1.519038076e+04 3.974192211e+00 8.468960333e+01
1.523046092e+04 3.974279408e+00 8.473872662e+01
1.527054108e+04 3.974366207e+00 8.478764093e+01
