time            Cj              shCj           
7.615230461e+01 1.725479591e+00 3.429284285e-01
7.815631263e+01 1.722705531e+00 3.402323929e-01
8.016032064e+01 1.719973978e+00 3.375656964e-01
8.216432866e+01 1.717281160e+00 3.349271690e-01
8.416833667e+01 1.714624003e+00 3.323158200e-01
8.617234469e+01 1.711999992e+00 3.297308027e-01
8.817635271e+01 1.709407062e+00 3.271713862e-01
9.018036072e+01 1.706843505e+00 3.246369331e-01
9.218436874e+01 1.704307903e+00 3.221268819e-01
9.418837675e+01 1.701799069e+00 3.196407325e-01
9.619238477e+01 1.699315999e+00 3.171780331e-01
9.819639279e+01 1.696857844e+00 3.147383746e-01
1.002004008e+02 1.694423875e+00 3.123213804e-01
1.022044088e+02 1.692013458e+00 3.099267012e-01
1.042084168e+02 1.689626041e+00 3.075540102e-01
1.062124248e+02 1.687261132e+00 3.052029994e-01
1.082164329e+02 1.684918292e+00 3.028733764e-01
1.102204409e+02 1.682597128e+00 3.005648624e-01
1.122244489e+02 1.680297275e+00 2.982771894e-01
1.142284569e+02 1.678018399e+00 2.960100991e-01
1.162324649e+02 1.675760189e+00 2.937633411e-01
1.182364729e+02 1.673522354e+00 2.915366732e-01
1.202404810e+02 1.671304621e+00 2.893298599e-01
1.222444890e+02 1.669106727e+00 2.871426703e-01
1.242484970e+02 1.666928421e+00 2.849748793e-01
1.262525050e+02 1.664769460e+00 2.828262658e-01
1.282565130e+02 1.662629611e+00 2.806966131e-01
1.302605210e+02 1.660508648e+00 2.785857101e-01
1.322645291e+02 1.658406354e+00 2.764933480e-01
1.342685371e+02 1.656322514e+00 2.744193225e-01
1.362725451e+02 1.654256917e+00 2.723634304e-01
1.382765531e+02 1.652209361e+00 2.703254752e-01
1.402805611e+02 1.650179643e+00 2.683052590e-01
1.422845691e+02 1.648167567e+00 2.663025913e-01
1.442885772e+02 1.646172941e+00 2.643172818e-01
1.462925852e+02 1.644195574e+00 2.623491435e-01
1.482965932e+02 1.642235282e+00 2.603979935e-01
1.503006012e+02 1.640291878e+00 2.584636486e-01
1.523046092e+02 1.638365184e+00 2.565459323e-01
1.543086172e+02 1.636455019e+00 2.546446653e-01
