time            Ap              Br              Cj              Aq              Bs              Ck             
4.278557114e+03 6.183485715e+00 1.917903578e+00 2.474604248e+00 6.186463935e+00 1.912630362e+00 2.478778636e+00
4.348697395e+03 6.243954068e+00 2.166118174e+00 2.170088245e+00 6.249052452e+00 2.159817747e+00 2.173378612e+00
4.418837675e+03 6.196404494e+00 2.466977051e+00 1.919820638e+00 6.203240952e+00 2.459681877e+00 1.922296762e+00
4.488977956e+03 6.044399288e+00 2.819305077e+00 1.721582851e+00 6.052514417e+00 2.811144021e+00 1.723311037e+00
4.559118236e+03 5.796824930e+00 3.218194596e+00 1.571849126e+00 5.805734115e+00 3.209418353e+00 1.572882736e+00
4.629258517e+03 5.467603034e+00 3.654134041e+00 1.466831041e+00 5.476840481e+00 3.645124887e+00 1.467204415e+00
4.699398798e+03 5.075015261e+00 4.112782152e+00 1.403215367e+00 5.084167749e+00 4.104038403e+00 1.402940395e+00
4.769539078e+03 4.640415511e+00 4.575622217e+00 1.378625059e+00 4.649144992e+00 4.567713249e+00 1.377689831e+00
4.839679359e+03 4.186334500e+00 5.021487728e+00 1.391857103e+00 4.194389355e+00 5.014985029e+00 1.390226379e+00
4.909819639e+03 3.734285075e+00 5.428646585e+00 1.442945850e+00 3.741500623e+00 5.424045874e+00 1.440563556e+00
4.979959920e+03 3.302760894e+00 5.776941291e+00 1.533077545e+00 3.309050861e+00 5.774595122e+00 1.529871899e+00
5.050100200e+03 2.905885910e+00 6.049503777e+00 1.664358136e+00 2.911227645e+00 6.049580369e+00 1.660250376e+00
5.120240481e+03 2.552938224e+00 6.233792211e+00 1.839416576e+00 2.557354942e+00 6.236266787e+00 1.834334410e+00
5.190380762e+03 2.248685478e+00 6.321988932e+00 2.060819238e+00 2.252228516e+00 6.326663865e+00 2.054715815e+00
5.260521042e+03 1.994270120e+00 6.310998386e+00 2.330286573e+00 1.997003306e+00 6.317542278e+00 2.323164740e+00
5.330661323e+03 1.788328422e+00 6.202312875e+00 2.647747992e+00 1.790315625e+00 6.210307653e+00 2.639687656e+00
5.400801603e+03 1.628085676e+00 6.001894227e+00 3.010343759e+00 1.629381673e+00 6.010881841e+00 3.001527473e+00
5.470941884e+03 1.510274882e+00 5.720036197e+00 3.411568772e+00 1.510919184e+00 5.729559791e+00 3.402298035e+00
5.541082164e+03 1.431823241e+00 5.371024933e+00 3.840804970e+00 1.431836280e+00 5.380662179e+00 3.831498797e+00
5.611222445e+03 1.390314125e+00 4.972383275e+00 4.283472731e+00 1.389695289e+00 4.981770798e+00 4.274642277e+00
5.681362725e+03 1.384259662e+00 4.543599790e+00 4.721897231e+00 1.382986873e+00 4.552448287e+00 4.714096324e+00
5.751503006e+03 1.413222461e+00 4.104451641e+00 5.136780449e+00 1.411253306e+00 4.112551729e+00 5.130539892e+00
5.821643287e+03 1.477812246e+00 3.673230160e+00 5.508970785e+00 1.475087026e+00 3.680449702e+00 5.504730677e+00
5.891783567e+03 1.579565175e+00 3.265255391e+00 5.821137890e+00 1.576012562e+00 3.271529968e+00 5.819193463e+00
5.961923848e+03 1.720696190e+00 2.891976740e+00 6.059041322e+00 1.716242428e+00 2.897295690e+00 6.059513253e+00
6.032064128e+03 1.903703546e+00 2.560763953e+00 6.212272064e+00 1.898286124e+00 2.565154576e+00 6.215104310e+00
6.102204409e+03 2.130805940e+00 2.275294454e+00 6.274546202e+00 2.124392223e+00 2.278806661e+00 6.279527084e+00
6.172344689e+03 2.403213712e+00 2.036323299e+00 6.243741271e+00 2.395823904e+00 2.039016235e+00 6.250539507e+00
6.242484970e+03 2.720279937e+00 1.842601478e+00 6.121854716e+00 2.712011888e+00 1.844532840e+00 6.130061774e+00
6.312625251e+03 3.078642949e+00 1.691758682e+00 5.914956097e+00 3.069693937e+00 1.692976835e+00 5.924128141e+00
6.382765531e+03 3.471538338e+00 1.581043231e+00 5.633065341e+00 3.462217012e+00 1.581581793e+00 5.642760729e+00
6.452905812e+03 3.888493126e+00 1.507879408e+00 5.289793982e+00 3.879214403e+00 1.507753901e+00 5.299604019e+00
6.523046092e+03 4.315578512e+00 1.470246598e+00 4.901588121e+00 4.306836843e+00 1.469452779e+00 4.911159918e+00
6.593186373e+03 4.736275488e+00 1.466904489e+00 4.486524092e+00 4.728597433e+00 1.465418185e+00 4.495574909e+00
6.663326653e+03 5.132831463e+00 1.497490818e+00 4.062784113e+00 5.126715322e+00 1.495269316e+00 4.071107089e+00
6.733466934e+03 5.487832495e+00 1.562509884e+00 3.647090325e+00 5.483687725e+00 1.559495220e+00 3.654552261e+00
6.803607214e+03 5.785661623e+00 1.663217879e+00 3.253420522e+00 5.783761241e+00 1.659342584e+00 3.259953249e+00
6.873747495e+03 6.013589293e+00 1.801399520e+00 2.892244341e+00 6.014044345e+00 1.796595557e+00 2.897831896e+00
6.943887776e+03 6.162401143e+00 1.979024089e+00 2.570355109e+00 6.165159513e+00 1.973235635e+00 2.575019101e+00
7.014028056e+03 6.226629019e+00 2.197772001e+00 2.291211584e+00 6.231494728e+00 2.190972302e+00 2.294996836e+00
7.084168337e+03 6.204540506e+00 2.458439767e+00 2.055608193e+00 6.211206259e+00 2.450651394e+00 2.058570097e+00
7.154308617e+03 6.098036617e+00 2.760263887e+00 1.862476375e+00 6.106122010e+00 2.751580260e+00 1.864670674e+00
7.224448898e+03 5.912528697e+00 3.100248663e+00 1.709660963e+00 5.921618152e+00 3.090852945e+00 1.711136096e+00
7.294589178e+03 5.656763421e+00 3.472627319e+00 1.594577782e+00 5.666440084e+00 3.462803330e+00 1.595369551e+00
7.364729459e+03 5.342490006e+00 3.868607889e+00 1.514715635e+00 5.352363630e+00 3.858737405e+00 1.514843796e+00
7.434869739e+03 4.983857430e+00 4.276529048e+00 1.467984776e+00 4.993585300e+00 4.267071602e+00 1.467451191e+00
7.505010020e+03 4.596495204e+00 4.682473811e+00 1.452931609e+00 4.605795762e+00 4.673929020e+00 1.451719711e+00
7.575150301e+03 4.196347216e+00 5.071269482e+00 1.468844458e+00 4.205006366e+00 5.064126978e+00 1.466919985e+00
7.645290581e+03 3.798437397e+00 5.427692769e+00 1.515769538e+00 3.806308131e+00 5.422378958e+00 1.513082678e+00
7.715430862e+03 3.415791787e+00 5.737647388e+00 1.594447733e+00 3.422788192e+00 5.734479608e+00 1.590937056e+00
7.785571142e+03 3.058706159e+00 5.989112231e+00 1.706172876e+00 3.064793479e+00 5.988268774e+00 1.701771582e+00
7.855711423e+03 2.734451894e+00 6.172753095e+00 1.852564869e+00 2.739634494e+00 6.174262939e+00 1.847209910e+00
7.925851703e+03 2.447393370e+00 6.282210718e+00 2.035249750e+00 2.451702313e+00 6.285961889e+00 2.028894286e+00
7.995991984e+03 2.199411785e+00 6.314156602e+00 2.255444029e+00 2.202893345e+00 6.319918513e+00 2.248073137e+00
