time            shA             shB             shC            
3.306613226e+03 9.593172132e+00 4.466223731e+00 2.577886047e+00
3.326653307e+03 9.388504834e+00 4.822158789e+00 2.440010380e+00
3.346693387e+03 9.137263410e+00 5.201405478e+00 2.324673558e+00
3.366733467e+03 8.844359569e+00 5.601211444e+00 2.230702233e+00
3.386773547e+03 8.515398216e+00 6.018035541e+00 2.157032001e+00
3.406813627e+03 8.156531682e+00 6.447570184e+00 2.102745843e+00
3.426853707e+03 7.774284529e+00 6.884809194e+00 2.067100847e+00
3.446893788e+03 7.375355666e+00 7.324160040e+00 2.049545226e+00
3.466933868e+03 6.966409041e+00 7.759594383e+00 2.049727392e+00
3.486973948e+03 6.553866932e+00 8.184826732e+00 2.067498403e+00
3.507014028e+03 6.143720713e+00 8.593507957e+00 2.102908663e+00
3.527054108e+03 5.741372408e+00 8.979419139e+00 2.156199392e+00
3.547094188e+03 5.351516786e+00 9.336652242e+00 2.227788892e+00
3.567134269e+03 4.978069384e+00 9.659766663e+00 2.318253350e+00
3.587174349e+03 4.624140630e+00 9.943914754e+00 2.428301626e+00
3.607214429e+03 4.292052156e+00 1.018493385e+01 2.558743257e+00
3.627254509e+03 3.983388147e+00 1.037940634e+01 2.710448870e+00
3.647294589e+03 3.699072696e+00 1.052469275e+01 2.884302293e+00
3.667334669e+03 3.439463838e+00 1.061894438e+01 3.081143885e+00
3.687374749e+03 3.204455538e+00 1.066110256e+01 3.301705156e+00
3.707414830e+03 2.993580246e+00 1.065089062e+01 3.546535404e+00
3.727454910e+03 2.806106493e+00 1.058880262e+01 3.815922097e+00
3.747494990e+03 2.641127646e+00 1.047609054e+01 4.109807800e+00
3.767535070e+03 2.497639680e+00 1.031474862e+01 4.427707660e+00
3.787575150e+03 2.374607087e+00 1.010749160e+01 4.768632556e+00
3.807615230e+03 2.271017040e+00 9.857721855e+00 5.131023891e+00
3.827655311e+03 2.185922628e+00 9.569479979e+00 5.512706305e+00
3.847695391e+03 2.118476321e+00 9.247374307e+00 5.910864317e+00
3.867735471e+03 2.067955010e+00 8.896486500e+00 6.322047733e+00
3.887775551e+03 2.033777928e+00 8.522253498e+00 6.742208771e+00
3.907815631e+03 2.015518638e+00 8.130329129e+00 7.166771121e+00
3.927855711e+03 2.012912097e+00 7.726431914e+00 7.590728518e+00
3.947895792e+03 2.025857511e+00 7.316188003e+00 8.008767248e+00
3.967935872e+03 2.054417474e+00 6.904979365e+00 8.415405020e+00
3.987975952e+03 2.098813571e+00 6.497807255e+00 8.805137071e+00
4.008016032e+03 2.159418421e+00 6.099179402e+00 9.172580278e+00
4.028056112e+03 2.236743857e+00 5.713027004e+00 9.512606989e+00
4.048096192e+03 2.331424732e+00 5.342654449e+00 9.820462078e+00
4.068136273e+03 2.444197739e+00 4.990721556e+00 1.009185956e+01
4.088176353e+03 2.575874463e+00 4.659255650e+00 1.032305737e+01
4.108216433e+03 2.727307947e+00 4.349688644e+00 1.051091168e+01
4.128256513e+03 2.899352142e+00 4.062913171e+00 1.065291370e+01
4.148296593e+03 3.092813879e+00 3.799351584e+00 1.074721317e+01
4.168336673e+03 3.308397387e+00 3.559031890e+00 1.079263255e+01
4.188376754e+03 3.546641992e+00 3.341665548e+00 1.078867545e+01
4.208416834e+03 3.807854463e+00 3.146722906e+00 1.073553155e+01
4.228456914e+03 4.092038254e+00 2.973503467e+00 1.063407845e+01
4.248496994e+03 4.398822928e+00 2.821198978e+00 1.048587891e+01
4.268537074e+03 4.727397916e+00 2.688948368e+00 1.029317082e+01
4.288577154e+03 5.076455484e+00 2.575884245e+00 1.005884559e+01
4.308617234e+03 5.444148091e+00 2.481171168e+00 9.786410825e+00
4.328657315e+03 5.828065159e+00 2.404036294e+00 9.479933484e+00
4.348697395e+03 6.225233494e+00 2.343793155e+00 9.143961092e+00
4.368737475e+03 6.632144111e+00 2.299859394e+00 8.783421021e+00
4.388777555e+03 7.044806305e+00 2.271769281e+00 8.403500255e+00
4.408817635e+03 7.458827342e+00 2.259181737e+00 8.009510685e+00
4.428857715e+03 7.869514228e+00 2.261884471e+00 7.606747208e+00
4.448897796e+03 8.271991240e+00 2.279794641e+00 7.200347100e+00
4.468937876e+03 8.661326367e+00 2.312956421e+00 6.795159385e+00
4.488977956e+03 9.032658653e+00 2.361535541e+00 6.395632110e+00
4.509018036e+03 9.381319078e+00 2.425810854e+00 6.005723606e+00
4.529058116e+03 9.702938730e+00 2.506162792e+00 5.628841440e+00
4.549098196e+03 9.993539826e+00 2.603058497e+00 5.267810173e+00
4.569138277e+03 1.024960724e+01 2.717033362e+00 4.924866627e+00
4.589178357e+03 1.046814027e+01 2.848668683e+00 4.601679413e+00
4.609218437e+03 1.064668605e+01 2.998565189e+00 4.299388185e+00
4.629258517e+03 1.078335737e+01 3.167312279e+00 4.018657323e+00
4.649298597e+03 1.087683837e+01 3.355453032e+00 3.759738953e+00
4.669338677e+03 1.092638138e+01 3.563445269e+00 3.522540375e+00
4.689378758e+03 1.093179802e+01 3.791619294e+00 3.306691880e+00
4.709418838e+03 1.089344659e+01 4.040133332e+00 3.111611772e+00
4.729458918e+03 1.081221701e+01 4.308928130e+00 2.936566338e+00
4.749498998e+03 1.068951300e+01 4.597682590e+00 2.780723338e+00
4.769539078e+03 1.052723098e+01 4.905772732e+00 2.643198335e+00
4.789579158e+03 1.032773356e+01 5.232236491e+00 2.523093712e+00
4.809619238e+03 1.009381605e+01 5.575747046e+00 2.419530674e+00
4.829659319e+03 9.828663935e+00 5.934597122e+00 2.331674769e+00
4.849699399e+03 9.535800117e+00 6.306696427e+00 2.258755627e+00
4.869739479e+03 9.219021449e+00 6.689583641e+00 2.200081721e+00
4.889779559e+03 8.882325376e+00 7.080453519e+00 2.155050855e+00
4.909819639e+03 8.529828529e+00 7.476198625e+00 2.123157132e+00
4.929859719e+03 8.165680306e+00 7.873464108e+00 2.103994997e+00
4.949899800e+03 7.793975232e+00 8.268712973e+00 2.097260884e+00
4.969939880e+03 7.418668261e+00 8.658298489e+00 2.102752880e+00
4.989979960e+03 7.043497191e+00 9.038539915e+00 2.120368714e+00
5.010020040e+03 6.671915773e+00 9.405797699e+00 2.150102272e+00
5.030060120e+03 6.307040342e+00 9.756544475e+00 2.192038738e+00
5.050100200e+03 5.951611660e+00 1.008742889e+01 2.246348406e+00
5.070140281e+03 5.607972546e+00 1.039533005e+01 2.313279090e+00
5.090180361e+03 5.278060796e+00 1.067740144e+01 2.393147045e+00
5.110220441e+03 4.963415968e+00 1.093110393e+01 2.486326244e+00
5.130260521e+03 4.665197973e+00 1.115422853e+01 2.593235829e+00
5.150300601e+03 4.384215026e+00 1.134491010e+01 2.714325588e+00
5.170340681e+03 4.120958355e+00 1.150163367e+01 2.850059287e+00
5.190380762e+03 3.875641174e+00 1.162323526e+01 3.000895779e+00
5.210420842e+03 3.648239629e+00 1.170889899e+01 3.167267889e+00
5.230460922e+03 3.438533932e+00 1.175815207e+01 3.349559115e+00
5.250501002e+03 3.246147967e+00 1.177085899e+01 3.548078481e+00
5.270541082e+03 3.070586403e+00 1.174721600e+01 3.763033940e+00
5.290581162e+03 2.911268417e+00 1.168774483e+01 3.994504893e+00
5.310621242e+03 2.767557884e+00 1.159328749e+01 4.242414755e+00
5.330661323e+03 2.638789464e+00 1.146499960e+01 4.506504495e+00
5.350701403e+03 2.524290903e+00 1.130434224e+01 4.786308383e+00
5.370741483e+03 2.423401973e+00 1.111307073e+01 5.081132840e+00
5.390781563e+03 2.335489413e+00 1.089321936e+01 5.390040658e+00
5.410821643e+03 2.259959436e+00 1.064708068e+01 5.711840533e+00
5.430861723e+03 2.196267304e+00 1.037717878e+01 6.045083895e+00
5.450901804e+03 2.143924579e+00 1.008623594e+01 6.388069471e+00
5.470941884e+03 2.102504520e+00 9.777133147e+00 6.738855942e+00
5.490981964e+03 2.071645787e+00 9.452864970e+00 7.095282589e+00
5.511022044e+03 2.051054767e+00 9.116490260e+00 7.454997414e+00
5.531062124e+03 2.040506754e+00 8.771080277e+00 7.815491708e+00
5.551102204e+03 2.039846130e+00 8.419666347e+00 8.174139724e+00
5.571142285e+03 2.048985732e+00 8.065189212e+00 8.528241563e+00
5.591182365e+03 2.067905439e+00 7.710452115e+00 8.875067577e+00
5.611222445e+03 2.096650037e+00 7.358079552e+00 9.211902462e+00
5.631262525e+03 2.135326395e+00 7.010483018e+00 9.536087142e+00
5.651302605e+03 2.184099866e+00 6.669834848e+00 9.845057272e+00
5.671342685e+03 2.243189899e+00 6.338050492e+00 1.013637725e+01
5.691382766e+03 2.312864729e+00 6.016779387e+00 1.040776869e+01
5.711422846e+03 2.393435066e+00 5.707403486e+00 1.065713426e+01
5.731462926e+03 2.485246647e+00 5.411043224e+00 1.088257553e+01
5.751503006e+03 2.588671513e+00 5.128569322e+00 1.108240673e+01
5.771543086e+03 2.704097913e+00 4.860619551e+00 1.125516417e+01
5.791583166e+03 2.831918736e+00 4.607619022e+00 1.139961279e+01
5.811623246e+03 2.972518419e+00 4.369802847e+00 1.151475027e+01
5.831663327e+03 3.126258298e+00 4.147240150e+00 1.159980970e+01
5.851703407e+03 3.293460517e+00 3.939858349e+00 1.165426190e+01
5.871743487e+03 3.474390659e+00 3.747467019e+00 1.167781691e+01
5.891783567e+03 3.669239316e+00 3.569780681e+00 1.167042566e+01
5.911823647e+03 3.878103031e+00 3.406440091e+00 1.163228184e+01
5.931863727e+03 4.100965093e+00 3.257031767e+00 1.156382289e+01
5.951903808e+03 4.337676806e+00 3.121105467e+00 1.146573050e+01
5.971943888e+03 4.587939970e+00 2.998189694e+00 1.133892950e+01
5.991983968e+03 4.851291336e+00 2.887805161e+00 1.118458423e+01
6.012024048e+03 5.127089894e+00 2.789476299e+00 1.100409201e+01
6.032064128e+03 5.414507796e+00 2.702740947e+00 1.079907245e+01
6.052104208e+03 5.712525645e+00 2.627158354e+00 1.057135233e+01
6.072144289e+03 6.019932741e+00 2.562315663e+00 1.032294564e+01
6.092184369e+03 6.335332690e+00 2.507833018e+00 1.005602864e+01
6.112224449e+03 6.657154551e+00 2.463367457e+00 9.772909876e+00
6.132264529e+03 6.983669286e+00 2.428615753e+00 9.475996913e+00
6.152304609e+03 7.313011232e+00 2.403316302e+00 9.167759140e+00
6.172344689e+03 7.643203786e+00 2.387250196e+00 8.850689124e+00
6.192384770e+03 7.972188424e+00 2.380241560e+00 8.527263339e+00
6.212424850e+03 8.297855915e+00 2.382157258e+00 8.199903728e+00
6.232464930e+03 8.618078595e+00 2.392905990e+00 7.870941725e+00
6.252505010e+03 8.930742386e+00 2.412436856e+00 7.542585789e+00
6.272545090e+03 9.233777502e+00 2.440737413e+00 7.216893555e+00
6.292585170e+03 9.525186936e+00 2.477831217e+00 6.895749431e+00
6.312625251e+03 9.803071685e+00 2.523774874e+00 6.580847997e+00
6.332665331e+03 1.006565253e+01 2.578654590e+00 6.273683245e+00
6.352705411e+03 1.031128784e+01 2.642582202e+00 5.975543638e+00
6.372745491e+03 1.053848743e+01 2.715690666e+00 5.687512471e+00
6.392785571e+03 1.074592272e+01 2.798129015e+00 5.410472862e+00
6.412825651e+03 1.093243345e+01 2.890056730e+00 5.145116814e+00
6.432865731e+03 1.109703109e+01 2.991637527e+00 4.891957400e+00
6.452905812e+03 1.123890045e+01 3.103032635e+00 4.651343190e+00
6.472945892e+03 1.135739875e+01 3.224393465e+00 4.423474417e+00
6.492985972e+03 1.145205360e+01 3.355853825e+00 4.208419909e+00
6.513026052e+03 1.152255992e+01 3.497521688e+00 4.006134333e+00
6.533066132e+03 1.156877616e+01 3.649470623e+00 3.816475162e+00
6.553106212e+03 1.159072039e+01 3.811731048e+00 3.639218979e+00
6.573146293e+03 1.158856595e+01 3.984281425e+00 3.474076828e+00
6.593186373e+03 1.156263718e+01 4.167039614e+00 3.320708371e+00
6.613226453e+03 1.151340470e+01 4.359854616e+00 3.178734752e+00
6.633266533e+03 1.144148044e+01 4.562498903e+00 3.047750071e+00
6.653306613e+03 1.134761225e+01 4.774661670e+00 2.927331474e+00
6.673346693e+03 1.123267757e+01 4.995943219e+00 2.817047862e+00
6.693386774e+03 1.109767630e+01 5.225850729e+00 2.716467373e+00
6.713426854e+03 1.094372229e+01 5.463795690e+00 2.625163586e+00
6.733466934e+03 1.077203371e+01 5.709093134e+00 2.542720678e+00
6.753507014e+03 1.058392181e+01 5.960962889e+00 2.468737527e+00
6.773547094e+03 1.038077831e+01 6.218532837e+00 2.402830966e+00
6.793587174e+03 1.016406141e+01 6.480844308e+00 2.344638202e+00
6.813627255e+03 9.935280595e+00 6.746859400e+00 2.293818576e+00
6.833667335e+03 9.695980472e+00 7.015470218e+00 2.250054690e+00
6.853707415e+03 9.447724009e+00 7.285509674e+00 2.213053046e+00
6.873747495e+03 9.192075504e+00 7.555763685e+00 2.182544206e+00
6.893787575e+03 8.930583726e+00 7.824984273e+00 2.158282605e+00
6.913827655e+03 8.664765656e+00 8.091903380e+00 2.140046022e+00
6.933867735e+03 8.396091171e+00 8.355246803e+00 2.127634777e+00
6.953907816e+03 8.125969126e+00 8.613748079e+00 2.120870693e+00
6.973947896e+03 7.855735065e+00 8.866161714e+00 2.119595853e+00
6.993987976e+03 7.586640846e+00 9.111275704e+00 2.123671192e+00
7.014028056e+03 7.319846232e+00 9.347922817e+00 2.132974923e+00
7.034068136e+03 7.056412688e+00 9.574990660e+00 2.147400823e+00
7.054108216e+03 6.797299244e+00 9.791430268e+00 2.166856393e+00
7.074148297e+03 6.543360340e+00 9.996263354e+00 2.191260904e+00
7.094188377e+03 6.295345635e+00 1.018858783e+01 2.220543322e+00
7.114228457e+03 6.053901561e+00 1.036758221e+01 2.254640124e+00
7.134268537e+03 5.819574218e+00 1.053250848e+01 2.293493026e+00
7.154308617e+03 5.592813640e+00 1.068271407e+01 2.337046592e+00
7.174348697e+03 5.373979081e+00 1.081763280e+01 2.385245760e+00
7.194388778e+03 5.163345004e+00 1.093678507e+01 2.438033284e+00
7.214428858e+03 4.961107662e+00 1.103977755e+01 2.495347096e+00
7.234468938e+03 4.767391974e+00 1.112630257e+01 2.557117610e+00
7.254509018e+03 4.582258555e+00 1.119613733e+01 2.623264977e+00
7.274549098e+03 4.405710740e+00 1.124914311e+01 2.693696320e+00
7.294589178e+03 4.237701429e+00 1.128526451e+01 2.768302977e+00
7.314629259e+03 4.078139682e+00 1.130452900e+01 2.846957778e+00
7.334669339e+03 3.926896963e+00 1.130704655e+01 2.929512400e+00
7.354709419e+03 3.783812966e+00 1.129300944e+01 3.015794838e+00
7.374749499e+03 3.648700997e+00 1.126269224e+01 3.105607043e+00
7.394789579e+03 3.521352893e+00 1.121645166e+01 3.198722778e+00
7.414829659e+03 3.401543437e+00 1.115472622e+01 3.294885742e+00
7.434869739e+03 3.289034306e+00 1.107803552e+01 3.393808030e+00
7.454909820e+03 3.183577578e+00 1.098697885e+01 3.495168958e+00
7.474949900e+03 3.084918760e+00 1.088223283e+01 3.598614339e+00
7.494989980e+03 2.992799430e+00 1.076454800e+01 3.703756248e+00
7.515030060e+03 2.906959503e+00 1.063474409e+01 3.810173288e+00
7.535070140e+03 2.827139125e+00 1.049370367e+01 3.917411470e+00
7.555110220e+03 2.753080255e+00 1.034236431e+01 4.024985689e+00
7.575150301e+03 2.684527998e+00 1.018170941e+01 4.132381791e+00
7.595190381e+03 2.621231669e+00 1.001275741e+01 4.239059313e+00
7.615230461e+03 2.562945616e+00 9.836550041e+00 4.344454926e+00
7.635270541e+03 2.509429899e+00 9.654139776e+00 4.447986490e+00
7.655310621e+03 2.460450761e+00 9.466576905e+00 4.549057858e+00
7.675350701e+03 2.415780978e+00 9.274896734e+00 4.647064354e+00
7.695390782e+03 2.375200087e+00 9.080107438e+00 4.741398925e+00
7.715430862e+03 2.338494473e+00 8.883178736e+00 4.831459143e+00
7.735470942e+03 2.305457430e+00 8.685032206e+00 4.916654730e+00
