time            Cj              Ck              Br              Bs              Ap              Aq             
1.923847695e+03 2.299104623e+00 2.312928659e+00 1.091077996e+00 1.098296397e+00 3.919403733e+00 3.925616419e+00
1.943887776e+03 2.114723397e+00 2.127228379e+00 1.147576910e+00 1.156056133e+00 4.065278997e+00 4.068161984e+00
1.963927856e+03 1.942626495e+00 1.953810051e+00 1.216936733e+00 1.226753909e+00 4.186084624e+00 4.185526048e+00
1.983967936e+03 1.784228056e+00 1.794112789e+00 1.299763122e+00 1.310988323e+00 4.279154777e+00 4.275162868e+00
2.004008016e+03 1.640369820e+00 1.648996081e+00 1.396649683e+00 1.409338230e+00 4.342514715e+00 4.335211535e+00
2.024048096e+03 1.511405410e+00 1.518824654e+00 1.508116524e+00 1.522299864e+00 4.374910578e+00 4.364519400e+00
2.044088176e+03 1.397298092e+00 1.403567037e+00 1.634538312e+00 1.650213690e+00 4.375817705e+00 4.362645888e+00
2.064128257e+03 1.297721144e+00 1.302896835e+00 1.776063859e+00 1.793183285e+00 4.345434687e+00 4.329854016e+00
2.084168337e+03 1.212152809e+00 1.216288597e+00 1.932531083e+00 1.950990373e+00 4.284667835e+00 4.267094001e+00
2.104208417e+03 1.139960623e+00 1.143102986e+00 2.103383214e+00 2.123012226e+00 4.195106459e+00 4.175979025e+00
2.124248497e+03 1.080472513e+00 1.082658633e+00 2.287594003e+00 2.308149421e+00 4.078985723e+00 4.058749559e+00
2.144288577e+03 1.033034037e+00 1.034290003e+00 2.483611003e+00 2.504773136e+00 3.939131506e+00 3.918220341e+00
2.164328657e+03 9.970524929e-01 9.973920313e-01 2.689326055e+00 2.710701023e+00 3.778881562e+00 3.757704083e+00
2.184368737e+03 9.720293244e-01 9.714529720e-01 2.902080898e+00 2.923209173e+00 3.601979522e+00 3.580908273e+00
2.204408818e+03 9.575825672e-01 9.560772157e-01 3.118712469e+00 3.139084080e+00 3.412442520e+00 3.391805724e+00
2.224448898e+03 9.534610221e-01 9.509998140e-01 3.335638094e+00 3.354713949e+00 3.214408341e+00 3.194484678e+00
2.244488978e+03 9.595515173e-01 9.560940994e-01 3.548975565e+00 3.566213405e+00 3.011972795e+00 2.992989018e+00
2.264529058e+03 9.758802913e-01 9.713734729e-01 3.754688028e+00 3.769570780e+00 2.809031053e+00 2.791162238e+00
2.284569138e+03 1.002609018e+00 9.969879212e-01 3.948740517e+00 3.960804328e+00 2.609137227e+00 2.592509292e+00
2.304609218e+03 1.040025603e+00 1.033215423e+00 4.127253711e+00 4.136112947e+00 2.415394173e+00 2.400088229e+00
