time            Cj              shCj            Ck              shCk           
6.372745491e+01 2.202457374e-01 2.202457374e-01 2.202457374e-01 2.202457374e-01
6.432865731e+01 2.200597763e-01 2.200597763e-01 2.200597763e-01 2.200597763e-01
6.492985972e+01 2.198741521e-01 2.198741521e-01 2.198741521e-01 2.198741521e-01
6.553106212e+01 2.196888613e-01 2.196888613e-01 2.196888613e-01 2.196888613e-01
6.613226453e+01 2.195039004e-01 2.195039004e-01 2.195039004e-01 2.195039004e-01
6.673346693e+01 2.193192664e-01 2.193192664e-01 2.193192664e-01 2.193192664e-01
6.733466934e+01 2.191349556e-01 2.191349556e-01 2.191349556e-01 2.191349556e-01
6.793587174e+01 2.189509690e-01 2.189509690e-01 2.189509690e-01 2.189509690e-01
6.853707415e+01 2.187673012e-01 2.187673012e-01 2.187673012e-01 2.187673012e-01
6.913827655e+01 2.185839510e-01 2.185839510e-01 2.185839510e-01 2.185839510e-01
6.973947896e+01 2.184009168e-01 2.184009168e-01 2.184009168e-01 2.184009168e-01
7.034068136e+01 2.182181966e-01 2.182181966e-01 2.182181966e-01 2.182181966e-01
7.094188377e+01 2.180357889e-01 2.180357889e-01 2.180357889e-01 2.180357889e-01
7.154308617e+01 2.178536922e-01 2.178536922e-01 2.178536922e-01 2.178536922e-01
7.214428858e+01 2.176719047e-01 2.176719047e-01 2.176719047e-01 2.176719047e-01
7.274549098e+01 2.174904252e-01 2.174904252e-01 2.174904252e-01 2.174904252e-01
7.334669339e+01 2.173092525e-01 2.173092525e-01 2.173092525e-01 2.173092525e-01
7.394789579e+01 2.171283852e-01 2.171283852e-01 2.171283852e-01 2.171283852e-01
7.454909820e+01 2.169478218e-01 2.169478218e-01 2.169478218e-01 2.169478218e-01
7.515030060e+01 2.167675613e-01 2.167675613e-01 2.167675613e-01 2.167675613e-01
7.575150301e+01 2.165876028e-01 2.165876028e-01 2.165876028e-01 2.165876028e-01
7.635270541e+01 2.164079454e-01 2.164079454e-01 2.164079454e-01 2.164079454e-01
7.695390782e+01 2.162285880e-01 2.162285880e-01 2.162285880e-01 2.162285880e-01
7.755511022e+01 2.160495296e-01 2.160495296e-01 2.160495296e-01 2.160495296e-01
7.815631263e+01 2.158707693e-01 2.158707693e-01 2.158707693e-01 2.158707693e-01
7.875751503e+01 2.156923063e-01 2.156923063e-01 2.156923063e-01 2.156923063e-01
7.935871743e+01 2.155141397e-01 2.155141397e-01 2.155141397e-01 2.155141397e-01
7.995991984e+01 2.153362685e-01 2.153362685e-01 2.153362685e-01 2.153362685e-01
8.056112224e+01 2.151586919e-01 2.151586919e-01 2.151586919e-01 2.151586919e-01
8.116232465e+01 2.149814091e-01 2.149814091e-01 2.149814091e-01 2.149814091e-01
8.176352705e+01 2.148044192e-01 2.148044192e-01 2.148044192e-01 2.148044192e-01
8.236472946e+01 2.146277214e-01 2.146277214e-01 2.146277214e-01 2.146277214e-01
8.296593186e+01 2.144513148e-01 2.144513148e-01 2.144513148e-01 2.144513148e-01
8.356713427e+01 2.142751987e-01 2.142751987e-01 2.142751987e-01 2.142751987e-01
8.416833667e+01 2.140993724e-01 2.140993724e-01 2.140993724e-01 2.140993724e-01
8.476953908e+01 2.139238350e-01 2.139238350e-01 2.139238350e-01 2.139238350e-01
8.537074148e+01 2.137485857e-01 2.137485857e-01 2.137485857e-01 2.137485857e-01
8.597194389e+01 2.135736239e-01 2.135736239e-01 2.135736239e-01 2.135736239e-01
8.657314629e+01 2.133989488e-01 2.133989488e-01 2.133989488e-01 2.133989488e-01
8.717434870e+01 2.132245597e-01 2.132245597e-01 2.132245597e-01 2.132245597e-01
8.777555110e+01 2.130504558e-01 2.130504558e-01 2.130504558e-01 2.130504558e-01
8.837675351e+01 2.128766364e-01 2.128766364e-01 2.128766364e-01 2.128766364e-01
8.897795591e+01 2.127031008e-01 2.127031008e-01 2.127031008e-01 2.127031008e-01
8.957915832e+01 2.125298483e-01 2.125298483e-01 2.125298483e-01 2.125298483e-01
9.018036072e+01 2.123568781e-01 2.123568781e-01 2.123568781e-01 2.123568781e-01
9.078156313e+01 2.121841896e-01 2.121841896e-01 2.121841896e-01 2.121841896e-01
9.138276553e+01 2.120117821e-01 2.120117821e-01 2.120117821e-01 2.120117821e-01
9.198396794e+01 2.118396548e-01 2.118396548e-01 2.118396548e-01 2.118396548e-01
9.258517034e+01 2.116678072e-01 2.116678072e-01 2.116678072e-01 2.116678072e-01
9.318637275e+01 2.114962384e-01 2.114962384e-01 2.114962384e-01 2.114962384e-01
9.378757515e+01 2.113249477e-01 2.113249477e-01 2.113249477e-01 2.113249477e-01
9.438877756e+01 2.111539346e-01 2.111539346e-01 2.111539346e-01 2.111539346e-01
9.498997996e+01 2.109831983e-01 2.109831983e-01 2.109831983e-01 2.109831983e-01
9.559118236e+01 2.108127381e-01 2.108127381e-01 2.108127381e-01 2.108127381e-01
9.619238477e+01 2.106425534e-01 2.106425534e-01 2.106425534e-01 2.106425534e-01
9.679358717e+01 2.104726436e-01 2.104726436e-01 2.104726436e-01 2.104726436e-01
9.739478958e+01 2.103030078e-01 2.103030078e-01 2.103030078e-01 2.103030078e-01
9.799599198e+01 2.101336455e-01 2.101336455e-01 2.101336455e-01 2.101336455e-01
9.859719439e+01 2.099645560e-01 2.099645560e-01 2.099645560e-01 2.099645560e-01
9.919839679e+01 2.097957387e-01 2.097957387e-01 2.097957387e-01 2.097957387e-01
9.979959920e+01 2.096271929e-01 2.096271929e-01 2.096271929e-01 2.096271929e-01
1.004008016e+02 2.094589178e-01 2.094589178e-01 2.094589178e-01 2.094589178e-01
1.010020040e+02 2.092909130e-01 2.092909130e-01 2.092909130e-01 2.092909130e-01
1.016032064e+02 2.091231776e-01 2.091231776e-01 2.091231776e-01 2.091231776e-01
1.022044088e+02 2.089557112e-01 2.089557112e-01 2.089557112e-01 2.089557112e-01
1.028056112e+02 2.087885129e-01 2.087885129e-01 2.087885129e-01 2.087885129e-01
1.034068136e+02 2.086215823e-01 2.086215823e-01 2.086215823e-01 2.086215823e-01
1.040080160e+02 2.084549185e-01 2.084549185e-01 2.084549185e-01 2.084549185e-01
1.046092184e+02 2.082885211e-01 2.082885211e-01 2.082885211e-01 2.082885211e-01
1.052104208e+02 2.081223893e-01 2.081223893e-01 2.081223893e-01 2.081223893e-01
1.058116232e+02 2.079565225e-01 2.079565225e-01 2.079565225e-01 2.079565225e-01
1.064128257e+02 2.077909201e-01 2.077909201e-01 2.077909201e-01 2.077909201e-01
1.070140281e+02 2.076255814e-01 2.076255814e-01 2.076255814e-01 2.076255814e-01
1.076152305e+02 2.074605059e-01 2.074605059e-01 2.074605059e-01 2.074605059e-01
1.082164329e+02 2.072956928e-01 2.072956928e-01 2.072956928e-01 2.072956928e-01
1.088176353e+02 2.071311416e-01 2.071311416e-01 2.071311416e-01 2.071311416e-01
1.094188377e+02 2.069668516e-01 2.069668516e-01 2.069668516e-01 2.069668516e-01
1.100200401e+02 2.068028222e-01 2.068028222e-01 2.068028222e-01 2.068028222e-01
1.106212425e+02 2.066390528e-01 2.066390528e-01 2.066390528e-01 2.066390528e-01
1.112224449e+02 2.064755428e-01 2.064755428e-01 2.064755428e-01 2.064755428e-01
1.118236473e+02 2.063122915e-01 2.063122915e-01 2.063122915e-01 2.063122915e-01
1.124248497e+02 2.061492983e-01 2.061492983e-01 2.061492983e-01 2.061492983e-01
1.130260521e+02 2.059865627e-01 2.059865627e-01 2.059865627e-01 2.059865627e-01
1.136272545e+02 2.058240839e-01 2.058240839e-01 2.058240839e-01 2.058240839e-01
