time            HelperCCj       sHelperCCj      dispC          
2.534669339e+04 1.173243024e+02 1.427167811e+02 7.085830574e+00
2.555110220e+04 1.171998129e+02 1.426605474e+02 7.138302486e+00
2.575551102e+04 1.170749790e+02 1.426043525e+02 7.190811391e+00
2.595991984e+04 1.169497406e+02 1.425481962e+02 7.243368735e+00
2.616432866e+04 1.168240383e+02 1.424920787e+02 7.295985982e+00
2.636873747e+04 1.166978132e+02 1.424359998e+02 7.348674556e+00
2.657314629e+04 1.165710068e+02 1.423799595e+02 7.401445779e+00
2.677755511e+04 1.164435611e+02 1.423239578e+02 7.454310804e+00
2.698196393e+04 1.163154184e+02 1.422679947e+02 7.507280546e+00
2.718637275e+04 1.161865213e+02 1.422120701e+02 7.560365621e+00
2.739078156e+04 1.160568129e+02 1.421561840e+02 7.613576270e+00
2.759519038e+04 1.159262367e+02 1.421003364e+02 7.666922294e+00
2.779959920e+04 1.157947362e+02 1.420445272e+02 7.720412995e+00
2.800400802e+04 1.156622556e+02 1.419887565e+02 7.774057118e+00
2.820841683e+04 1.155287393e+02 1.419330241e+02 7.827862754e+00
2.841282565e+04 1.153941321e+02 1.418773300e+02 7.881837299e+00
2.861723447e+04 1.152583793e+02 1.418216742e+02 7.935987415e+00
2.882164329e+04 1.151214265e+02 1.417660567e+02 7.990318951e+00
2.902605210e+04 1.149832199e+02 1.417104775e+02 8.044836902e+00
2.923046092e+04 1.148437063e+02 1.416549364e+02 8.099545383e+00
2.943486974e+04 1.147028331e+02 1.415994335e+02 8.154447555e+00
2.963927856e+04 1.145605483e+02 1.415439687e+02 8.209545608e+00
2.984368737e+04 1.144168007e+02 1.414885420e+02 8.264840752e+00
3.004809619e+04 1.142715402e+02 1.414331534e+02 8.320333184e+00
3.025250501e+04 1.141247174e+02 1.413778028e+02 8.376022070e+00
3.045691383e+04 1.139762842e+02 1.413224902e+02 8.431905552e+00
3.066132265e+04 1.138261935e+02 1.412672155e+02 8.487980749e+00
3.086573146e+04 1.136743997e+02 1.412119787e+02 8.544243770e+00
3.107014028e+04 1.135208588e+02 1.411567798e+02 8.600689737e+00
3.127454910e+04 1.133655282e+02 1.411016187e+02 8.657312809e+00
3.147895792e+04 1.132083672e+02 1.410464954e+02 8.714106226e+00
3.168336673e+04 1.130493372e+02 1.409914099e+02 8.771062351e+00
3.188777555e+04 1.128884018e+02 1.409363621e+02 8.828172722e+00
3.209218437e+04 1.127255269e+02 1.408813520e+02 8.885428120e+00
3.229659319e+04 1.125606810e+02 1.408263795e+02 8.942818639e+00
3.250100200e+04 1.123938354e+02 1.407714446e+02 9.000333745e+00
3.270541082e+04 1.122249646e+02 1.407165473e+02 9.057962369e+00
3.290981964e+04 1.120540463e+02 1.406616876e+02 9.115692987e+00
