time            HelperCCj       sHelperCCj      LeakWasteAC    
3.740681363e+04 7.356699600e+01 1.394500517e+02 6.330443239e+00
3.761122244e+04 7.350611603e+01 1.393956681e+02 6.350372688e+00
3.781563126e+04 7.344639540e+01 1.393413113e+02 6.370243316e+00
3.802004008e+04 7.338776514e+01 1.392869816e+02 6.390057817e+00
3.822444890e+04 7.333016092e+01 1.392326793e+02 6.409818781e+00
3.842885772e+04 7.327352278e+01 1.391784047e+02 6.429528693e+00
3.863326653e+04 7.321779480e+01 1.391241583e+02 6.449189929e+00
3.883767535e+04 7.316292486e+01 1.390699403e+02 6.468804758e+00
3.904208417e+04 7.310886439e+01 1.390157511e+02 6.488375344e+00
3.924649299e+04 7.305556817e+01 1.389615910e+02 6.507903746e+00
3.945090180e+04 7.300299407e+01 1.389074603e+02 6.527391920e+00
3.965531062e+04 7.295110294e+01 1.388533594e+02 6.546841725e+00
3.985971944e+04 7.289985836e+01 1.387992885e+02 6.566254920e+00
4.006412826e+04 7.284922655e+01 1.387452480e+02 6.585633172e+00
4.026853707e+04 7.279917615e+01 1.386912380e+02 6.604978059e+00
4.047294589e+04 7.274967816e+01 1.386372587e+02 6.624291071e+00
4.067735471e+04 7.270070574e+01 1.385833104e+02 6.643573616e+00
4.088176353e+04 7.265223416e+01 1.385293932e+02 6.662827023e+00
4.108617234e+04 7.260424063e+01 1.384755072e+02 6.682052545e+00
4.129058116e+04 7.255670424e+01 1.384216526e+02 6.701251367e+00
4.149498998e+04 7.250960584e+01 1.383678293e+02 6.720424601e+00
4.169939880e+04 7.246292797e+01 1.383140374e+02 6.739573299e+00
4.190380762e+04 7.241665475e+01 1.382602770e+02 6.758698450e+00
4.210821643e+04 7.237077185e+01 1.382065480e+02 6.777800987e+00
4.231262525e+04 7.232526634e+01 1.381528503e+02 6.796881788e+00
4.251703407e+04 7.228012669e+01 1.380991840e+02 6.815941680e+00
4.272144289e+04 7.223534261e+01 1.380455490e+02 6.834981443e+00
4.292585170e+04 7.219090513e+01 1.379919451e+02 6.854001811e+00
4.313026052e+04 7.214680639e+01 1.379383722e+02 6.873003474e+00
4.333466934e+04 7.210303966e+01 1.378848303e+02 6.891987086e+00
4.353907816e+04 7.205959923e+01 1.378313191e+02 6.910953260e+00
4.374348697e+04 7.201648040e+01 1.377778384e+02 6.929902575e+00
4.394789579e+04 7.197367939e+01 1.377243882e+02 6.948835577e+00
4.415230461e+04 7.193119328e+01 1.376709682e+02 6.967752781e+00
4.435671343e+04 7.188901995e+01 1.376175782e+02 6.986654672e+00
4.456112224e+04 7.184715805e+01 1.375642181e+02 7.005541708e+00
4.476553106e+04 7.180560691e+01 1.375108875e+02 7.024414322e+00
4.496993988e+04 7.176436649e+01 1.374575863e+02 7.043272921e+00
4.517434870e+04 7.172343734e+01 1.374043142e+02 7.062117891e+00
4.537875752e+04 7.168282051e+01 1.373510709e+02 7.080949597e+00
4.558316633e+04 7.164251753e+01 1.372978563e+02 7.099768381e+00
4.578757515e+04 7.160253032e+01 1.372446700e+02 7.118574569e+00
4.599198397e+04 7.156286116e+01 1.371915118e+02 7.137368467e+00
4.619639279e+04 7.152351260e+01 1.371383814e+02 7.156150366e+00
4.640080160e+04 7.148448745e+01 1.370852786e+02 7.174920541e+00
4.660521042e+04 7.144578868e+01 1.370322029e+02 7.193679249e+00
