time            Ak              Br              Cj              sAk             sBr             sCj            
2.034468938e+03 6.856584463e+00 3.865323764e+00 4.905783716e+00 1.677848772e+00 2.124760337e+00 1.687723383e+00
2.048897796e+03 6.930360042e+00 3.941975044e+00 4.766640725e+00 1.669969217e+00 2.139129855e+00 1.723026230e+00
2.063326653e+03 6.991022569e+00 4.026844427e+00 4.632574385e+00 1.663424734e+00 2.151015577e+00 1.759926294e+00
2.077755511e+03 7.038059397e+00 4.119744656e+00 4.504227409e+00 1.658373226e+00 2.160389068e+00 1.798294873e+00
2.092184369e+03 7.071094527e+00 4.220448697e+00 4.382154899e+00 1.654963665e+00 2.167248961e+00 1.837984590e+00
2.106613226e+03 7.089893180e+00 4.328683940e+00 4.266828619e+00 1.653335923e+00 2.171621629e+00 1.878829106e+00
2.121042084e+03 7.094364250e+00 4.444126562e+00 4.158642437e+00 1.653620675e+00 2.173561469e+00 1.920643117e+00
2.135470942e+03 7.084560354e+00 4.566396260e+00 4.057918763e+00 1.655939356e+00 2.173150754e+00 1.963222724e+00
2.149899800e+03 7.060675840e+00 4.695051548e+00 3.964915542e+00 1.660404117e+00 2.170499079e+00 2.006346151e+00
2.164328657e+03 7.023042559e+00 4.829585849e+00 3.879833646e+00 1.667117755e+00 2.165742365e+00 2.049774908e+00
2.178757515e+03 6.972123719e+00 4.969424579e+00 3.802824323e+00 1.676173562e+00 2.159041473e+00 2.093255376e+00
2.193186373e+03 6.908505813e+00 5.113923427e+00 3.733996526e+00 1.687655071e+00 2.150580419e+00 2.136520845e+00
2.207615230e+03 6.832888825e+00 5.262368037e+00 3.673423940e+00 1.701635664e+00 2.140564250e+00 2.179294002e+00
2.222044088e+03 6.746074922e+00 5.413975189e+00 3.621151537e+00 1.718178022e+00 2.129216627e+00 2.221289844e+00
2.236472946e+03 6.648955754e+00 5.567895670e+00 3.577201551e+00 1.737333376e+00 2.116777153e+00 2.262219003e+00
2.250901804e+03 6.542498718e+00 5.723218791e+00 3.541578811e+00 1.759140586e+00 2.103498547e+00 2.301791423e+00
2.265330661e+03 6.427732326e+00 5.878978737e+00 3.514275301e+00 1.783624990e+00 2.089643708e+00 2.339720351e+00
2.279759519e+03 6.305731126e+00 6.034162428e+00 3.495273997e+00 1.810797076e+00 2.075482752e+00 2.375726557e+00
2.294188377e+03 6.177600339e+00 6.187719064e+00 3.484551877e+00 1.840650956e+00 2.061290104e+00 2.409542714e+00
2.308617234e+03 6.044460656e+00 6.338570983e+00 3.482082148e+00 1.873162676e+00 2.047341693e+00 2.440917854e+00
2.323046092e+03 5.907433458e+00 6.485625688e+00 3.487835680e+00 1.908288401e+00 2.033912331e+00 2.469621795e+00
2.337474950e+03 5.767626826e+00 6.627788785e+00 3.501781630e+00 1.945962514e+00 2.021273307e+00 2.495449458e+00
2.351903808e+03 5.626122569e+00 6.763977482e+00 3.523887336e+00 1.986095695e+00 2.009690237e+00 2.518224960e+00
2.366332665e+03 5.483964619e+00 6.893134394e+00 3.554117425e+00 2.028573039e+00 1.999421201e+00 2.537805386e+00
2.380761523e+03 5.342148872e+00 7.014241291e+00 3.592432251e+00 2.073252312e+00 1.990715146e+00 2.554084163e+00
